vorname,anzahl,geschlecht,position
Marie,46,w,2
Maria,35,w,2
Charlotte,34,w,1
Sophie,34,w,2
Emma,32,w,1
Noah,31,m,1
Charlotte,30,w,2
Emilia,27,w,1
Anton,27,m,1
Leon,27,m,1
Emil,26,m,1
Leo,25,m,1
Paul,25,m,1
Mila,24,w,1
Jonathan,24,m,1
Adam,22,m,1
Clara,21,w,1
Mia,21,w,1
Elias,21,m,1
Levi,21,m,1
Liam,21,m,1
Ida,20,w,1
Milan,20,m,1
Lina,19,w,1
Malik,19,m,1
Luise,19,w,2
Maximilian,19,m,2
David,18,m,1
Louis,18,m,1
Elisabeth,18,w,2
Alexander,18,m,2
Sophia,17,w,1
Amalia,16,w,1
Anna,16,w,1
Elena,16,w,1
Sophie,16,w,1
Leonard,16,m,1
Luca,16,m,1
Theo,16,m,1
Sophia,16,w,2
Alma,15,w,1
Lea,15,w,1
Lilly,15,w,1
Marie,15,w,1
Mira,15,w,1
Finn,15,m,1
Levi,15,m,2
Isabella,14,w,1
Maya,14,w,1
Olivia,14,w,1
Ben,14,m,1
Jakob,14,m,1
Maximilian,14,m,1
Oskar,14,m,1
Theodor,14,m,1
Elias,14,m,2
Ella,13,w,1
Benjamin,13,m,1
Felix,13,m,1
Gabriel,13,m,1
Henry,13,m,1
Linus,13,m,1
Matteo,13,m,1
Emilia,13,w,2
Ida,13,w,2
Cleo,12,w,1
Helena,12,w,1
Lena,12,w,1
Maria,12,w,1
Romy,12,w,1
Luis,12,m,1
Samuel,12,m,1
Paul,12,m,2
Valentin,12,m,2
Ada,11,w,1
Alva,11,w,1
Frida,11,w,1
Livia,11,w,1
Mathilda,11,w,1
Matilda,11,w,1
Jonas,11,m,1
Lio,11,m,1
Lou,11,w,2
Felix,11,m,2
Gabriel,11,m,2
Johann,11,m,2
Elisa,10,w,1
Lia,10,w,1
Malia,10,w,1
Mara,10,w,1
Mina,10,w,1
Alexander,10,m,1
Ali,10,m,1
Bruno,10,m,1
Carlo,10,m,1
Emilio,10,m,1
Ilyas,10,m,1
Julius,10,m,1
Karl,10,m,1
Raphael,10,m,1
Anna,10,w,2
Helene,10,w,2
Louis,10,m,2
Amelie,9,w,1
Ayla,9,w,1
Juna,9,w,1
Klara,9,w,1
Nisa,9,w,1
Paula,9,w,1
Johann,9,m,1
Jonah,9,m,1
Joshua,9,m,1
Leopold,9,m,1
Mateo,9,m,1
Milo,9,m,1
Mohamad,9,m,1
Aurora,9,w,2
Luisa,9,w,2
Valentina,9,w,2
Karl,9,m,2
Noah,9,m,2
Alexander,9,m,3
Ava,8,w,1
Carlotta,8,w,1
Eva,8,w,1
Hanna,8,w,1
Hannah,8,w,1
Laura,8,w,1
Leonie,8,w,1
Liya,8,w,1
Marlene,8,w,1
Sofia,8,w,1
Adrian,8,m,1
Arthur,8,m,1
Ayaz,8,m,1
Elian,8,m,1
Henri,8,m,1
Jona,8,m,1
Leonardo,8,m,1
Lukas,8,m,1
Mika,8,m,1
Amalia,8,w,2
Johanna,8,w,2
Victoria,8,w,2
Benjamin,8,m,2
Emil,8,m,2
Friedrich,8,m,2
Michael,8,m,2
