vorname,anzahl,geschlecht,position
Noah,22,m,1
Emma,21,w,1
Adam,21,m,1
Leon,21,m,1
Theo,20,m,1
Sophie,20,w,2
Emilia,19,w,1
Maria,19,w,1
Elias,18,m,1
Louis,18,m,1
Lina,17,w,1
Mila,17,w,1
Leo,17,m,1
Luna,16,w,1
Mia,16,w,1
Sofia,16,w,1
Emil,16,m,1
Felix,15,m,1
Liam,15,m,1
Alma,14,w,1
Clara,13,w,1
Emily,13,w,1
Paul,13,m,1
Maria,13,w,2
Marie,13,w,2
Valentin,13,m,2
Ada,12,w,1
Lea,12,w,1
Olivia,12,w,1
Aaron,12,m,1
Luca,12,m,1
Lukas,12,m,1
Oskar,12,m,1
Rio,12,m,1
Maximilian,12,m,2
Amalia,11,w,1
Charlotte,11,w,1
Matilda,11,w,1
David,11,m,1
Henry,11,m,1
Kevin,11,m,1
Mateo,11,m,1
Elisabeth,11,w,2
Eva,10,w,1
Lena,10,w,1
Maya,10,w,1
Mina,10,w,1
Zoe,10,w,1
Anton,10,m,1
Benjamin,10,m,1
Bruno,10,m,1
Daniel,10,m,1
Malik,10,m,1
Alexander,10,m,2
Cleo,9,w,1
Julia,9,w,1
Lisa,9,w,1
Malia,9,w,1
Mira,9,w,1
Romy,9,w,1
Ahmad,9,m,1
Ben,9,m,1
Jonas,9,m,1
Theodor,9,m,1
Vincent,9,m,1
Malou,9,w,2
Sophia,9,w,2
Michael,9,m,2
Amina,8,w,1
Ella,8,w,1
Flora,8,w,1
Hanna,8,w,1
Helena,8,w,1
Isabella,8,w,1
Lara,8,w,1
Nora,8,w,1
Zeynep,8,w,1
Ali,8,m,1
Amir,8,m,1
Carlo,8,m,1
Erik,8,m,1
Fritz,8,m,1
Levi,8,m,1
Matteo,8,m,1
Pepe,8,m,1
An,8,w,2
Charlotte,8,w,2
Anton,8,m,2
Felix,8,m,2
Oskar,8,m,2
Alina,7,w,1
Anna,7,w,1
Jenny,7,w,1
Kira,7,w,1
Laura,7,w,1
Lilly,7,w,1
Adrian,7,m,1
Finn,7,m,1
Hamza,7,m,1
Henri,7,m,1
Maximilian,7,m,1
Milo,7,m,1
Miran,7,m,1
Mohammad,7,m,1
Tony,7,m,1
My,7,w,2
Rose,7,w,2
Ali,7,m,2
Elias,7,m,2
Levi,7,m,2
Louis,7,m,2
Amelia,6,w,1
Asel,6,w,1
Ayla,6,w,1
Carla,6,w,1
Elif,6,w,1
Elina,6,w,1
Ida,6,w,1
Juna,6,w,1
Layan,6,w,1
Linda,6,w,1
Livia,6,w,1
Lucy,6,w,1
Mathilda,6,w,1
Sara,6,w,1
Sophia,6,w,1
Sophie,6,w,1
Thea,6,w,1
Tilda,6,w,1
Tina,6,w,1
Valentina,6,w,1
Victoria,6,w,1
Viktoria,6,w,1
Alexander,6,m,1
Arthur,6,m,1
Bela,6,m,1
Emilio,6,m,1
Gia,6,m,1
Jakob,6,m,1
Karl,6,m,1
Leander,6,m,1
Linus,6,m,1
Lio,6,m,1
Maxim,6,m,1
Mehmet,6,m,1
Milan,6,m,1
Moritz,6,m,1
Muhammed,6,m,1
Toni,6,m,1
Yusuf,6,m,1
Anna,6,w,2
Carlotta,6,w,2
Emilia,6,w,2
Katharina,6,w,2
Lucia,6,w,2
Rosa,6,w,2
Constantin,6,m,2
Emil,6,m,2
Huy,6,m,2
Jakob,6,m,2
Minh,6,m,2
Theodor,6,m,2
Anh,6,w,3
Alva,5,w,1
Antonia,5,w,1
Aurelia,5,w,1
Edda,5,w,1
Elisa,5,w,1
Elisabeth,5,w,1
Ellie,5,w,1
Fatima,5,w,1
Hannah,5,w,1
Hà,5,w,1
Ivy,5,w,1
Jasmin,5,w,1
Johanna,5,w,1
Leyla,5,w,1
Lia,5,w,1
Lotta,5,w,1
Luise,5,w,1
Maja,5,w,1
Malina,5,w,1
Mara,5,w,1
Maryam,5,w,1
Nina,5,w,1
Paula,5,w,1
Pauline,5,w,1
Ahmed,5,m,1
Aras,5,m,1
Bilal,5,m,1
Emir,5,m,1
Fiete,5,m,1
Frederick,5,m,1
Frederik,5,m,1
Gabriel,5,m,1
Hadi,5,m,1
Ilyas,5,m,1
Jona,5,m,1
Jonathan,5,m,1
Karim,5,m,1
Leonard,5,m,1
Leonardo,5,m,1
Louie,5,m,1
Mahir,5,m,1
Mika,5,m,1
Musa,5,m,1
Nathan,5,m,1
Nils,5,m,1
Oscar,5,m,1
Otis,5,m,1
Rayan,5,m,1
Ryan,5,m,1
Till,5,m,1
