vorname,anzahl,geschlecht,position
Marie,22,w,2
Adam,21,m,1
Liam,20,m,1
Sophie,18,w,2
Noah,14,m,1
Charlotte,13,w,1
Emilia,13,w,1
Emil,12,m,1
Leo,12,m,1
Lara,11,w,1
Leni,11,w,1
Sofia,11,w,1
Leon,11,m,1
Levi,10,m,1
Louis,10,m,1
Maria,9,w,1
Mia,9,w,1
Mila,9,w,1
Mira,9,w,1
Jakob,9,m,1
Luca,9,m,1
Milan,9,m,1
Rose,9,w,2
Emily,8,w,1
Emma,8,w,1
Eva,8,w,1
Hannah,8,w,1
Ida,8,w,1
Lena,8,w,1
Luna,8,w,1
Nora,8,w,1
Sophia,8,w,1
David,8,m,1
Elias,8,m,1
Lio,8,m,1
Malik,8,m,1
Amalia,7,w,1
Ella,7,w,1
Johanna,7,w,1
Lia,7,w,1
Lina,7,w,1
Maya,7,w,1
Nele,7,w,1
Olivia,7,w,1
Amir,7,m,1
Elio,7,m,1
Henry,7,m,1
Lukas,7,m,1
Theo,7,m,1
Alexander,7,m,2
Alina,6,w,1
Hanna,6,w,1
Laura,6,w,1
Adrian,6,m,1
Daniel,6,m,1
Edgar,6,m,1
Erik,6,m,1
Finn,6,m,1
Matteo,6,m,1
Mika,6,m,1
Moritz,6,m,1
Musa,6,m,1
Oliver,6,m,1
Oskar,6,m,1
Theodor,6,m,1
Sophia,6,w,2
Elias,6,m,2
Aliya,5,w,1
Anna,5,w,1
Liya,5,w,1
Malia,5,w,1
Mathilda,5,w,1
Sara,5,w,1
Sophie,5,w,1
Alexander,5,m,1
Carlo,5,m,1
Jan,5,m,1
Jonas,5,m,1
Julian,5,m,1
Karim,5,m,1
Karl,5,m,1
Linus,5,m,1
Mateo,5,m,1
Mohammad,5,m,1
Nino,5,m,1
Raphael,5,m,1
Charlotte,5,w,2
Elisabeth,5,w,2
David,5,m,2
Oliver,5,m,2
Amelia,4,w,1
Amelie,4,w,1
Anastasia,4,w,1
Bella,4,w,1
Cleo,4,w,1
Elina,4,w,1
Helene,4,w,1
Julia,4,w,1
Juna,4,w,1
Lea,4,w,1
Leonie,4,w,1
Livia,4,w,1
Melissa,4,w,1
Merle,4,w,1
Michelle,4,w,1
Mina,4,w,1
Miriam,4,w,1
Pia,4,w,1
Ruby,4,w,1
Tala,4,w,1
Thea,4,w,1
Valentina,4,w,1
Yasmin,4,w,1
Anthony,4,m,1
Antoni,4,m,1
Arthur,4,m,1
Felix,4,m,1
Frederik,4,m,1
Fritz,4,m,1
Gabriel,4,m,1
Ibrahim,4,m,1
John,4,m,1
Mark,4,m,1
Marlon,4,m,1
Mats,4,m,1
Max,4,m,1
Milo,4,m,1
Paul,4,m,1
Pepe,4,m,1
Rafael,4,m,1
Tom,4,m,1
Emilia,4,w,2
Maria,4,w,2
Andreas,4,m,2
Anh,4,m,2
Emilio,4,m,2
Frank,4,m,2
Minh,4,m,2
