vorname,anzahl,geschlecht,position
Anton,7,m,1
Sophie,7,w,2
Emilia,6,w,1
Mia,6,w,1
Felix,6,m,1
Louis,6,m,1
Noah,6,m,1
Charlotte,5,w,1
Ben,5,m,1
Elaine,5,w,2
Rose,5,w,2
Elias,5,m,2
Emma,4,w,1
Hanna,4,w,1
Lena,4,w,1
Leonie,4,w,1
Lia,4,w,1
Luna,4,w,1
Maria,4,w,1
Mila,4,w,1
Sarah,4,w,1
Adam,4,m,1
Daniel,4,m,1
David,4,m,1
Leon,4,m,1
Liam,4,m,1
Lukas,4,m,1
Mark,4,m,1
Milan,4,m,1
Emilia,4,w,2
Luise,4,w,2
Alisa,3,w,1
Amira,3,w,1
Anna,3,w,1
Clara,3,w,1
Elisabeth,3,w,1
Eva,3,w,1
Ida,3,w,1
Lina,3,w,1
Mina,3,w,1
Valeria,3,w,1
Alexander,3,m,1
Amir,3,m,1
Elias,3,m,1
Emilio,3,m,1
Finn,3,m,1
Joshua,3,m,1
Leo,3,m,1
Levi,3,m,1
Linus,3,m,1
Luis,3,m,1
Luka,3,m,1
Maximilian,3,m,1
Theodor,3,m,1
Maria,3,w,2
Marie,3,w,2
Summer,3,w,2
Adelia,2,w,1
Adriana,2,w,1
Alice,2,w,1
Alina,2,w,1
Amanda,2,w,1
Amelia,2,w,1
Anastasia,2,w,1
Anni,2,w,1
Aurelia,2,w,1
Beatrice,2,w,1
Carolina,2,w,1
Elaine,2,w,1
Elena,2,w,1
Emily,2,w,1
Felicity,2,w,1
Fiona,2,w,1
Friederike,2,w,1
Gabriela,2,w,1
Gloria,2,w,1
Hailey,2,w,1
Hannah,2,w,1
Hayley,2,w,1
Haylie,2,w,1
Helena,2,w,1
Jasmin,2,w,1
Jennie,2,w,1
Lea,2,w,1
Leonora,2,w,1
Lilli,2,w,1
Lisa,2,w,1
Lucie,2,w,1
Luise,2,w,1
Maja,2,w,1
Malia,2,w,1
Maryam,2,w,1
Masa,2,w,1
Melek,2,w,1
Melina,2,w,1
Melissa,2,w,1
Merle,2,w,1
Mira,2,w,1
Miriam,2,w,1
Mona,2,w,1
Nele,2,w,1
Nora,2,w,1
Olivia,2,w,1
Rosa,2,w,1
Tamina,2,w,1
Thea,2,w,1
Valentina,2,w,1
Victoria,2,w,1
Yuna,2,w,1
Anh,2,m,1
Antonio,2,m,1
Bjarne,2,m,1
Bruno,2,m,1
Cezar,2,m,1
Christian,2,m,1
Elian,2,m,1
Erik,2,m,1
Frederick,2,m,1
Henry,2,m,1
Iliya,2,m,1
Jannik,2,m,1
Jannis,2,m,1
Johann,2,m,1
Karl,2,m,1
Kiano,2,m,1
Leano,2,m,1
Leonard,2,m,1
Leopold,2,m,1
Lion,2,m,1
Luca,2,m,1
Lucas,2,m,1
Malte,2,m,1
Mathias,2,m,1
Matteo,2,m,1
Maxim,2,m,1
Micah,2,m,1
Mika,2,m,1
Moritz,2,m,1
Mustafa,2,m,1
Paul,2,m,1
Radu,2,m,1
Raphael,2,m,1
Samuel,2,m,1
Theo,2,m,1
Tim,2,m,1
Tristan,2,m,1
Vincent,2,m,1
Alekseevna,2,w,2
Alina,2,w,2
Anh,2,w,2
Borisova,2,w,2
Elisa,2,w,2
Hope,2,w,2
Karin,2,w,2
Sofia,2,w,2
Teodora,2,w,2
Ali,2,m,2
Andreas,2,m,2
Anh,2,m,2
Benjamin,2,m,2
Emil,2,m,2
Fabio,2,m,2
Lukas,2,m,2
Richard,2,m,2
Sebastian,2,m,2
Theodor,2,m,2
Anh,2,m,3
Agapi,1,w,1
Aicha,1,w,1
Aisha,1,w,1
Aki,1,w,1
Alessia,1,w,1
Alicia,1,w,1
Alisha,1,w,1
Alisia,1,w,1
Alva,1,w,1
Amal,1,w,1
Amalia,1,w,1
Amalya,1,w,1
Amara,1,w,1
Amedeia,1,w,1
Amelie,1,w,1
Amyra,1,w,1
Amélie-Marie,1,w,1
Amélie,1,w,1
An,1,w,1
Anais,1,w,1
Anays,1,w,1
Angelina,1,w,1
Anifa,1,w,1
Annabell,1,w,1
Antonia,1,w,1
Asil,1,w,1
Asja,1,w,1
Athena,1,w,1
Aurora,1,w,1
Ava,1,w,1
Avila,1,w,1
Ayline,1,w,1
Benecha,1,w,1
Betty,1,w,1
Bianca,1,w,1
Calea,1,w,1
Calyah,1,w,1
Carlotta,1,w,1
Carolin,1,w,1
Cassandra,1,w,1
Catelyn,1,w,1
Cathaleya,1,w,1
Cecila,1,w,1
Celina,1,w,1
Celine,1,w,1
Cornelia,1,w,1
Dariana,1,w,1
Diana,1,w,1
Doruntina,1,w,1
Edda,1,w,1
Ela,1,w,1
Elea,1,w,1
Elenora,1,w,1
Eli-Marlene,1,w,1
Elisa,1,w,1
Elisaveta,1,w,1
Eliyana,1,w,1
Ellie,1,w,1
Elly,1,w,1
Eloisa,1,w,1
Elvira,1,w,1
Ema,1,w,1
Emma-Sophie,1,w,1
Emmi,1,w,1
Emmy,1,w,1
Enja,1,w,1
Esma,1,w,1
Esra,1,w,1
Ethan,1,w,1
Evelina,1,w,1
Evelyn,1,w,1
Evy,1,w,1
Ewa,1,w,1
Fatima,1,w,1
Fatoumata,1,w,1
