vorname,anzahl,geschlecht,position
Adam,41,m,1
Sophie,26,w,2
Noah,25,m,1
Marie,23,w,2
Ali,21,m,1
Lina,20,w,1
Leon,20,m,1
Charlotte,20,w,2
Emil,19,m,1
Maria,19,w,2
Ali,19,m,2
Emilia,18,w,1
Sophia,18,w,1
Alexander,18,m,2
Anna,17,w,1
Mia,17,w,1
Mila,17,w,1
Leo,17,m,1
Malik,17,m,1
Emma,16,w,1
Helena,16,w,1
Olivia,16,w,1
Sofia,16,w,1
Daniel,16,m,1
Felix,16,m,1
Hamza,16,m,1
Muhammad,16,m,1
Muhammed,16,m,1
Ayla,15,w,1
Ella,15,w,1
Emily,15,w,1
Jakob,15,m,1
Liam,15,m,1
Charlotte,14,w,1
Ida,14,w,1
Elias,14,m,1
Alma,13,w,1
Amira,13,w,1
Arthur,13,m,1
Gabriel,13,m,1
Ibrahim,13,m,1
Ilyas,13,m,1
Louis,13,m,1
Oscar,13,m,1
Paul,13,m,1
Emilia,13,w,2
Eva,12,w,1
Lena,12,w,1
David,12,m,1
Henry,12,m,1
Mohammad,12,m,1
Clara,11,w,1
Lea,11,w,1
Liya,11,w,1
Sara,11,w,1
Milo,11,m,1
Mohammed,11,m,1
Musa,11,m,1
Oskar,11,m,1
Samuel,11,m,1
Theodor,11,m,1
Elisabeth,11,w,2
Paul,11,m,2
Amalia,10,w,1
Azra,10,w,1
Elisa,10,w,1
Maria,10,w,1
Marie,10,w,1
Amir,10,m,1
Anton,10,m,1
Luca,10,m,1
Luis,10,m,1
Alina,9,w,1
Cleo,9,w,1
Elena,9,w,1
Frida,9,w,1
Hannah,9,w,1
Lara,9,w,1
Leonie,9,w,1
Lola,9,w,1
Mathilda,9,w,1
Mira,9,w,1
Valentina,9,w,1
Ahmad,9,m,1
Alexander,9,m,1
Ayaz,9,m,1
Karl,9,m,1
Levi,9,m,1
Lukas,9,m,1
Miran,9,m,1
Theo,9,m,1
Karl,9,m,2
Hanna,8,w,1
Lia,8,w,1
Luna,8,w,1
Paula,8,w,1
Abdullah,8,m,1
Adrian,8,m,1
Ben,8,m,1
Bilal,8,m,1
Emir,8,m,1
Jonathan,8,m,1
Lucas,8,m,1
Mark,8,m,1
Maximilian,8,m,1
Michael,8,m,1
Mika,8,m,1
Milan,8,m,1
Mohamed,8,m,1
Otto,8,m,1
Ömer,8,m,1
Luna,8,w,2
Daniel,8,m,2
Liam,8,m,2
Amal,7,w,1
Amara,7,w,1
Johanna,7,w,1
Marlene,7,w,1
Maya,7,w,1
Nala,7,w,1
Rosa,7,w,1
Sophie,7,w,1
Zoe,7,w,1
Ahmed,7,m,1
Emilio,7,m,1
Jonas,7,m,1
Khaled,7,m,1
Leonard,7,m,1
Mateo,7,m,1
Mustafa,7,m,1
Raphael,7,m,1
Yasin,7,m,1
Youssef,7,m,1
Yusuf,7,m,1
Zayn,7,m,1
Rose,7,w,2
Emil,7,m,2
Felix,7,m,2
Gustav,7,m,2
Maximilian,7,m,2
Oliver,7,m,2
Amaya,6,w,1
Carla,6,w,1
Carlotta,6,w,1
Elif,6,w,1
Fatima,6,w,1
Isabella,6,w,1
Klara,6,w,1
Lana,6,w,1
Leni,6,w,1
Leyla,6,w,1
Maja,6,w,1
Maryam,6,w,1
Medina,6,w,1
Samira,6,w,1
Yasmin,6,w,1
Aras,6,m,1
Aslan,6,m,1
Bela,6,m,1
Benno,6,m,1
Hassan,6,m,1
Johann,6,m,1
Kian,6,m,1
Lian,6,m,1
Linus,6,m,1
Matteo,6,m,1
Max,6,m,1
Oliver,6,m,1
Otis,6,m,1
Rayan,6,m,1
Valentin,6,m,1
Anna,6,w,2
Antonia,6,w,2
Elisa,6,w,2
Johanna,6,w,2
Nur,6,w,2
Valentina,6,w,2
Victoria,6,w,2
Anton,6,m,2
Gabriel,6,m,2
Johann,6,m,2
Louis,6,m,2
Noah,6,m,2
Raphael,6,m,2
Valentin,6,m,2
Alice,5,w,1
Amelie,5,w,1
Asel,5,w,1
Aurelia,5,w,1
Ava,5,w,1
Eliana,5,w,1
Elina,5,w,1
Flora,5,w,1
Laura,5,w,1
Lisa,5,w,1
Livia,5,w,1
Luisa,5,w,1
Mariam,5,w,1
Matilda,5,w,1
Mona,5,w,1
Noemi,5,w,1
Ophelia,5,w,1
Stella,5,w,1
Aaron,5,m,1
Ahmet,5,m,1
Amar,5,m,1
Bruno,5,m,1
Carl,5,m,1
Carlo,5,m,1
Elyas,5,m,1
Ferdinand,5,m,1
Finn,5,m,1
Hussein,5,m,1
Joshua,5,m,1
Leonardo,5,m,1
Lev,5,m,1
Magnus,5,m,1
Martin,5,m,1
Matthias,5,m,1
Mirza,5,m,1
Nicolas,5,m,1
Niklas,5,m,1
Noyan,5,m,1
Omar,5,m,1
Tristan,5,m,1
Carlotta,5,w,2
Helene,5,w,2
Lilly,5,w,2
Magdalena,5,w,2
Maxima,5,w,2
Sophia,5,w,2
Viktoria,5,w,2
Arthur,5,m,2
Aslan,5,m,2
Benjamin,5,m,2
David,5,m,2
Elian,5,m,2
Friedrich,5,m,2
Fritz,5,m,2
Osman,5,m,2
Otto,5,m,2
Samuel,5,m,2
Theodor,5,m,2
William,5,m,2
Marie,5,w,3
Ada,4,w,1
Aliyah,4,w,1
Amelia,4,w,1
Anika,4,w,1
Antonia,4,w,1
Aria,4,w,1
Aya,4,w,1
Celine,4,w,1
Diana,4,w,1
Dunya,4,w,1
Ela,4,w,1
Elisabeth,4,w,1
Emmy,4,w,1
Evin,4,w,1
Frieda,4,w,1
Havin,4,w,1
Josephine,4,w,1
Karlotta,4,w,1
Layal,4,w,1
Layan,4,w,1
Leen,4,w,1
Liana,4,w,1
Lilian,4,w,1
Liyana,4,w,1
Lotta,4,w,1
Luise,4,w,1
Martha,4,w,1
Masal,4,w,1
Melek,4,w,1
Melina,4,w,1
Melissa,4,w,1
Miriam,4,w,1
Nele,4,w,1
Nina,4,w,1
Noura,4,w,1
Raya,4,w,1
Ruby,4,w,1
Selma,4,w,1
Sila,4,w,1
Thea,4,w,1
Tilda,4,w,1
Viktoria,4,w,1
Yasmina,4,w,1
Zehra,4,w,1
Adem,4,m,1
Alessio,4,m,1
Amin,4,m,1
Atlas,4,m,1
August,4,m,1
Benjamin,4,m,1
Charlie,4,m,1
Damian,4,m,1
Ediz,4,m,1
Elio,4,m,1
Emirhan,4,m,1
Erik,4,m,1
Filip,4,m,1
Fritz,4,m,1
Henri,4,m,1
Hugo,4,m,1
Ismail,4,m,1
Jan,4,m,1
Jibril,4,m,1
Jonah,4,m,1
Jordan,4,m,1
Julian,4,m,1
Julius,4,m,1
Justus,4,m,1
Karim,4,m,1
Lasse,4,m,1
Lino,4,m,1
Lion,4,m,1
Luka,4,m,1
Malek,4,m,1
Mats,4,m,1
Mohamad,4,m,1
Rafael,4,m,1
Richard,4,m,1
Samir,4,m,1
Timur,4,m,1
Titus,4,m,1
Tom,4,m,1
Toni,4,m,1
Yunus,4,m,1
Ava,4,w,2
Fritzi,4,w,2
Karin,4,w,2
Katharina,4,w,2
Lina,4,w,2
Lou,4,w,2
Luise,4,w,2
Malia,4,w,2
Malou,4,w,2
Martha,4,w,2
Mia,4,w,2
Sofia,4,w,2
Su,4,w,2
Aaron,4,m,2
Antonio,4,m,2
August,4,m,2
Christian,4,m,2
Efe,4,m,2
Elias,4,m,2
Henry,4,m,2
Kilian,4,m,2
Leander,4,m,2
Miran,4,m,2
Muhammed,4,m,2
Theo,4,m,2
Vincent,4,m,2
Maria,4,w,3
Sophie,4,w,3
Alexander,4,m,3
Aaliyah,3,w,1
Aisha,3,w,1
Alea,3,w,1
Aleyna,3,w,1
Alva,3,w,1
Amalya,3,w,1
Amina,3,w,1
Anastasia,3,w,1
Arya,3,w,1
Aurora,3,w,1
Camille,3,w,1
Defne,3,w,1
Eleni,3,w,1
Eliz,3,w,1
Enisa,3,w,1
Esma,3,w,1
Flavia,3,w,1
Hailey,3,w,1
Hazal,3,w,1
Heidi,3,w,1
Helin,3,w,1
Huda,3,w,1
Iman,3,w,1
