vorname,anzahl,geschlecht,position
Noah,28,m,1
Adam,24,m,1
Amir,23,m,1
Ali,21,m,2
Sophie,19,w,2
Elias,17,m,1
Aras,16,m,1
Liam,16,m,1
Ali,15,m,1
Muhammed,14,m,1
Hamza,13,m,1
Mohamad,13,m,1
Emilia,12,w,1
Medina,12,w,1
Luca,12,m,1
Marie,12,w,2
Lina,11,w,1
Malik,11,m,1
Ayla,10,w,1
Lia,10,w,1
Mia,10,w,1
Sofia,10,w,1
Ilyas,10,m,1
Yasin,10,m,1
Charlotte,9,w,1
Elif,9,w,1
Ibrahim,9,m,1
Leon,9,m,1
Mohamed,9,m,1
Maria,9,w,2
Hannah,8,w,1
Emilio,8,m,1
Jonas,8,m,1
Milan,8,m,1
Mohammed,8,m,1
Oskar,8,m,1
Emily,7,w,1
Emma,7,w,1
Eva,7,w,1
Jasmin,7,w,1
Lea,7,w,1
Mila,7,w,1
Mira,7,w,1
Zeynep,7,w,1
Alexander,7,m,1
David,7,m,1
Emir,7,m,1
Joshua,7,m,1
Lukas,7,m,1
Mahir,7,m,1
Mohammad,7,m,1
Can,7,m,2
Ada,6,w,1
Alea,6,w,1
Aliya,6,w,1
Aliyah,6,w,1
Alma,6,w,1
Alya,6,w,1
Fatima,6,w,1
Laura,6,w,1
Mathilda,6,w,1
Meryem,6,w,1
Mina,6,w,1
Nele,6,w,1
Nisa,6,w,1
Sara,6,w,1
Sophie,6,w,1
Ahmad,6,m,1
Ayaz,6,m,1
Deniz,6,m,1
Hassan,6,m,1
Issa,6,m,1
Karim,6,m,1
Levi,6,m,1
Mehmet,6,m,1
Musa,6,m,1
Mustafa,6,m,1
Omar,6,m,1
Yusuf,6,m,1
Lina,6,w,2
Nur,6,w,2
Sophia,6,w,2
Alexander,6,m,2
Emil,6,m,2
Amalia,5,w,1
Amelia,5,w,1
Amelie,5,w,1
Amira,5,w,1
Arya,5,w,1
Asya,5,w,1
Ela,5,w,1
Elena,5,w,1
Elisa,5,w,1
Ella,5,w,1
Helena,5,w,1
Isabella,5,w,1
Leah,5,w,1
Lena,5,w,1
Lilly,5,w,1
Liya,5,w,1
Luna,5,w,1
Malia,5,w,1
Marie,5,w,1
Maryam,5,w,1
Nala,5,w,1
Olivia,5,w,1
Sarah,5,w,1
Sophia,5,w,1
Anton,5,m,1
Aslan,5,m,1
Felix,5,m,1
