vorname,anzahl,geschlecht,position
Sophie,31,w,2
Emilia,29,w,1
Leon,27,m,1
Emma,26,w,1
Mia,26,w,1
Lina,24,w,1
Emil,24,m,1
Charlotte,23,w,1
Liam,23,m,1
Marie,23,w,2
Anna,22,w,1
Jonas,22,m,1
Levi,22,m,1
Luna,21,w,1
Anton,21,m,1
Henry,21,m,1
Lia,20,w,1
Mila,20,w,1
Elias,20,m,1
Leo,20,m,1
Emilia,20,w,2
Sophia,19,w,1
Adam,19,m,1
David,19,m,1
Felix,19,m,1
Louis,19,m,1
Noah,18,m,1
Ella,17,w,1
Hanna,17,w,1
Leni,17,w,1
Milan,17,m,1
Theo,17,m,1
Alexander,17,m,2
Sofia,16,w,1
Jakob,16,m,1
Luca,16,m,1
Mika,16,m,1
Oskar,16,m,1
Paul,16,m,1
Maria,16,w,2
Ida,15,w,1
Malia,15,w,1
Daniel,15,m,1
Emilio,15,m,1
Finn,15,m,1
Lio,15,m,1
Helena,14,w,1
Marie,14,w,1
Nora,14,w,1
Sophie,14,w,1
Karl,14,m,1
Charlotte,14,w,2
Clara,13,w,1
Lea,13,w,1
Leonie,13,w,1
Benjamin,13,m,1
Linus,13,m,1
Luis,13,m,1
Matteo,13,m,1
Samuel,13,m,1
Emil,13,m,2
Elena,12,w,1
Elisa,12,w,1
Lena,12,w,1
Lilly,12,w,1
Lisa,12,w,1
Friedrich,12,m,1
Leonard,12,m,1
Maxim,12,m,1
Theodor,12,m,1
Maximilian,12,m,2
Theodor,12,m,2
Amalia,11,w,1
Lara,11,w,1
Luisa,11,w,1
Mira,11,w,1
Nele,11,w,1
Rosa,11,w,1
Alexander,11,m,1
Ben,11,m,1
Moritz,11,m,1
Luise,11,w,2
Elias,11,m,2
Friedrich,11,m,2
Levi,11,m,2
Cleo,10,w,1
Elisabeth,10,w,1
Hannah,10,w,1
Julia,10,w,1
Livia,10,w,1
Matilda,10,w,1
August,10,m,1
Fritz,10,m,1
Johann,10,m,1
Joshua,10,m,1
Lukas,10,m,1
Milo,10,m,1
Michael,10,m,2
Paul,10,m,2
Emily,9,w,1
Hailey,9,w,1
Johanna,9,w,1
Olivia,9,w,1
Thea,9,w,1
Viktoria,9,w,1
James,9,m,1
Jonah,9,m,1
Leano,9,m,1
Leonardo,9,m,1
Maximilian,9,m,1
Valentin,9,m,1
Emilio,9,m,2
Amelia,8,w,1
Aurora,8,w,1
Maria,8,w,1
Maya,8,w,1
Ruby,8,w,1
Valentina,8,w,1
Carlo,8,m,1
Edgar,8,m,1
Levin,8,m,1
Malte,8,m,1
Matheo,8,m,1
Ryan,8,m,1
Helene,8,w,2
Olivia,8,w,2
Valentina,8,w,2
Fritz,8,m,2
Karl,8,m,2
Leon,8,m,2
Thomas,8,m,2
Alea,7,w,1
Alma,7,w,1
Amelie,7,w,1
Frieda,7,w,1
Klara,7,w,1
Laura,7,w,1
Melina,7,w,1
Milena,7,w,1
Pauline,7,w,1
Pia,7,w,1
Stella,7,w,1
Zoe,7,w,1
Arthur,7,m,1
Bruno,7,m,1
Erik,7,m,1
Fiete,7,m,1
Frederik,7,m,1
Gabriel,7,m,1
Jan,7,m,1
Jaro,7,m,1
Jona,7,m,1
Jonathan,7,m,1
Julian,7,m,1
Konstantin,7,m,1
Lucas,7,m,1
Luka,7,m,1
Ole,7,m,1
Tim,7,m,1
Vincent,7,m,1
Grace,7,w,2
Johanna,7,w,2
Malou,7,w,2
Pauline,7,w,2
Sophia,7,w,2
Felix,7,m,2
Finn,7,m,2
Ada,6,w,1
Alina,6,w,1
Carla,6,w,1
Carlotta,6,w,1
Elina,6,w,1
Fiona,6,w,1
Flora,6,w,1
Helene,6,w,1
Juna,6,w,1
Lily,6,w,1
Lotte,6,w,1
Marlene,6,w,1
Martha,6,w,1
Mathilda,6,w,1
Paula,6,w,1
Alex,6,m,1
Charlie,6,m,1
Damir,6,m,1
Hamza,6,m,1
Julius,6,m,1
Karlo,6,m,1
Kevin,6,m,1
Kian,6,m,1
Nathan,6,m,1
Nils,6,m,1
Oscar,6,m,1
Rio,6,m,1
Robin,6,m,1
Tony,6,m,1
Alma,6,w,2
An,6,w,2
Karlotta,6,w,2
Mathilda,6,w,2
Ali,6,m,2
Christian,6,m,2
Georg,6,m,2
Jasper,6,m,2
Valentin,6,m,2
Wilhelm,6,m,2
Alice,5,w,1
Alva,5,w,1
Ava,5,w,1
Diana,5,w,1
Eva,5,w,1
Freya,5,w,1
Frida,5,w,1
Jenny,5,w,1
Katharina,5,w,1
Lola,5,w,1
Lotta,5,w,1
Malea,5,w,1
Merle,5,w,1
Mina,5,w,1
Sara,5,w,1
Victoria,5,w,1
Wanda,5,w,1
Wilma,5,w,1
Bela,5,m,1
Danilo,5,m,1
Emilian,5,m,1
Enno,5,m,1
Florian,5,m,1
Hugo,5,m,1
Kilian,5,m,1
Lian,5,m,1
Lino,5,m,1
Ludwig,5,m,1
Malik,5,m,1
Marlon,5,m,1
Mats,5,m,1
Mattis,5,m,1
Minh,5,m,1
Muhammad,5,m,1
Nelio,5,m,1
Otto,5,m,1
Rafael,5,m,1
Richard,5,m,1
Till,5,m,1
Elena,5,w,2
Elisabeth,5,w,2
Josephine,5,w,2
Matilda,5,w,2
Nora,5,w,2
Rosa,5,w,2
Rosalie,5,w,2
Rose,5,w,2
Viktoria,5,w,2
Andreas,5,m,2
David,5,m,2
Henry,5,m,2
Jakob,5,m,2
Jonathan,5,m,2
Louis,5,m,2
Minh,5,m,2
Noel,5,m,2
Peter,5,m,2
Marie,5,w,3
Anh,5,m,3
Anastasia,4,w,1
Antonia,4,w,1
Aurelia,4,w,1
Elli,4,w,1
Evie,4,w,1
Josephine,4,w,1
Leana,4,w,1
Leonora,4,w,1
Liana,4,w,1
Liv,4,w,1
Lucie,4,w,1
Luise,4,w,1
Malina,4,w,1
Malou,4,w,1
Mara,4,w,1
Milana,4,w,1
Minna,4,w,1
Neyla,4,w,1
Nina,4,w,1
Paulina,4,w,1
Romy,4,w,1
Rosalie,4,w,1
Sarah,4,w,1
Tilda,4,w,1
Winnie,4,w,1
Yara,4,w,1
Yuna,4,w,1
Zoey,4,w,1
Adrian,4,m,1
Antony,4,m,1
Arian,4,m,1
Bjarne,4,m,1
Elian,4,m,1
Fabian,4,m,1
Finnley,4,m,1
Gustav,4,m,1
Henri,4,m,1
Henrik,4,m,1
Ibrahim,4,m,1
Jannik,4,m,1
Jasper,4,m,1
John,4,m,1
Juri,4,m,1
Justus,4,m,1
Kuno,4,m,1
Leandro,4,m,1
Lewin,4,m,1
Luan,4,m,1
Matti,4,m,1
