vorname,anzahl,geschlecht,position
Adam,8,m,1
Miran,6,m,1
Charlotte,4,w,1
Eva,4,w,1
Hamza,4,m,1
Liam,4,m,1
Mehmet,4,m,1
Noah,4,m,1
Sophie,4,w,2
Malik,4,m,2
Amira,3,w,1
Lea,3,w,1
Leyla,3,w,1
Marie,3,w,1
Mia,3,w,1
Mila,3,w,1
Olivia,3,w,1
Salma,3,w,1
Selma,3,w,1
Sofia,3,w,1
Amir,3,m,1
Emilio,3,m,1
Eymen,3,m,1
Karim,3,m,1
Levi,3,m,1
Mustafa,3,m,1
Yusuf,3,m,1
Elif,3,w,2
Ali,3,m,2
Alma,2,w,1
Amalia,2,w,1
Amaliya,2,w,1
Anna,2,w,1
Aya,2,w,1
Ayla,2,w,1
Azra,2,w,1
Emilia,2,w,1
Fatma,2,w,1
Hanna,2,w,1
Ida,2,w,1
Jasmin,2,w,1
Johanna,2,w,1
Juna,2,w,1
Lamis,2,w,1
Layan,2,w,1
Liyana,2,w,1
Malia,2,w,1
Maria,2,w,1
Mariella,2,w,1
Meryem,2,w,1
Mira,2,w,1
Monika,2,w,1
Nadia,2,w,1
Naomi,2,w,1
Nele,2,w,1
Paulina,2,w,1
Zehra,2,w,1
Ali,2,m,1
Artur,2,m,1
Deniz,2,m,1
Elian,2,m,1
Elias,2,m,1
Emil,2,m,1
Emir,2,m,1
Fynn,2,m,1
Halil,2,m,1
Ilija,2,m,1
Isa,2,m,1
Jonte,2,m,1
Kiyan,2,m,1
Leon,2,m,1
Lio,2,m,1
Mohamed,2,m,1
Muhammad,2,m,1
Muhammed,2,m,1
Musa,2,m,1
Noel,2,m,1
Omar,2,m,1
Ramazan,2,m,1
Rayan,2,m,1
Renat,2,m,1
Taha,2,m,1
Yiğit,2,m,1
Christina,2,w,2
Gerda,2,w,2
Lina,2,w,2
Malou,2,w,2
Marie,2,w,2
Nur,2,w,2
Rose,2,w,2
Umarovna,2,w,2
Valentina,2,w,2
Zehra,2,w,2
Antonio,2,m,2
Aras,2,m,2
Asenov,2,m,2
Aslan,2,m,2
Can,2,m,2
Daniel,2,m,2
Hamza,2,m,2
Jack,2,m,2
Joel,2,m,2
Paul,2,m,2
Aairah,1,w,1
Abigail,1,w,1
Ada,1,w,1
Adaja,1,w,1
Adalya,1,w,1
Adela,1,w,1
Adelia,1,w,1
Adepa,1,w,1
Aisha,1,w,1
Ajla,1,w,1
Aleana,1,w,1
Alessia,1,w,1
Alisa,1,w,1
Aliyah,1,w,1
Almina,1,w,1
Almuth,1,w,1
Althea,1,w,1
Alya,1,w,1
Amal,1,w,1
Amaya,1,w,1
Amelia,1,w,1
Amelija,1,w,1
Amicia,1,w,1
Anais-Maria,1,w,1
Anastasia,1,w,1
Anisa,1,w,1
Annika,1,w,1
Arwa,1,w,1
Arya,1,w,1
Arîn,1,w,1
Asel,1,w,1
Asil,1,w,1
Aslihan,1,w,1
Asmin,1,w,1
Aurelia,1,w,1
Aylin,1,w,1
Ayse,1,w,1
Beatris,1,w,1
Bibi,1,w,1
Bintou,1,w,1
Bogdana,1,w,1
Bountouraby,1,w,1
Carlotta,1,w,1
Cassandra,1,w,1
Cemre,1,w,1
Ceren,1,w,1
Cécilia,1,w,1
Dajana,1,w,1
Daya,1,w,1
Deepti,1,w,1
Defne,1,w,1
Denisa,1,w,1
Devin,1,w,1
Devrim,1,w,1
Djannat,1,w,1
Duâ,1,w,1
Ecrin,1,w,1
Eileen,1,w,1
Elanur,1,w,1
Elea,1,w,1
Eleanor,1,w,1
Elena,1,w,1
Eleyna,1,w,1
Elina,1,w,1
Elisa,1,w,1
Elisabeth,1,w,1
Eloria,1,w,1
Elvin,1,w,1
Ema,1,w,1
Enisa,1,w,1
Esila,1,w,1
Eslem,1,w,1
Esli,1,w,1
Eva-Esmeralda,1,w,1
Evelina,1,w,1
Evin,1,w,1
Eylül,1,w,1
Fatima,1,w,1
Faye,1,w,1
Felin,1,w,1
Finja,1,w,1
Floria,1,w,1
Frida,1,w,1
Giovanna,1,w,1
Gonxhe,1,w,1
Gökçe,1,w,1
Hadasa-Mădălina,1,w,1
Hajer,1,w,1
Hajrah,1,w,1
Halimatou,1,w,1
Hatice,1,w,1
Heja,1,w,1
Helene,1,w,1
Hoda,1,w,1
Hope,1,w,1
Hoàng,1,w,1
Ikranur,1,w,1
Ileyna-Kübra,1,w,1
Inga,1,w,1
Irma,1,w,1
Isabella,1,w,1
Isalie,1,w,1
Jamile,1,w,1
Jana,1,w,1
Janna,1,w,1
Jariel,1,w,1
Jasmina,1,w,1
Jasmine,1,w,1
Jessica,1,w,1
Josephine,1,w,1
Joury,1,w,1
Julia,1,w,1
Kauthar,1,w,1
Kayla,1,w,1
Kiana,1,w,1
Klara,1,w,1
Laiaa,1,w,1
Larissa,1,w,1
Lavinya,1,w,1
Layla,1,w,1
Laysan,1,w,1
Leana,1,w,1
Lena,1,w,1
Lene,1,w,1
Leni,1,w,1
Lenja,1,w,1
Leonie,1,w,1
Leya,1,w,1
Lia,1,w,1
Liana,1,w,1
Lily,1,w,1
Lima,1,w,1
Lina,1,w,1
Liya,1,w,1
Liyah,1,w,1
Liz,1,w,1
Lorena,1,w,1
Lucinda,1,w,1
Luisa,1,w,1
Luna,1,w,1
Lydia,1,w,1
Léonie-Charlotte,1,w,1
Maeva,1,w,1
Maja-Laura,1,w,1
Malena,1,w,1
Malina,1,w,1
Maliya,1,w,1
Malía,1,w,1
Maral,1,w,1
Mariana,1,w,1
Mariya,1,w,1
Marliya,1,w,1
Marly,1,w,1
Marua,1,w,1
Maryam,1,w,1
Masal,1,w,1
Mavi,1,w,1
Mavie,1,w,1
Maya-Maria,1,w,1
Maya,1,w,1
Maëlle,1,w,1
Medina,1,w,1
Melek,1,w,1
Melina,1,w,1
Melisa,1,w,1
Merima,1,w,1
Merve,1,w,1
Meyra,1,w,1
Mia-Tijana,1,w,1
Mihra,1,w,1
Milana,1,w,1
Milén,1,w,1
Mina,1,w,1
Nahed,1,w,1
Nalani,1,w,1
Natalie,1,w,1
Nazanin,1,w,1
Nazik,1,w,1
Nazli,1,w,1
Nedzhibe,1,w,1
Nejra,1,w,1
Nicole,1,w,1
Nisa,1,w,1
Nissi,1,w,1
Nubii,1,w,1
Ola,1,w,1
Peri,1,w,1
Prissa,1,w,1
Qamar,1,w,1
Rachel,1,w,1
Ria,1,w,1
Riyan,1,w,1
Rojda,1,w,1
Rose,1,w,1
Roza,1,w,1
Rozerîn,1,w,1
Rubina,1,w,1
Ruby,1,w,1
Rufta,1,w,1
Safijja,1,w,1
Samah,1,w,1
Samiha,1,w,1
Sara-Maria,1,w,1
Sara,1,w,1
Sarah-Jane,1,w,1
Seana,1,w,1
Sena,1,w,1
Shalom,1,w,1
Sofija,1,w,1
Sonya,1,w,1
Sophia,1,w,1
Stella,1,w,1
Sumaya,1,w,1
Talya,1,w,1
Tamara,1,w,1
Taraf,1,w,1
Tasnim,1,w,1
Thalea,1,w,1
Thea,1,w,1
Tilda,1,w,1
Treasure,1,w,1
Tuana,1,w,1
Tuyết,1,w,1
Valentina,1,w,1
Villemo,1,w,1
Vittoria,1,w,1
Zahraa,1,w,1
Zaiya,1,w,1
Zena,1,w,1
Zeryan,1,w,1
Zilan,1,w,1
Aaron,1,m,1
Abdallah,1,m,1
Abdoul,1,m,1
Adem,1,m,1
Adm,1,m,1
Adonis,1,m,1
Ahmad,1,m,1
