vorname,anzahl,geschlecht,position
Marie,28,w,2
Liam,20,m,1
Maria,20,w,2
Sophie,20,w,2
Noah,19,m,1
Charlotte,16,w,1
Emil,16,m,1
Elias,15,m,1
Lio,15,m,1
Ben,14,m,1
Ava,13,w,1
Ayla,13,w,1
Ella,13,w,1
Emilia,13,w,1
Mila,13,w,1
Leon,13,m,1
Levi,13,m,1
Luis,13,m,1
Alexander,13,m,2
Elisa,12,w,1
Ida,12,w,1
Adam,12,m,1
Anton,12,m,1
Matteo,12,m,1
Oskar,12,m,1
Paul,12,m,1
Emily,11,w,1
Emma,11,w,1
Lea,11,w,1
Leonie,11,w,1
Emilio,11,m,1
Finn,11,m,1
Luise,11,w,2
Amalia,10,w,1
Olivia,10,w,1
Romy,10,w,1
Tilda,10,w,1
Jonas,10,m,1
Luca,10,m,1
Elisabeth,10,w,2
Lou,10,w,2
Maximilian,10,m,2
Alma,9,w,1
Anna,9,w,1
Luna,9,w,1
Malia,9,w,1
Mathilda,9,w,1
Mia,9,w,1
Mira,9,w,1
Nora,9,w,1
Alexander,9,m,1
Amir,9,m,1
Joshua,9,m,1
Malik,9,m,1
Milan,9,m,1
Theodor,9,m,1
Frieda,8,w,1
Klara,8,w,1
Leni,8,w,1
Maja,8,w,1
Malou,8,w,1
Sofia,8,w,1
Sophia,8,w,1
Arthur,8,m,1
Felix,8,m,1
Jakob,8,m,1
Lennard,8,m,1
Louis,8,m,1
Max,8,m,1
Moritz,8,m,1
Valentin,8,m,1
Emilia,8,w,2
Anton,8,m,2
Karl,8,m,2
Valentin,8,m,2
Aurelia,7,w,1
Clara,7,w,1
Elena,7,w,1
Eva,7,w,1
Lia,7,w,1
Marie,7,w,1
Maya,7,w,1
Bruno,7,m,1
Henry,7,m,1
Jonah,7,m,1
Leo,7,m,1
Mateo,7,m,1
Mohammad,7,m,1
Theo,7,m,1
Levi,7,m,2
Alva,6,w,1
Hannah,6,w,1
Helena,6,w,1
Isabella,6,w,1
Lena,6,w,1
Lina,6,w,1
Melina,6,w,1
Mina,6,w,1
Sara,6,w,1
Thea,6,w,1
Aaron,6,m,1
Adrian,6,m,1
Ali,6,m,1
David,6,m,1
Elian,6,m,1
Ferdinand,6,m,1
Fritz,6,m,1
Leonard,6,m,1
Levin,6,m,1
Linus,6,m,1
Matheo,6,m,1
Maximilian,6,m,1
Niklas,6,m,1
Raphael,6,m,1
