vorname,anzahl,geschlecht,position
Marie,11,w,2
Sophie,11,w,2
Mila,9,w,1
Luca,9,m,1
Noah,8,m,1
Alexander,8,m,2
Charlotte,6,w,1
Ella,6,w,1
Helena,6,w,1
Stella,6,w,1
Emilia,5,w,1
Lea,5,w,1
Luna,5,w,1
Romy,5,w,1
Adam,5,m,1
Emil,5,m,1
Emilio,5,m,1
Finn,5,m,1
Lio,5,m,1
Theodor,5,m,1
Emilia,5,w,2
Maria,5,w,2
David,5,m,2
Amalia,4,w,1
Anna,4,w,1
Clara,4,w,1
Emma,4,w,1
Hannah,4,w,1
Lara,4,w,1
Malou,4,w,1
Kian,4,m,1
Levi,4,m,1
Luis,4,m,1
Maximilian,4,m,1
Milan,4,m,1
Niklas,4,m,1
Paul,4,m,1
Elisabeth,4,w,2
Lina,4,w,2
Victoria,4,w,2
Emil,4,m,2
Wilhelm,4,m,3
Amelie,3,w,1
Aurelia,3,w,1
Elise,3,w,1
Emily,3,w,1
Leonie,3,w,1
Lotta,3,w,1
Malea,3,w,1
Marie,3,w,1
Mia,3,w,1
Olivia,3,w,1
Pia,3,w,1
Valentina,3,w,1
Viktoria,3,w,1
Zoe,3,w,1
Aaron,3,m,1
Alexander,3,m,1
Anton,3,m,1
Benjamin,3,m,1
David,3,m,1
Ediz,3,m,1
Elias,3,m,1
Elio,3,m,1
Frederik,3,m,1
Fritz,3,m,1
Jonas,3,m,1
Liam,3,m,1
Louis,3,m,1
Lukas,3,m,1
Raphael,3,m,1
Theo,3,m,1
Luise,3,w,2
Malea,3,w,2
Malia,3,w,2
Malou,3,w,2
Sophia,3,w,2
Christian,3,m,2
Elias,3,m,2
Franz,3,m,2
Jacob,3,m,2
Leano,3,m,2
Liam,3,m,2
Louis,3,m,2
Aaliyah,2,w,1
Adelina,2,w,1
Amaya,2,w,1
Amélie,2,w,1
Ava,2,w,1
Carlotta,2,w,1
Celina,2,w,1
Elena,2,w,1
Elif,2,w,1
Elisa,2,w,1
Evelina,2,w,1
Felia,2,w,1
Freya,2,w,1
Giulia,2,w,1
Hanna,2,w,1
Isabella,2,w,1
Juli,2,w,1
Kira,2,w,1
Leni,2,w,1
Lia,2,w,1
Liara,2,w,1
Lilly,2,w,1
Lina,2,w,1
Liv,2,w,1
Luisa,2,w,1
Maja,2,w,1
Malia,2,w,1
Maria,2,w,1
Marlene,2,w,1
Matea,2,w,1
Mathilda,2,w,1
Matilda,2,w,1
Milla,2,w,1
Mira,2,w,1
Nicole,2,w,1
Paula,2,w,1
Paulina,2,w,1
Pauline,2,w,1
Skadi,2,w,1
Sophia,2,w,1
Sophie,2,w,1
Alessio,2,m,1
Alexio,2,m,1
Armin,2,m,1
Ben,2,m,1
Bruno,2,m,1
Charles,2,m,1
Constantin,2,m,1
Cosmo,2,m,1
Dante,2,m,1
Emir,2,m,1
Erik,2,m,1
Ezra,2,m,1
Felix,2,m,1
Henri,2,m,1
Henry,2,m,1
Jacob,2,m,1
Jasper,2,m,1
Johann,2,m,1
Jonathan,2,m,1
Jonte,2,m,1
Julius,2,m,1
Junis,2,m,1
Justus,2,m,1
Karl,2,m,1
Levin,2,m,1
Lino,2,m,1
Lucas,2,m,1
Ludwig,2,m,1
Malik,2,m,1
Mark,2,m,1
Marlo,2,m,1
Matteo,2,m,1
Milo,2,m,1
Mio,2,m,1
Nando,2,m,1
Nelio,2,m,1
Nicolas,2,m,1
Nils,2,m,1
Nio,2,m,1
Omar,2,m,1
Oskar,2,m,1
Samuel,2,m,1
