vorname,anzahl,geschlecht,position
Sophie,43,w,2
Marie,40,w,2
Adam,35,m,1
Noah,34,m,1
Mila,31,w,1
Leon,31,m,1
Emilia,30,w,1
Maria,30,w,2
Liam,29,m,1
Alexander,27,m,2
Mia,26,w,1
Elias,25,m,1
Emil,25,m,1
Ida,24,w,1
Ali,24,m,1
Leo,24,m,1
Oskar,24,m,1
Ella,23,w,1
Emma,23,w,1
Anton,23,m,1
Paul,23,m,2
Lina,22,w,1
Lukas,22,m,1
Nora,21,w,1
Hamza,21,m,1
Theo,21,m,1
Helena,20,w,1
Mira,20,w,1
Levi,20,m,1
Emilia,20,w,2
Charlotte,19,w,1
Lia,19,w,1
Felix,19,m,1
Louis,19,m,1
Maximilian,19,m,1
Hannah,18,w,1
Jonas,18,m,1
Malik,18,m,1
Paul,18,m,1
Samuel,18,m,1
Ada,17,w,1
Olivia,17,w,1
Emil,17,m,2
Lea,16,w,1
Paula,16,w,1
Bruno,16,m,1
Henry,16,m,1
Milan,16,m,1
Amalia,15,w,1
Clara,15,w,1
Leonie,15,w,1
Maria,15,w,1
Jakob,15,m,1
Luka,15,m,1
Theodor,15,m,1
Yusuf,15,m,1
Luise,15,w,2
Ava,14,w,1
Elena,14,w,1
Elisa,14,w,1
Luna,14,w,1
David,14,m,1
Emilio,14,m,1
Finn,14,m,1
Gabriel,14,m,1
Mika,14,m,1
Ali,14,m,2
Maximilian,14,m,2
Cleo,13,w,1
Frieda,13,w,1
Lena,13,w,1
Maya,13,w,1
Jonathan,13,m,1
Matteo,13,m,1
Charlotte,13,w,2
Anna,12,w,1
Eva,12,w,1
Mathilda,12,w,1
Sophia,12,w,1
Zoe,12,w,1
Adrian,12,m,1
Alexander,12,m,1
Carlo,12,m,1
Luca,12,m,1
Lou,12,w,2
Mathilda,12,w,2
Levi,12,m,2
Michael,12,m,2
Valentin,12,m,2
Alma,11,w,1
Amina,11,w,1
Emily,11,w,1
Frida,11,w,1
Johanna,11,w,1
Julia,11,w,1
Lara,11,w,1
Lilly,11,w,1
Malia,11,w,1
Marie,11,w,1
Arthur,11,m,1
Benjamin,11,m,1
Elian,11,m,1
Elio,11,m,1
Jonah,11,m,1
Julius,11,m,1
Linus,11,m,1
Mateo,11,m,1
Neo,11,m,1
Omar,11,m,1
Oscar,11,m,1
Marlene,11,w,2
Johann,11,m,2
Alva,10,w,1
Leni,10,w,1
Mina,10,w,1
Nisa,10,w,1
Romy,10,w,1
Sara,10,w,1
Sofia,10,w,1
Sophie,10,w,1
Ayaz,10,m,1
Ben,10,m,1
Frederik,10,m,1
Leonard,10,m,1
Milo,10,m,1
Muhammad,10,m,1
Muhammed,10,m,1
Johanna,10,w,2
Nur,10,w,2
David,10,m,2
Elias,10,m,2
Gabriel,10,m,2
Malik,10,m,2
Ela,9,w,1
Flora,9,w,1
Juna,9,w,1
Lola,9,w,1
Luisa,9,w,1
Matilda,9,w,1
Aras,9,m,1
Daniel,9,m,1
Henri,9,m,1
Ibrahim,9,m,1
Ilyas,9,m,1
Joshua,9,m,1
Kian,9,m,1
Kilian,9,m,1
Lucas,9,m,1
Luis,9,m,1
Mark,9,m,1
Tim,9,m,1
Vincent,9,m,1
Anna,9,w,2
Elisabeth,9,w,2
Helene,9,w,2
Louise,9,w,2
Sofia,9,w,2
Sophia,9,w,2
Christian,9,m,2
Jonathan,9,m,2
Leander,9,m,2
Leon,9,m,2
Luca,9,m,2
Noah,9,m,2
Theodor,9,m,2
Alya,8,w,1
Amelie,8,w,1
Carla,8,w,1
Elisabeth,8,w,1
Hanna,8,w,1
Isabella,8,w,1
Klara,8,w,1
Layan,8,w,1
Liya,8,w,1
Melina,8,w,1
Nour,8,w,1
Ahmad,8,m,1
Friedrich,8,m,1
Jona,8,m,1
Karim,8,m,1
Mikail,8,m,1
Niklas,8,m,1
Nils,8,m,1
Oliver,8,m,1
Rafael,8,m,1
Amalia,8,w,2
Elise,8,w,2
Pauline,8,w,2
Frederik,8,m,2
Georg,8,m,2
Jakob,8,m,2
Alina,7,w,1
Amira,7,w,1
Anouk,7,w,1
Aurora,7,w,1
Ayla,7,w,1
Leen,7,w,1
Lotta,7,w,1
Maja,7,w,1
Mara,7,w,1
Meryem,7,w,1
Selma,7,w,1
Thea,7,w,1
Wilma,7,w,1
Enno,7,m,1
Ilay,7,m,1
Isa,7,m,1
Johann,7,m,1
Joris,7,m,1
Juri,7,m,1
Karl,7,m,1
Levin,7,m,1
Lio,7,m,1
Luke,7,m,1
Mads,7,m,1
Mats,7,m,1
Nael,7,m,1
Nathan,7,m,1
Rayan,7,m,1
Valentin,7,m,1
Yunus,7,m,1
Ömer,7,m,1
Isabella,7,w,2
Valeria,7,w,2
Elia,7,m,2
Henry,7,m,2
Johannes,7,m,2
Karl,7,m,2
Louis,7,m,2
Max,7,m,2
Maria,7,w,3
Amara,6,w,1
Amaya,6,w,1
Antonia,6,w,1
Asya,6,w,1
Aurelia,6,w,1
Elif,6,w,1
Elin,6,w,1
Freya,6,w,1
Jana,6,w,1
Josephine,6,w,1
Kira,6,w,1
Livia,6,w,1
Louisa,6,w,1
Lucia,6,w,1
Luise,6,w,1
Malina,6,w,1
Mariam,6,w,1
Mariella,6,w,1
Marlene,6,w,1
Mathea,6,w,1
Milena,6,w,1
Nina,6,w,1
Paulina,6,w,1
Ruby,6,w,1
Tilda,6,w,1
Yasmin,6,w,1
Zeynep,6,w,1
Amir,6,m,1
Bela,6,m,1
Bilal,6,m,1
Elyas,6,m,1
Erik,6,m,1
Fabian,6,m,1
Fiete,6,m,1
Gustav,6,m,1
Jannis,6,m,1
Leano,6,m,1
Mohammad,6,m,1
Moritz,6,m,1
Musa,6,m,1
Otis,6,m,1
Raphael,6,m,1
Sam,6,m,1
Victor,6,m,1
Yasin,6,m,1
Zayn,6,m,1
Eleni,6,w,2
Eva,6,w,2
Juna,6,w,2
Lena,6,w,2
Liv,6,w,2
Rosa,6,w,2
Rose,6,w,2
Viktoria,6,w,2
Emilio,6,m,2
Felix,6,m,2
Kaan,6,m,2
Mateo,6,m,2
Robert,6,m,2
Simon,6,m,2
Charlotte,6,w,3
Alicia,5,w,1
Aliya,5,w,1
Amelia,5,w,1
Elina,5,w,1
Hailey,5,w,1
Iris,5,w,1
Jamila,5,w,1
Jasmin,5,w,1
Kaia,5,w,1
Layal,5,w,1
Leyla,5,w,1
Liana,5,w,1
Lilia,5,w,1
Linnea,5,w,1
Liv,5,w,1
Malika,5,w,1
Malou,5,w,1
Masal,5,w,1
Medina,5,w,1
Merle,5,w,1
Nele,5,w,1
Nika,5,w,1
Nila,5,w,1
Pola,5,w,1
Rosa,5,w,1
Rosalie,5,w,1
Sarah,5,w,1
Sena,5,w,1
Talia,5,w,1
Abdullah,5,m,1
Adem,5,m,1
Ayan,5,m,1
Benno,5,m,1
Bo,5,m,1
Carl,5,m,1
Caspar,5,m,1
Dante,5,m,1
Elijah,5,m,1
Eymen,5,m,1
Jan,5,m,1
Joscha,5,m,1
Justus,5,m,1
Kasimir,5,m,1
Luan,5,m,1
Magnus,5,m,1
Marlon,5,m,1
Max,5,m,1
Michael,5,m,1
Miraç,5,m,1
Mohamad,5,m,1
Mohamed,5,m,1
Mohammed,5,m,1
Nico,5,m,1
Nicolas,5,m,1
Nino,5,m,1
Nuri,5,m,1
Pablo,5,m,1
Rio,5,m,1
Robin,5,m,1
Teo,5,m,1
Till,5,m,1
Alma,5,w,2
Amelie,5,w,2
Amira,5,w,2
Aurelia,5,w,2
Clara,5,w,2
Elli,5,w,2
Ida,5,w,2
Jolie,5,w,2
Josephine,5,w,2
Leonie,5,w,2
Lina,5,w,2
Olivia,5,w,2
Su,5,w,2
Ben,5,m,2
Benjamin,5,m,2
Carl,5,m,2
Kilian,5,m,2
Otto,5,m,2
Samuel,5,m,2
Wilhelm,5,m,2
Marie,5,w,3
Alea,4,w,1
Alexandra,4,w,1
Alia,4,w,1
Alice,4,w,1
Carlotta,4,w,1
Diana,4,w,1
Elissa,4,w,1
Ellie,4,w,1
