vorname,anzahl,geschlecht,position
Liam,10,m,1
Jonas,7,m,1
Leo,7,m,1
Oskar,7,m,1
Marie,7,w,2
Maximilian,7,m,2
Alma,6,w,1
Charlotte,6,w,1
Emily,6,w,1
Lilly,6,w,1
Lina,6,w,1
Mia,6,w,1
Mila,6,w,1
Leon,6,m,1
Luca,6,m,1
Milan,6,m,1
Noah,6,m,1
Paul,6,m,1
Sophie,6,w,2
Paul,6,m,2
Emma,5,w,1
Eva,5,w,1
Hanna,5,w,1
Helena,5,w,1
Lara,5,w,1
Lena,5,w,1
Leonie,5,w,1
Elias,5,m,1
Emil,5,m,1
Karl,5,m,1
Linus,5,m,1
Nikita,5,m,1
Rio,5,m,1
Alexander,5,m,2
Valentin,5,m,2
Alina,4,w,1
Ayla,4,w,1
Frieda,4,w,1
Luna,4,w,1
Maja,4,w,1
Malea,4,w,1
Nora,4,w,1
Olivia,4,w,1
Sofia,4,w,1
Adam,4,m,1
Alexander,4,m,1
Benjamin,4,m,1
David,4,m,1
Elio,4,m,1
Levi,4,m,1
Lio,4,m,1
Louise,4,w,2
Maria,4,w,2
Max,4,m,2
Ada,3,w,1
Amelie,3,w,1
Amina,3,w,1
Cleo,3,w,1
Elisa,3,w,1
Emilia,3,w,1
Karla,3,w,1
Marie,3,w,1
Marlene,3,w,1
Martha,3,w,1
Mathilda,3,w,1
Mira,3,w,1
Sophie,3,w,1
Thea,3,w,1
Yara,3,w,1
Ahmad,3,m,1
Alfred,3,m,1
Ben,3,m,1
Carl,3,m,1
Daniel,3,m,1
Elia,3,m,1
Gustav,3,m,1
Hugo,3,m,1
Johann,3,m,1
Jonathan,3,m,1
Leonard,3,m,1
Leonidas,3,m,1
Louis,3,m,1
Marlon,3,m,1
Maxim,3,m,1
Mika,3,m,1
Moritz,3,m,1
Neo,3,m,1
Nils,3,m,1
Raphael,3,m,1
Robin,3,m,1
Ruben,3,m,1
Samuel,3,m,1
Theodor,3,m,1
Thore,3,m,1
Carlotta,3,w,2
Charlotte,3,w,2
Johanna,3,w,2
Luna,3,w,2
Sophia,3,w,2
Luca,3,m,2
Noel,3,m,2
Alba,2,w,1
Ava,2,w,1
Cataleya,2,w,1
Cecilia,2,w,1
Dahlia,2,w,1
Elisabeth,2,w,1
Ella,2,w,1
Esra,2,w,1
Fiona,2,w,1
Flora,2,w,1
Freya,2,w,1
Frida,2,w,1
Halima,2,w,1
Hedi,2,w,1
Hilda,2,w,1
Ida,2,w,1
Jasmin,2,w,1
Johanna,2,w,1
Josephine,2,w,1
Juna,2,w,1
Käthe,2,w,1
Laura,2,w,1
Leni,2,w,1
Lia,2,w,1
Lilian,2,w,1
Lilith,2,w,1
Lily,2,w,1
Liv,2,w,1
Liya,2,w,1
Lorena,2,w,1
Magdalena,2,w,1
Malia,2,w,1
Maryam,2,w,1
Matilda,2,w,1
Milena,2,w,1
Milou,2,w,1
Miriam,2,w,1
Nelia,2,w,1
Noemi,2,w,1
Paula,2,w,1
Pauline,2,w,1
Pia,2,w,1
Pina,2,w,1
Raya,2,w,1
