anzahl;vorname;geschlecht;position
49;Sophie;w;2
46;Marie;w;2
44;Charlotte;w;1
41;Noah;m;1
40;Emilia;w;1
34;Maria;w;2
31;Ella;w;1
31;Charlotte;w;2
30;Alexander;m;2
27;Mila;w;1
27;Anton;m;1
27;Leon;m;1
25;Adam;m;1
25;Maximilian;m;1
24;Lea;w;1
24;Mia;w;1
24;Emil;m;1
24;Felix;m;1
24;Jakob;m;1
24;Paul;m;1
23;Sophie;w;1
23;Levi;m;1
23;Oskar;m;1
23;Theodor;m;1
22;Clara;w;1
22;Lina;w;1
22;Elias;m;1
22;Lukas;m;1
21;Anna;w;1
21;Liam;m;1
21;Louis;m;1
21;Emil;m;2
20;Karl;m;1
20;Leonard;m;1
20;Maximilian;m;2
19;Leo;m;1
19;Milan;m;1
19;Valentin;m;1
19;Emilia;w;2
18;Mathilda;w;1
18;Bruno;m;1
18;Elias;m;2
17;Ava;w;1
17;Emma;w;1
17;Rosa;w;1
17;Finn;m;1
17;Theo;m;1
17;Elisabeth;w;2
17;Paul;m;2
17;Valentin;m;2
16;Hannah;w;1
16;Lena;w;1
16;Sophia;w;2
15;Maria;w;1
15;Marie;w;1
15;Olivia;w;1
15;Paula;w;1
15;Aaron;m;1
15;Henry;m;1
15;Jonathan;m;1
15;Luise;w;2
14;Helena;w;1
14;Johanna;w;1
14;Leonie;w;1
14;Mira;w;1
14;Arthur;m;1
14;Ben;m;1
14;Jasper;m;1
14;Julius;m;1
14;Luca;m;1
14;Levi;m;2
14;Theodor;m;2
13;Amira;w;1
13;Ida;w;1
13;Mara;w;1
13;Marlene;w;1
13;Maya;w;1
13;Zoe;w;1
13;Alexander;m;1
13;Raphael;m;1
12;Alva;w;1
12;Cleo;w;1
12;Juna;w;1
12;Lara;w;1
12;Leni;w;1
12;Paulina;w;1
12;Sophia;w;1
12;Jonas;m;1
12;Linus;m;1
12;Milo;m;1
12;Samuel;m;1
12;Vincent;m;1
12;Johanna;w;2
12;Noah;m;2
12;Oskar;m;2
11;Alma;w;1
11;Antonia;w;1
11;Elena;w;1
11;Elisa;w;1
11;Elisabeth;w;1
11;Flora;w;1
11;Hanna;w;1
11;Laura;w;1
11;Luisa;w;1
11;Sara;w;1
11;Ali;m;1
11;Amir;m;1
11;Carl;m;1
11;Gabriel;m;1
11;Jonah;m;1
11;Joshua;m;1
11;Leopold;m;1
11;Luis;m;1
11;Matteo;m;1
11;Yasin;m;1
11;Luisa;w;2
11;Valentina;w;2
11;Ali;m;2
11;Jonathan;m;2
11;Wilhelm;m;2
10;Amelie;w;1
10;Frida;w;1
10;Frieda;w;1
10;Liya;w;1
10;Malia;w;1
10;Nora;w;1
10;Romy;w;1
10;Benjamin;m;1
10;Daniel;m;1
10;David;m;1
10;Edgar;m;1
10;Jona;m;1
10;Julian;m;1
10;Konstantin;m;1
10;Leander;m;1
10;Lian;m;1
10;Malik;m;1
10;Ole;m;1
10;Oscar;m;1
10;Tim;m;1
10;Tom;m;1
10;Elise;w;2
10;Josephine;w;2
10;Lou;w;2
10;Benjamin;m;2
9;Alina;w;1
9;Amalia;w;1
9;Carla;w;1
9;Isabella;w;1
9;Julia;w;1
9;Lia;w;1
9;Luise;w;1
9;Maja;w;1
9;Mina;w;1
9;Nele;w;1
9;Ruby;w;1
9;Sarah;w;1
9;Ayaz;m;1
9;Hugo;m;1
9;Kian;m;1
9;Luan;m;1
9;Rio;m;1
9;Isabella;w;2
9;Louise;w;2
9;Pauline;w;2
9;Victoria;w;2
9;Anton;m;2
9;Ferdinand;m;2
9;Jakob;m;2
9;Julius;m;2
9;Peter;m;2
8;Carlotta;w;1
8;Lana;w;1
8;Livia;w;1
8;Lotta;w;1
8;Luna;w;1
8;Ronja;w;1
8;Stella;w;1
8;Valentina;w;1
8;Adrian;m;1
8;Carlo;m;1
8;Emilian;m;1
8;Hamza;m;1
8;Kilian;m;1
8;Levin;m;1
8;Mateo;m;1
8;Mika;m;1
8;Miran;m;1
8;Helene;w;2
8;Mathilda;w;2
8;Friedrich;m;2
8;Georg;m;2
8;Henri;m;2
8;Johannes;m;2
8;Karl;m;2
8;Konstantin;m;2
8;Leander;m;2
8;Ludwig;m;2
8;Matteo;m;2
8;Michael;m;2
8;Otto;m;2
8;Robert;m;2
8;Sebastian;m;2
7;Alicia;w;1
7;Ayla;w;1
7;Ela;w;1
7;Elif;w;1
7;Elise;w;1
7;Fiona;w;1
7;Aras;m;1
7;Erik;m;1
7;Fabian;m;1
7;Fynn;m;1
7;Justus;m;1
7;Leonardo;m;1
7;Lio;m;1
7;Mahir;m;1
7;Maxim;m;1
7;Mikail;m;1
7;Oliver;m;1
7;Otis;m;1
7;Philipp;m;1
7;Anna;w;2
7;Ida;w;2
7;Isabel;w;2
7;Lotta;w;2
7;Mila;w;2
7;Rosa;w;2
7;David;m;2
7;Frederik;m;2
7;Gabriel;m;2
7;Heinrich;m;2
7;Jasper;m;2
7;Leonard;m;2
7;Samuel;m;2
6;Ada;w;1
6;Aliya;w;1
6;Aliyah;w;1
6;Asya;w;1
6;Ellie;w;1
6;Emily;w;1
6;Leyla;w;1
6;Lilly;w;1
6;Louisa;w;1
6;Lucia;w;1
6;Maryam;w;1
6;Matilda;w;1
6;Medina;w;1
6;Merle;w;1
6;Rosalie;w;1
6;Tilda;w;1
6;Viktoria;w;1
6;Yuna;w;1
6;Arian;m;1
6;Caspar;m;1
6;Elio;m;1
6;Emir;m;1
6;Ferdinand;m;1
6;Frederik;m;1
6;Friedrich;m;1
6;Jan;m;1
6;Mads;m;1
6;Mats;m;1
6;Max;m;1
6;Moritz;m;1
6;Nael;m;1
6;Niklas;m;1
6;Omar;m;1
6;Till;m;1
6;Toni;m;1
6;Yusuf;m;1
6;Aurelia;w;2
6;Clara;w;2
6;Dorothea;w;2
6;Katharina;w;2
6;Liv;w;2
6;Marlene;w;2
6;Nur;w;2
6;August;m;2
6;Aurel;m;2
6;Carl;m;2
6;Felix;m;2
6;Henry;m;2
6;Jan;m;2
6;Josef;m;2
6;Louis;m;2
6;Luca;m;2
6;Nicolas;m;2
6;Marie;w;3
6;Sophie;w;3
5;Alice;w;1
5;Alisa;w;1
5;Alya;w;1
5;Amaya;w;1
5;Amelia;w;1
5;Aurelia;w;1
5;Azra;w;1
5;Chiara;w;1
5;Elina;w;1
5;Emelie;w;1
5;Eva;w;1
5;Fritzi;w;1
5;Klara;w;1
5;Linda;w;1
5;Liv;w;1
5;Liyah;w;1
5;Liyana;w;1
5;Luana;w;1
5;Malina;w;1
5;Martha;w;1
5;Milana;w;1
5;Mona;w;1
5;Naomi;w;1
5;Pauline;w;1
5;Selma;w;1
5;Sofia;w;1
5;Thea;w;1
5;August;m;1
5;Emilio;m;1
5;Enno;m;1
5;Fiete;m;1
5;Gustav;m;1
5;Henri;m;1
5;Issa;m;1
5;Jacob;m;1
5;Jannik;m;1
5;Jannis;m;1
5;Jari;m;1
5;Joris;m;1
5;Karlo;m;1
5;Keno;m;1
5;Kerem;m;1
5;Lennart;m;1
5;Lucas;m;1
5;Ludwig;m;1
5;Luka;m;1
5;Luke;m;1
5;Marlon;m;1
5;Mert;m;1
5;Mio;m;1
5;Mohammad;m;1
5;Nicolas;m;1
5;Nikolas;m;1
5;Victor;m;1
5;Amalia;w;2
5;Carlotta;w;2
5;Elisa;w;2
5;Florentine;w;2
5;Hanna;w;2
5;Hannah;w;2
5;Leonora;w;2
5;Lotte;w;2
5;Olivia;w;2
5;Sofia;w;2
5;Viktoria;w;2
5;Arthur;m;2
5;Benedikt;m;2
5;Christian;m;2
5;Daniel;m;2
5;Fritz;m;2
5;Johan;m;2
5;Johann;m;2
5;Jonas;m;2
5;Konrad;m;2
5;Leo;m;2
5;Leon;m;2
5;Manuel;m;2
5;Matthias;m;2
5;Maurice;m;2
5;Milan;m;2
5;Valentin;m;3
4;Ariana;w;1
4;Cataleya;w;1
4;Emilija;w;1
4;Esther;w;1
4;Felina;w;1
4;Helene;w;1
4;Hiranur;w;1
4;Isabelle;w;1
4;Ivy;w;1
4;Jana;w;1
4;Karlotta;w;1
4;Kira;w;1
4;Lavin;w;1
4;Layla;w;1
4;Liana;w;1
4;Liliana;w;1
4;Lilith;w;1
4;Mariam;w;1
4;Melissa;w;1
4;Milena;w;1
4;Naima;w;1
4;Nia;w;1
4;Nina;w;1
4;Pia;w;1
4;Yael;w;1
4;Yara;w;1
4;Adem;m;1
4;Amin;m;1
4;Aron;m;1
4;Bela;m;1
4;Constantin;m;1
4;Diego;m;1
4;Efe;m;1
4;Elian;m;1
4;Elijah;m;1
4;Frederick;m;1
4;Hanno;m;1
4;Ibrahim;m;1
4;Jamie;m;1
4;Joel;m;1
4;Johan;m;1
4;Johannes;m;1
4;Kaan;m;1
4;Konrad;m;1
4;Lenny;m;1
4;Lionel;m;1
4;Lorenz;m;1
4;Lyan;m;1
4;Magnus;m;1
4;Malte;m;1
4;Mark;m;1
