anzahl;vorname;geschlecht;position
32;Leon;m;1
31;Noah;m;1
29;Marie;w;2
29;Sophie;w;2
26;Emma;w;1
26;Adam;m;1
26;Leo;m;1
24;Emilia;w;1
24;Lukas;m;1
23;Mia;w;1
20;Anton;m;1
20;Liam;m;1
18;Mila;w;1
18;Ali;m;1
18;Levi;m;1
18;Luca;m;1
18;Oskar;m;1
18;Theo;m;1
18;Elisabeth;w;2
17;Anna;w;1
17;David;m;1
17;Emil;m;1
17;Louis;m;1
16;Ella;w;1
16;Tilda;w;1
16;Elias;m;1
16;Felix;m;1
16;Paul;m;1
16;Maria;w;2
15;Leni;w;1
15;Linus;m;1
15;Alexander;m;2
14;Olivia;w;1
14;Bruno;m;1
14;Henry;m;1
14;Jakob;m;1
14;Jonathan;m;1
14;Karl;m;1
14;Omar;m;1
14;Emil;m;2
13;Charlotte;w;1
13;Frida;w;1
13;Helena;w;1
13;Ida;w;1
13;Lea;w;1
13;Lina;w;1
13;Lisa;w;1
13;Maria;w;1
13;Mina;w;1
13;Sophia;w;1
13;Sophie;w;1
13;Victoria;w;1
13;Moritz;m;1
13;Maximilian;m;2
12;Clara;w;1
12;Lara;w;1
12;Lena;w;1
12;Mika;m;1
12;Milan;m;1
12;Theodor;m;1
12;Charlotte;w;2
12;Friedrich;m;2
11;Elisa;w;1
11;Elisabeth;w;1
11;Frieda;w;1
11;Hanna;w;1
11;Hannah;w;1
11;Carlo;m;1
11;Henri;m;1
11;Milo;m;1
10;Alva;w;1
10;Ava;w;1
10;Cleo;w;1
10;Eva;w;1
10;Leyla;w;1
10;Mariam;w;1
10;Mira;w;1
10;Carl;m;1
10;Lio;m;1
10;Rio;m;1
10;Luise;w;2
10;Elias;m;2
10;Levi;m;2
9;Alma;w;1
9;Amelie;w;1
9;Ayla;w;1
9;Johanna;w;1
9;Julia;w;1
9;Paula;w;1
9;Sofia;w;1
9;Alexander;m;1
9;Frederick;m;1
9;Johann;m;1
9;Matteo;m;1
9;Max;m;1
9;Maximilian;m;1
9;Mohammad;m;1
9;Ole;m;1
9;Samuel;m;1
9;Tim;m;1
9;Clara;w;2
9;Lucia;w;2
9;Anton;m;2
9;David;m;2
9;Karl;m;2
8;Elena;w;1
8;Emily;w;1
8;Leonie;w;1
8;Lia;w;1
8;Luna;w;1
8;Romy;w;1
8;Sara;w;1
8;Zoe;w;1
8;Aras;m;1
8;Ben;m;1
8;Benjamin;m;1
8;Daniel;m;1
8;Erik;m;1
8;Jan;m;1
8;Jonas;m;1
8;Julius;m;1
8;Kilian;m;1
8;Lasse;m;1
8;Leonard;m;1
8;Yusuf;m;1
8;Anna;w;2
8;Sophia;w;2
8;Victoria;w;2
8;Johann;m;2
8;Louis;m;2
8;Oskar;m;2
8;Otto;m;2
8;Valentin;m;2
8;Anh;w;3
7;Ada;w;1
7;Amelia;w;1
7;Antonia;w;1
7;Aurelia;w;1
7;Carla;w;1
7;Carlotta;w;1
7;Karla;w;1
7;Lilly;w;1
7;Malia;w;1
7;Mara;w;1
7;Nina;w;1
7;Ruby;w;1
7;Aaron;m;1
7;Adrian;m;1
7;Arthur;m;1
7;Diego;m;1
7;Emilio;m;1
7;Finn;m;1
7;Jonte;m;1
7;Kai;m;1
7;Konstantin;m;1
7;Luis;m;1
7;Malik;m;1
7;Martin;m;1
7;Muhammed;m;1
7;Oliver;m;1
7;Tom;m;1
7;Emilia;w;2
7;Lou;w;2
7;Louise;w;2
7;Malou;w;2
7;Ali;m;2
7;Anh;m;2
7;Constantin;m;2
7;Felix;m;2
7;Finn;m;2
7;Jakob;m;2
7;Liam;m;2
7;Minh;m;2
6;Alina;w;1
6;Elif;w;1
6;Ellie;w;1
6;Isabella;w;1
6;Ivy;w;1
6;Lotta;w;1
6;Marlene;w;1
6;Mathilda;w;1
6;Maya;w;1
6;Merle;w;1
6;Nele;w;1
6;Nia;w;1
6;Stella;w;1
6;Valentina;w;1
6;Andy;m;1
6;Filip;m;1
6;Gabriel;m;1
6;Hamza;m;1
6;Hassan;m;1
6;Jari;m;1
6;Jona;m;1
6;Jonah;m;1
6;Luan;m;1
6;Luka;m;1
6;Malte;m;1
6;Matti;m;1
6;Mert;m;1
6;Mohammed;m;1
6;Nico;m;1
6;Oscar;m;1
6;Tony;m;1
6;Vincent;m;1
6;Yasin;m;1
6;Ömer;m;1
6;Anh;w;2
6;Carlotta;w;2
6;Isabella;w;2
6;Johanna;w;2
6;Katharina;w;2
6;Marina;w;2
6;Mathilda;w;2
6;Alp;m;2
6;Daniel;m;2
6;Gabriel;m;2
6;Jonathan;m;2
6;Thomas;m;2
6;Willi;m;2
6;Minh;m;3
5;Amal;w;1
5;Amalia;w;1
5;Amira;w;1
5;Daria;w;1
5;Ela;w;1
5;Elin;w;1
5;Emmy;w;1
5;Juna;w;1
5;Lana;w;1
5;Liana;w;1
5;Liya;w;1
5;Lotte;w;1
5;Marie;w;1
5;Meryem;w;1
5;Nora;w;1
5;Rosa;w;1
5;Toni;w;1
5;Alex;m;1
5;Amir;m;1
5;Ayaz;m;1
5;Bela;m;1
5;Caspar;m;1
5;Deniz;m;1
5;Edgar;m;1
5;Eric;m;1
5;Ferdinand;m;1
5;Friedrich;m;1
5;Gustav;m;1
5;Ilyas;m;1
5;Leonardo;m;1
5;Lucas;m;1
5;Marlon;m;1
5;Mateo;m;1
5;Michael;m;1
5;Miran;m;1
5;Otto;m;1
5;Pablo;m;1
5;Piet;m;1
5;Raphael;m;1
5;Victor;m;1
5;Ida;w;2
5;Lotte;w;2
5;Magdalena;w;2
5;Rose;w;2
5;Emilio;m;2
5;Franz;m;2
5;Gustav;m;2
5;Hannes;m;2
5;Jan;m;2
5;Johannes;m;2
