anzahl;vorname;geschlecht;position
27;Marie;w;2
22;Mia;w;1
22;Sophie;w;2
21;Emil;m;1
19;Jonas;m;1
17;Emilia;w;1
16;Elias;m;1
15;Lea;w;1
15;Oskar;m;1
15;Maria;w;2
14;Charlotte;w;1
14;Leon;m;1
14;Louis;m;1
14;Paul;m;1
13;Mila;w;1
13;Adam;m;1
13;Felix;m;1
13;Liam;m;1
13;Milan;m;1
13;Moritz;m;1
13;Alexander;m;2
12;Ella;w;1
12;Hailey;w;1
12;Maximilian;m;1
11;Emily;w;1
11;Emma;w;1
11;Lia;w;1
11;Mira;w;1
11;Matteo;m;1
11;Theo;m;1
11;Paul;m;2
10;Hannah;w;1
10;Johanna;w;1
10;Maya;w;1
10;Nele;w;1
10;Sophie;w;1
10;Leo;m;1
10;Levi;m;1
9;Ida;w;1
9;Maria;w;1
9;Nora;w;1
9;David;m;1
9;Jakob;m;1
9;Lio;m;1
9;Milo;m;1
9;Mohammad;m;1
8;Anna;w;1
8;Clara;w;1
8;Hanna;w;1
8;Juna;w;1
8;Lara;w;1
8;Leni;w;1
8;Leonie;w;1
8;Lilly;w;1
8;Sophia;w;1
8;Anton;m;1
8;Emilio;m;1
8;Finn;m;1
8;Henri;m;1
8;Joshua;m;1
8;Karl;m;1
8;Lukas;m;1
8;Mika;m;1
8;Charlotte;w;2
8;Karl;m;2
8;Maxim;m;2
7;Frieda;w;1
7;Isabella;w;1
7;Mina;w;1
7;Paula;w;1
7;Rosalie;w;1
7;Alexander;m;1
7;Ben;m;1
7;Daniel;m;1
7;Jonathan;m;1
7;Julian;m;1
7;Maxim;m;1
7;Noah;m;1
7;Tim;m;1
7;Elisabeth;w;2
7;Ruth;w;2
7;Friedrich;m;2
6;Alma;w;1
6;Anni;w;1
6;Helena;w;1
6;Lena;w;1
6;Lina;w;1
6;Marla;w;1
6;Marlene;w;1
6;Mathilda;w;1
6;Stella;w;1
6;Aaron;m;1
6;Arthur;m;1
6;Benjamin;m;1
6;Dean;m;1
6;Erik;m;1
6;Gustav;m;1
6;Linus;m;1
6;Mats;m;1
6;Max;m;1
6;Theodor;m;1
6;Emilia;w;2
6;Luise;w;2
6;Luna;w;2
5;Alexandra;w;1
5;Alina;w;1
5;Amilia;w;1
5;Amira;w;1
5;Ava;w;1
5;Laura;w;1
5;Leyla;w;1
5;Luna;w;1
5;Maja;w;1
5;Marie;w;1
5;Matilda;w;1
5;Melina;w;1
5;Merle;w;1
5;Amir;m;1
5;Artur;m;1
5;Fiete;m;1
5;Fynn;m;1
5;Henry;m;1
5;Joel;m;1
5;John;m;1
5;Justus;m;1
5;Luca;m;1
5;Luka;m;1
5;Marcel;m;1
5;Matti;m;1
5;Niklas;m;1
5;Sebastian;m;1
5;Simon;m;1
5;Valentin;m;1
5;Johanna;w;2
5;Leni;w;2
5;Anh;m;2
5;David;m;2
5;Emil;m;2
5;Valentin;m;2
5;Willi;m;2
4;Adelina;w;1
4;Alva;w;1
4;Amalia;w;1
4;Amelia;w;1
4;Carlotta;w;1
4;Chiara;w;1
4;Elina;w;1
4;Elisabeth;w;1
4;Eva;w;1
4;Käthe;w;1
4;Lisa;w;1
4;Luana;w;1
4;Lucy;w;1
4;Mariella;w;1
4;Melissa;w;1
4;Olivia;w;1
4;Pauline;w;1
4;Tilda;w;1
4;Viktoria;w;1
4;Yuna;w;1
4;Adrian;m;1
4;Arne;m;1
4;Bela;m;1
4;Carlo;m;1
4;Charlie;m;1
4;Enno;m;1
4;Fabian;m;1
4;Frederik;m;1
4;Friedrich;m;1
4;Ivan;m;1
4;Jan;m;1
4;Jaro;m;1
4;Lennard;m;1
4;Leonard;m;1
4;Lucas;m;1
4;Ludwig;m;1
4;Luke;m;1
4;Malik;m;1
4;Malte;m;1
4;Mark;m;1
4;Marlon;m;1
4;Matheo;m;1
4;Nikita;m;1
4;Nino;m;1
4;Ole;m;1
4;Philipp;m;1
4;Timo;m;1
4;Vincent;m;1
4;Anna;w;2
4;Jasmin;w;2
4;Jolie;w;2
4;Katharina;w;2
4;Luisa;w;2
4;Malou;w;2
4;Rose;w;2
4;Sophia;w;2
4;Theresa;w;2
4;Victoria;w;2
4;Frank;m;2
4;Leon;m;2
4;Luca;m;2
4;Maximilian;m;2
4;Michael;m;2
4;Otto;m;2
4;Manfred;m;3
3;Alea;w;1
3;Alena;w;1
3;Alessia;w;1
3;Alice;w;1
3;Alin;w;1
3;Alisa;w;1
3;Alissa;w;1
3;Amelie;w;1
3;Antonia;w;1
3;Aurelia;w;1
3;Aurora;w;1
3;Dalia;w;1
3;Elena;w;1
3;Ellie;w;1
3;Fatima;w;1
3;Flora;w;1
3;Freyja;w;1
3;Hedda;w;1
3;Helene;w;1
3;Jasmin;w;1
3;Jolina;w;1
3;Julia;w;1
3;Leana;w;1
3;Lilli;w;1
3;Livia;w;1
3;Louise;w;1
3;Malia;w;1
3;Malina;w;1
3;Mara;w;1
3;Martha;w;1
3;Milena;w;1
3;Minna;w;1
3;Natalie;w;1
3;Nina;w;1
3;Paulina;w;1
3;Romy;w;1
3;Talia;w;1
3;Thea;w;1
3;Theresa;w;1
3;Tuana;w;1
3;Alan;m;1
3;Alex;m;1
3;Alfred;m;1
3;Ali;m;1
3;Antonio;m;1
3;Damian;m;1
3;Eric;m;1
3;Frederick;m;1
3;Hamza;m;1
3;Ibrahim;m;1
3;Jannes;m;1
3;Jonte;m;1
3;Julius;m;1
3;Kevin;m;1
3;Kiano;m;1
3;Kilian;m;1
3;Konstantin;m;1
3;Lasse;m;1
3;Leonardo;m;1
3;Luis;m;1
3;Mattheo;m;1
3;Miran;m;1
3;Neo;m;1
3;Niclas;m;1
3;Nico;m;1
3;Nils;m;1
3;Pepe;m;1
3;Rafael;m;1
3;Robin;m;1
3;Said;m;1
3;Sam;m;1
3;Samuel;m;1
3;Tom;m;1
3;Yannik;m;1
3;Amelie;w;2
3;Antonia;w;2
3;Carlotta;w;2
3;Isabella;w;2
3;Juna;w;2
3;Layla;w;2
3;Magdalena;w;2
3;Martha;w;2
3;Mia;w;2
3;Valentina;w;2
3;Albert;m;2
3;An;m;2
3;Ari;m;2
3;Elias;m;2
3;Franz;m;2
3;Joel;m;2
3;Johann;m;2
3;Liam;m;2
3;Mario;m;2
3;Matheo;m;2
3;Max;m;2
3;Niclas;m;2
3;Noah;m;2
3;Oskar;m;2
3;Peter;m;2
3;Ragnar;m;2
3;Richard;m;2
3;Theodor;m;2
3;Rose;w;3
3;Werner;m;3
2;Abigail;w;1
2;Alexia;w;1
2;Amal;w;1
2;Amina;w;1
2;Amélie;w;1
2;Anais;w;1
2;Anastasia;w;1
2;Andrea;w;1
2;Andreea;w;1
2;Annabelle;w;1
2;Anouk;w;1
2;Aria;w;1
2;Azra;w;1
2;Cataleya;w;1
2;Celina;w;1
2;Dana;w;1
2;Daria;w;1
2;Edda;w;1
2;Elif;w;1
2;Elisa;w;1
2;Elise;w;1
2;Emely;w;1
2;Evelyn;w;1
2;Fenja;w;1
2;Fine;w;1
2;Frida;w;1
2;Gabriella;w;1
2;Hana;w;1
2;Irena;w;1
2;Irma;w;1
2;Jamila;w;1
2;Jasmine;w;1
2;Jola;w;1
2;Joline;w;1
2;Josephine;w;1
2;Karina;w;1
2;Karla;w;1
2;Kiara;w;1
2;Leia;w;1
2;Lili;w;1
2;Lilith;w;1
2;Lily;w;1
2;Linh;w;1
2;Lotta;w;1
2;Lotte;w;1
2;Lucia;w;1
2;Malak;w;1
2;Malea;w;1
2;Melek;w;1
2;Melia;w;1
2;Melody;w;1
2;Mika;w;1
2;Milana;w;1
2;Milea;w;1
2;Miral;w;1
2;Naila;w;1
2;Nika;w;1
2;Ophelia;w;1
2;Pia;w;1
2;Rebeca;w;1
2;Rebecca;w;1
2;Rose;w;1
2;Sarah;w;1
2;Selma;w;1
2;Svea;w;1
2;Tamara;w;1
2;Valentina;w;1
2;Valeria;w;1
2;Yasmin;w;1
2;Yasna;w;1
2;Zoe;w;1
2;Zoey;w;1
