anzahl;vorname;geschlecht;position
10;Sophie;w;2
8;Marie;w;2
7;Anna;w;1
7;Adam;m;1
7;Leon;m;1
7;Paul;m;1
6;Anton;m;1
6;Ben;m;1
6;Henry;m;1
6;Leo;m;1
6;Noah;m;1
5;Charlotte;w;1
5;Emily;w;1
5;Hailey;w;1
5;Nora;w;1
5;Elias;m;1
5;Erik;m;1
5;Jonas;m;1
5;Moritz;m;1
5;Elias;m;2
4;Alina;w;1
4;Amelie;w;1
4;Ella;w;1
4;Emilia;w;1
4;Helen;w;1
4;Lara;w;1
4;Leni;w;1
4;Leonie;w;1
4;Marlene;w;1
4;Melina;w;1
4;Mia;w;1
4;Mira;w;1
4;Sofia;w;1
4;Arian;m;1
4;Enno;m;1
4;Jakob;m;1
4;Levi;m;1
4;Lio;m;1
4;Lukas;m;1
4;Nils;m;1
4;Samuel;m;1
4;Valentin;m;1
4;Alexander;m;2
4;Emil;m;2
4;Maximilian;m;2
3;Amy;w;1
3;Ava;w;1
3;Diana;w;1
3;Elisa;w;1
3;Emma;w;1
3;Hannah;w;1
3;Josephine;w;1
3;Katharina;w;1
3;Käthe;w;1
3;Laura;w;1
3;Lea;w;1
3;Liana;w;1
3;Luana;w;1
3;Luisa;w;1
3;Malia;w;1
3;Mila;w;1
3;Nele;w;1
3;Rosalie;w;1
3;Sophia;w;1
3;Adrian;m;1
3;Alexander;m;1
3;Arthur;m;1
3;David;m;1
3;Dean;m;1
3;Emil;m;1
3;Fabian;m;1
3;Felix;m;1
3;Fynn;m;1
3;Jona;m;1
3;Kilian;m;1
3;Leonard;m;1
3;Liam;m;1
3;Louis;m;1
3;Markus;m;1
3;Max;m;1
3;Maximilian;m;1
3;Nikita;m;1
3;Oliver;m;1
3;Simon;m;1
3;Tony;m;1
3;Tyler;m;1
3;Charlotte;w;2
3;Johanna;w;2
3;Rose;w;2
3;Anton;m;2
3;David;m;2
3;Marie;w;3
2;Alba;w;1
2;Alicia;w;1
2;Alissa;w;1
2;Amalia;w;1
2;Amelia;w;1
2;Annie;w;1
2;Antonia;w;1
2;Charlotta;w;1
2;Daria;w;1
2;Hana;w;1
2;Helena;w;1
2;Helene;w;1
2;Johanna;w;1
2;Josefine;w;1
2;Julia;w;1
2;Juna;w;1
2;Klara;w;1
2;Lilly;w;1
2;Lina;w;1
2;Linda;w;1
2;Lisa;w;1
2;Lucia;w;1
2;Maja;w;1
2;Malina;w;1
2;Mara;w;1
2;Maria;w;1
2;Mariella;w;1
2;Mathilda;w;1
2;Matilda;w;1
2;Maya;w;1
2;Melisa;w;1
2;Melody;w;1
2;Merle;w;1
2;Mina;w;1
2;Nina;w;1
2;Olivia;w;1
2;Paulina;w;1
2;Pia;w;1
2;Ria;w;1
2;Sophie;w;1
2;Stefanie;w;1
2;Yuna;w;1
2;Zoe;w;1
2;Aaron;m;1
2;Aiden;m;1
2;Ali;m;1
2;Amir;m;1
2;Connor;m;1
2;Damian;m;1
2;Dominik;m;1
2;Eddie;m;1
2;Elyas;m;1
2;Filip;m;1
2;Finn;m;1
2;Ismail;m;1
2;Jannis;m;1
2;Jari;m;1
2;Leander;m;1
2;Luan;m;1
2;Luca;m;1
2;Mark;m;1
2;Matei;m;1
2;Matheo;m;1
2;Mattis;m;1
2;Milan;m;1
2;Mohamad;m;1
2;Mohamed;m;1
2;Piet;m;1
2;Raphael;m;1
2;Richard;m;1
2;Theo;m;1
2;Till;m;1
2;Timo;m;1
2;Vincent;m;1
2;Eva;w;2
2;Franziska;w;2
2;Freya;w;2
2;Gia;w;2
2;Hope;w;2
2;Isabella;w;2
2;Jane;w;2
2;Kaur;w;2
2;Lilly;w;2
2;Luise;w;2
2;Luna;w;2
2;Malea;w;2
2;Maria;w;2
2;Martha;w;2
2;Mathilda;w;2
2;Mia;w;2
2;Theodora;w;2
2;Victoria;w;2
2;Ali;m;2
2;Anh;m;2
2;Bao;m;2
2;Christopher;m;2
2;Constantin;m;2
2;Emilian;m;2
2;Ferdinand;m;2
2;Jayden;m;2
2;Johannes;m;2
2;Kurt;m;2
2;Mika;m;2
2;Minh;m;2
2;Niklas;m;2
2;Oliver;m;2
2;Paul;m;2
2;Rainer;m;2
2;Anh;w;3
2;Elisabeth;w;3
2;Linh;w;3
1;Adelina;w;1
1;Adina;w;1
1;Adriana;w;1
1;Aila;w;1
1;Aisha;w;1
1;Alaya;w;1
1;Alea;w;1
1;Alisa;w;1
1;Aliyah;w;1
1;Allana;w;1
1;Alma;w;1
1;Alya;w;1
1;Amalie;w;1
1;Amara;w;1
1;Amellie;w;1
1;Amina;w;1
1;Amira;w;1
1;Amélie;w;1
1;Anastasia;w;1
1;Angela;w;1
1;Angelie;w;1
1;Anh;w;1
1;Anissa;w;1
1;Anna-Lena;w;1
1;Annalena;w;1
1;Arelia;w;1
1;Aria;w;1
1;Arnela;w;1
1;Astrid;w;1
1;Aurelie;w;1
1;Aurora;w;1
1;Ayana;w;1
1;Ayla;w;1
1;Aylin;w;1
1;Bao;w;1
1;Beatrice;w;1
1;Beatris;w;1
1;Belange;w;1
1;Bella;w;1
1;Bảo;w;1
1;Calea;w;1
1;Carolin;w;1
1;Cataleya;w;1
1;Celeste;w;1
1;Charly;w;1
1;Chelsea;w;1
1;Chloë;w;1
1;Christy;w;1
1;Clara;w;1
1;Cleo;w;1
1;Dahlia;w;1
1;Dania;w;1
1;Daniela;w;1
1;Darja;w;1
1;Darya;w;1
1;Dina;w;1
1;Edie;w;1
1;Ekaterina;w;1
1;Elayne;w;1
1;Elea;w;1
1;Elen;w;1
1;Elenya;w;1
1;Eleonora;w;1
1;Eliana;w;1
1;Elisabeth;w;1
1;Elissa;w;1
1;Elizaveta;w;1
1;Ellen;w;1
1;Elli;w;1
1;Elly;w;1
1;Eman;w;1
1;Emeliya;w;1
1;Emilya;w;1
1;Emmy;w;1
1;Eniola;w;1
1;Era;w;1
1;Eva-Mihaela;w;1
1;Eva;w;1
1;Evelyn;w;1
1;Eyersalem;w;1
1;Eyvor;w;1
1;Faten;w;1
1;Fee;w;1
1;Felina;w;1
1;Feline;w;1
1;Fina;w;1
1;Fine;w;1
1;Fiona;w;1
1;Flora;w;1
1;Florabella;w;1
1;Francesca-Maria;w;1
1;Francesca;w;1
1;Freja;w;1
1;Freya;w;1
1;Frida;w;1
1;Frieda;w;1
1;Friederike;w;1
1;Gerda;w;1
1;Gina;w;1
1;Godiva;w;1
1;Gulfize;w;1
1;Gurbani;w;1
1;Hailee;w;1
1;Hailey-Sophie;w;1
1;Hala;w;1
1;Hamta;w;1
1;Hanni;w;1
1;Harnoor;w;1
1;Hedi;w;1
1;Henriette;w;1
1;Hermine;w;1
1;Ida;w;1
1;Ilvie;w;1
1;Ivy;w;1
1;Jacqueline;w;1
1;Jamila;w;1
1;Jannat;w;1
1;Jeanne;w;1
1;Jelena;w;1
1;Jennifer;w;1
1;Jessie;w;1
1;Jillian;w;1
1;Jocy;w;1
1;Joey;w;1
1;Joleen;w;1
1;Kalina;w;1
1;Kamdem;w;1
1;Kamila;w;1
1;Kamy;w;1
1;Karina;w;1
1;Kasiani;w;1
1;Kate;w;1
1;Kendra;w;1
1;Kim;w;1
1;Kimberly;w;1
1;Kira;w;1
1;Klarissa;w;1
1;Kyara;w;1
1;Kylie;w;1
1;Laila;w;1
1;Lailany-Shayen;w;1
1;Lamija;w;1
