anzahl;vorname;geschlecht;position
34;Leon;m;1
33;Sophie;w;2
29;Ali;m;1
29;Marie;w;2
28;Adam;m;1
28;Noah;m;1
25;Emil;m;1
24;Emma;w;1
22;Emilia;w;1
22;Alexander;m;2
21;Maximilian;m;1
20;Theodor;m;1
19;Anna;w;1
19;Mia;w;1
19;Olivia;w;1
19;Leo;m;1
19;Maria;w;2
18;Charlotte;w;1
18;Lea;w;1
18;Mila;w;1
18;Nora;w;1
18;Liam;m;1
17;Ida;w;1
17;Sophia;w;1
17;Gabriel;m;1
17;Paul;m;1
17;Luise;w;2
16;Lara;w;1
16;Elias;m;1
16;Louis;m;1
16;Charlotte;w;2
15;Alma;w;1
15;Clara;w;1
15;Mira;w;1
15;Henry;m;1
15;Luca;m;1
15;Milan;m;1
15;Sophia;w;2
15;Ali;m;2
15;Maximilian;m;2
14;Ella;w;1
14;Mathilda;w;1
14;Sara;w;1
14;Jonas;m;1
13;Marie;w;1
13;Sophie;w;1
13;Amir;m;1
13;David;m;1
13;Jakob;m;1
13;Levi;m;1
13;Mohammed;m;1
12;Elisa;w;1
12;Eva;w;1
12;Luna;w;1
12;Maria;w;1
12;Arthur;m;1
12;Felix;m;1
12;Finn;m;1
12;Fritz;m;1
12;Muhammed;m;1
12;August;m;2
11;Azra;w;1
11;Hannah;w;1
11;Lena;w;1
11;Anton;m;1
11;Hamza;m;1
11;Miran;m;1
11;Emilia;w;2
11;Emil;m;2
10;Ava;w;1
10;Emily;w;1
10;Lina;w;1
10;Luisa;w;1
10;Hassan;m;1
10;Jonathan;m;1
10;Julian;m;1
10;Julius;m;1
10;Luis;m;1
10;Mohammad;m;1
10;Omar;m;1
10;Oskar;m;1
10;Valentin;m;1
10;Anna;w;2
10;Elias;m;2
10;Friedrich;m;2
10;Paul;m;2
10;Theodor;m;2
9;Laura;w;1
9;Leonie;w;1
9;Luise;w;1
9;Romy;w;1
9;Aaron;m;1
9;Alexander;m;1
9;Daniel;m;1
9;Enno;m;1
9;Ibrahim;m;1
9;Karl;m;1
9;Levin;m;1
9;Lukas;m;1
9;Malik;m;1
9;Tom;m;1
9;Yusuf;m;1
9;Elisabeth;w;2
9;Victoria;w;2
9;Leo;m;2
8;Cleo;w;1
8;Hanna;w;1
8;Lilly;w;1
8;Medina;w;1
8;Paula;w;1
8;Sarah;w;1
8;Tilda;w;1
8;Albert;m;1
8;Alex;m;1
8;Ben;m;1
8;Friedrich;m;1
8;Johann;m;1
8;Khaled;m;1
8;Leonard;m;1
8;Matteo;m;1
8;Mohamed;m;1
8;Oliver;m;1
8;Theo;m;1
8;Vincent;m;1
8;Alexandra;w;2
8;Mathilda;w;2
8;Ferdinand;m;2
8;Levi;m;2
8;Luis;m;2
8;Michael;m;2
8;Marie;w;3
7;Elena;w;1
7;Elisabeth;w;1
7;Helena;w;1
7;Isabella;w;1
7;Johanna;w;1
7;Julia;w;1
7;Layan;w;1
7;Liya;w;1
7;Malia;w;1
7;Mariam;w;1
7;Maya;w;1
7;Milla;w;1
7;Mina;w;1
7;Nele;w;1
7;Zoe;w;1
7;Ayaz;m;1
7;Carl;m;1
7;Carlo;m;1
7;Lev;m;1
7;Mateo;m;1
7;Max;m;1
7;Mustafa;m;1
7;Samuel;m;1
7;Frieda;w;2
7;Gabriel;m;2
7;Jonathan;m;2
7;Karl;m;2
7;Mustafa;m;2
6;Alina;w;1
6;Alva;w;1
6;Amalia;w;1
6;Amira;w;1
6;Carlotta;w;1
6;Ela;w;1
6;Fatima;w;1
6;Frieda;w;1
6;Leni;w;1
6;Leyla;w;1
6;Lia;w;1
6;Liv;w;1
6;Louisa;w;1
6;Malina;w;1
6;Marlene;w;1
6;Martha;w;1
6;Sofia;w;1
6;Toni;w;1
6;Victoria;w;1
6;Yuna;w;1
6;Zeynep;w;1
6;Adrian;m;1
6;Ahmed;m;1
6;Aras;m;1
6;Ayan;m;1
6;Benjamin;m;1
6;Bruno;m;1
6;Frederik;m;1
6;Gustav;m;1
6;Henri;m;1
6;Jacob;m;1
6;Kaan;m;1
6;Leonardo;m;1
6;Leopold;m;1
6;Lucas;m;1
6;Luka;m;1
6;Moritz;m;1
6;Muhammad;m;1
6;Niklas;m;1
6;Otto;m;1
