anzahl;vorname;geschlecht;position
20;Elias;m;1
18;Ali;m;1
17;Lina;w;1
17;Mira;w;1
17;Noah;m;1
16;Sophie;w;2
15;Mia;w;1
14;Adam;m;1
14;Luca;m;1
13;Emilia;w;1
12;Emma;w;1
12;Amir;m;1
12;Malik;m;1
12;Theo;m;1
11;Ayla;w;1
11;Liya;w;1
11;Yasin;m;1
11;Marie;w;2
11;Alexander;m;2
10;Lena;w;1
10;Mila;w;1
10;Finn;m;1
10;Maria;w;2
9;Emily;w;1
9;Lara;w;1
9;Lea;w;1
9;Leyla;w;1
9;Ben;m;1
9;Milan;m;1
8;Ella;w;1
8;Maya;w;1
8;Hamza;m;1
8;Hassan;m;1
8;Jonas;m;1
8;Leon;m;1
8;Oskar;m;1
8;Ali;m;2
7;Charlotte;w;1
7;Helena;w;1
7;Leonie;w;1
7;Mariam;w;1
7;Marie;w;1
7;Sara;w;1
7;Aras;m;1
7;Erik;m;1
7;Felix;m;1
7;Levin;m;1
7;Liam;m;1
7;Matteo;m;1
7;Max;m;1
7;Valentina;w;2
6;Alma;w;1
6;Amalia;w;1
6;Anna;w;1
6;Ela;w;1
6;Elif;w;1
6;Lilly;w;1
6;Maja;w;1
6;Zoe;w;1
6;Alexander;m;1
6;Anton;m;1
6;Can;m;1
6;Ibrahim;m;1
6;Louis;m;1
6;Mohamad;m;1
6;Musa;m;1
6;Rafael;m;1
6;Theodor;m;1
6;Tim;m;1
6;Emilia;w;2
6;Luise;w;2
6;Emil;m;2
5;Clara;w;1
5;Elena;w;1
5;Elisa;w;1
5;Fatima;w;1
5;Hanna;w;1
5;Johanna;w;1
5;Laura;w;1
5;Luna;w;1
5;Malia;w;1
5;Mathilda;w;1
5;Mina;w;1
5;Yara;w;1
5;Yasmin;w;1
5;Zümra;w;1
5;Bilal;m;1
5;David;m;1
5;Edgar;m;1
5;Emir;m;1
5;Enes;m;1
5;Henry;m;1
5;Issa;m;1
5;Jakob;m;1
5;Jonathan;m;1
5;Leo;m;1
5;Lukas;m;1
5;Mateo;m;1
5;Milo;m;1
5;Mustafa;m;1
5;Omar;m;1
5;Yahya;m;1
5;Yunus;m;1
5;Yusuf;m;1
5;Charlotte;w;2
5;Elisabeth;w;2
5;Su;w;2
5;Paul;m;2
4;Ada;w;1
4;Alicia;w;1
4;Amelie;w;1
4;Asel;w;1
4;Asya;w;1
4;Diana;w;1
4;Elina;w;1
4;Hayat;w;1
4;Lia;w;1
4;Lotte;w;1
4;Maria;w;1
4;Marlene;w;1
4;Medina;w;1
4;Melissa;w;1
4;Merle;w;1
4;Milena;w;1
4;Olivia;w;1
4;Rosa;w;1
4;Ruby;w;1
4;Selin;w;1
4;Sophia;w;1
4;Sophie;w;1
4;Wilma;w;1
4;Zara;w;1
4;Zeynep;w;1
4;Ahmad;m;1
4;Ahmed;m;1
4;Alessio;m;1
4;Arian;m;1
4;Ayaz;m;1
4;Carlo;m;1
4;Dean;m;1
4;Emil;m;1
4;Emilio;m;1
4;Filip;m;1
4;Fynn;m;1
4;Gabriel;m;1
4;Jan;m;1
4;Jayden;m;1
4;Jibril;m;1
4;John;m;1
4;Julian;m;1
4;Julius;m;1
4;Karl;m;1
4;Kilian;m;1
4;Lennard;m;1
4;Linus;m;1
4;Maxim;m;1
4;Mika;m;1
4;Miran;m;1
4;Mohammad;m;1
4;Moritz;m;1
4;Paul;m;1
4;Richard;m;1
4;Robin;m;1
4;Samuel;m;1
4;Simon;m;1
4;Yiğit;m;1
4;Zeyd;m;1
4;Lina;w;2
4;Luisa;w;2
4;Rose;w;2
4;Christian;m;2
4;Franz;m;2
4;Friedrich;m;2
4;Louis;m;2
4;Luca;m;2
4;Matteo;m;2
4;Maximilian;m;2
4;Milan;m;2
4;Peter;m;2
4;Raphael;m;2
4;Valentin;m;2
3;Alea;w;1
3;Alena;w;1
3;Alin;w;1
3;Alina;w;1
3;Aliya;w;1
3;Amar;w;1
3;Amira;w;1
3;Anastasia;w;1
3;Anni;w;1
3;Ava;w;1
3;Azra;w;1
3;Batoul;w;1
3;Beyza;w;1
3;Carla;w;1
3;Dalia;w;1
3;Defne;w;1
3;Dua;w;1
3;Elisabeth;w;1
3;Hannah;w;1
3;Isabella;w;1
3;Isra;w;1
3;Jana;w;1
3;Jolina;w;1
3;Juna;w;1
3;Layan;w;1
3;Leni;w;1
3;Luana;w;1
3;Malak;w;1
3;Malea;w;1
3;Malina;w;1
3;Mara;w;1
3;Melek;w;1
3;Melia;w;1
3;Melina;w;1
3;Melisa;w;1
3;Nele;w;1
3;Nicole;w;1
3;Nora;w;1
3;Nour;w;1
3;Paulina;w;1
3;Rosalie;w;1
3;Sofia;w;1
3;Stella;w;1
3;Tuana;w;1
3;Alan;m;1
3;Amar;m;1
3;Aram;m;1
3;Arthur;m;1
3;Benjamin;m;1
3;Bruno;m;1
3;Damian;m;1
3;Daniel;m;1
3;Efe;m;1
3;Elyas;m;1
3;Emin;m;1
3;Fabian;m;1
3;Hannes;m;1
3;Jacob;m;1
3;Janosch;m;1
3;Johannes;m;1
3;Joshua;m;1
3;Kerem;m;1
3;Kevin;m;1
3;Lennox;m;1
3;Leonard;m;1
3;Levi;m;1
3;Lio;m;1
3;Luis;m;1
3;Mahir;m;1
3;Mahmoud;m;1
3;Mats;m;1
3;Mattis;m;1
3;Maximilian;m;1
3;Mert;m;1
3;Mohammed;m;1
3;Nino;m;1
3;Oliver;m;1
3;Raphael;m;1
3;Rio;m;1
3;Salih;m;1
3;Toni;m;1
3;Umut;m;1
3;Viktor;m;1
3;Vincent;m;1
3;Youssef;m;1
3;Amara;w;2
3;Dua;w;2
3;Elena;w;2
3;Elif;w;2
3;Johanna;w;2
3;Joleen;w;2
3;Julie;w;2
3;Lotta;w;2
3;Luna;w;2
3;Nour;w;2
3;Sara;w;2
3;Sophia;w;2
3;Viktoria;w;2
3;Ahmet;m;2
3;Aslan;m;2
3;Benjamin;m;2
3;Can;m;2
3;David;m;2
3;Fritz;m;2
3;Gabriel;m;2
3;Henry;m;2
3;Jakob;m;2
3;Jamal;m;2
3;James;m;2
3;Joel;m;2
3;Klaus;m;2
3;Michael;m;2
3;Milo;m;2
3;Noah;m;2
3;Oliver;m;2
3;Samuel;m;2
3;Vincent;m;2
3;Ingrid;w;3
2;Adina;w;1
2;Ahsen;w;1
2;Aisha;w;1
2;Alara;w;1
2;Aleyna;w;1
2;Alice;w;1
2;Alya;w;1
2;Amanda;w;1
2;Amara;w;1
2;Amelia;w;1
2;Anastasija;w;1
2;Ariane;w;1
2;Arya;w;1
2;Audrey;w;1
2;Aurelia;w;1
2;Aya;w;1
2;Aylin;w;1
2;Ayşe;w;1
2;Batul;w;1
2;Bella;w;1
2;Bianca;w;1
2;Carlotta;w;1
2;Celina;w;1
2;Cleo;w;1
2;Elea;w;1
2;Eleni;w;1
2;Eleonora;w;1
2;Eleyna;w;1
2;Elfida;w;1
2;Elin;w;1
2;Elizan;w;1
2;Elora;w;1
2;Elsa;w;1
2;Emilie;w;1
2;Esther;w;1
2;Eva;w;1
2;Fatma;w;1
2;Frida;w;1
2;Frieda;w;1
2;Giulia;w;1
2;Greta;w;1
2;Hedda;w;1
2;Helene;w;1
2;Ida;w;1
2;Iman;w;1
2;İkra;w;1
2;Jannah;w;1
2;Jasmin;w;1
2;Jasmine;w;1
2;Jessica;w;1
2;Jinan;w;1
2;Julia;w;1
2;Kaja;w;1
2;Kalina;w;1
2;Karlotta;w;1
2;Larin;w;1
2;Leana;w;1
2;Leandra;w;1
2;Lene;w;1
2;Lillian;w;1
2;Livia;w;1
2;Liz;w;1
2;Lola;w;1
2;Lorin;w;1
2;Luisa;w;1
2;Luise;w;1
2;Lyana;w;1
2;Majvi;w;1
2;Malin;w;1
2;Malu;w;1
2;Maryam;w;1
2;Mayla;w;1
2;Melin;w;1
2;Meryem;w;1
2;Miela;w;1
2;Mihra;w;1
2;Miral;w;1
2;Miray;w;1
2;Miriam;w;1
2;Mona;w;1
2;Naila;w;1
2;Nehir;w;1
2;Nike;w;1
2;Nila;w;1
2;Nisa;w;1
2;Noelia;w;1
2;Nura;w;1
2;Paula;w;1
2;Romy;w;1
2;Rose;w;1
2;Rüya;w;1
2;Sena;w;1
2;Sonja;w;1
2;Thalia;w;1
2;Thea;w;1
2;Umay;w;1
2;Una;w;1
2;Victoria;w;1
2;Viktoria;w;1
2;Wilhelmine;w;1
2;Yuna;w;1
2;Zahraa;w;1
2;Zehra;w;1
2;Abdullah;m;1
2;Adem;m;1
2;Adrian;m;1
2;Ahad;m;1
2;Albion;m;1
2;Aleo;m;1
2;Alper;m;1
2;Antonio;m;1
2;Arel;m;1
2;Aryan;m;1
2;Bela;m;1
2;Benno;m;1
2;Berat;m;1
2;Bo;m;1
2;Charlie;m;1
2;Christopher;m;1
2;Denis;m;1
2;Deran;m;1
2;Diell;m;1
2;Diyan;m;1
2;Diyar;m;1
2;Dominik;m;1
2;Dylan;m;1
2;Edin;m;1
2;Ege;m;1
2;Eliah;m;1
2;Eliyah;m;1
2;Eliyas;m;1
2;Emanuel;m;1
2;Emmanuel;m;1
2;Ensar;m;1
2;Fiete;m;1
2;Florian;m;1
2;Franz;m;1
2;Frederick;m;1
2;Frederik;m;1
2;Georg;m;1
2;Hani;m;1
2;Hussein;m;1
2;Hüseyin;m;1
2;Ian;m;1
2;Ignacy;m;1
2;Ilay;m;1
2;Ilyas;m;1
2;Isa;m;1
2;Isaiah;m;1
2;James;m;1
2;Jamil;m;1
2;Jari;m;1
2;Jaron;m;1
2;Jasper;m;1
2;Joel;m;1
2;Jona;m;1
2;Jonne;m;1
2;Joris;m;1
2;Julien;m;1
2;Kaan;m;1
2;Kenan;m;1
2;Khaled;m;1
2;Khalil;m;1
2;Kian;m;1
2;Kimi;m;1
2;Konstantin;m;1
2;Lars;m;1
2;Leano;m;1
2;Lennart;m;1
2;Leonas;m;1
2;Levent;m;1
2;Liyan;m;1
2;Luka;m;1
2;Lyan;m;1
2;Malek;m;1
2;Marian;m;1
2;Marlon;m;1
2;Martin;m;1
2;Mathis;m;1
2;Mehdi;m;1
2;Mehmet;m;1
2;Merdan;m;1
2;Michael;m;1
2;Muhammad;m;1
2;Muhammed;m;1
2;Nicklas;m;1
2;Niklas;m;1
2;Nikolas;m;1
2;Nils;m;1
2;Noel;m;1
2;Ole;m;1
2;Pepe;m;1
2;Philipp;m;1
2;Piet;m;1
2;Rami;m;1
2;Rayan;m;1
2;Roan;m;1
2;Ruben;m;1
2;Ryan;m;1
2;Taim;m;1
2;Tamim;m;1
2;Till;m;1
2;Timur;m;1
2;Tjelvar;m;1
2;Uraz;m;1
2;Wanja;m;1
2;Wilhelm;m;1
2;Yakup;m;1
2;Yavuz;m;1
2;Yağız;m;1
2;Zaid;m;1
2;Zayn;m;1
2;Alina;w;2
2;Amelie;w;2
2;Anais;w;2
2;Anna;w;2
2;Arya;w;2
2;Auguste;w;2
2;Aurora;w;2
2;Carlotta;w;2
2;Chloé;w;2
2;Debora;w;2
2;Elissa;w;2
2;Ella;w;2
