anzahl;vorname;geschlecht;position
51;Marie;w;2
48;Mia;w;1
42;Sophie;w;2
41;Emilia;w;1
39;Oskar;m;1
33;Leon;m;1
32;Ella;w;1
32;Emily;w;1
32;Emma;w;1
31;Emil;m;1
31;Henry;m;1
31;Alexander;m;2
30;Charlotte;w;1
30;Noah;m;1
28;Mila;w;1
28;Lukas;m;1
27;Louis;m;1
26;Felix;m;1
25;Sophia;w;1
25;Anton;m;1
25;Finn;m;1
25;Karl;m;1
25;Luca;m;1
25;Maximilian;m;1
24;Jonas;m;1
23;Anna;w;1
23;Lina;w;1
23;Ben;m;1
23;Theodor;m;1
23;Maria;w;2
22;Charlotte;w;2
21;Ida;w;1
21;David;m;1
21;Elias;m;1
21;Liam;m;1
21;Moritz;m;1
21;Theo;m;1
20;Lea;w;1
20;Lisa;w;1
20;Erik;m;1
20;Levi;m;1
20;Paul;m;1
19;Hanna;w;1
19;Julia;w;1
19;Leni;w;1
18;Lena;w;1
18;Leonie;w;1
18;Mathilda;w;1
18;Paula;w;1
18;Mika;m;1
18;Luise;w;2
17;Hannah;w;1
17;Helena;w;1
17;Lara;w;1
17;Luna;w;1
17;Sophie;w;1
17;Lio;m;1
17;Maximilian;m;2
16;Clara;w;1
16;Lilly;w;1
16;Daniel;m;1
16;Leo;m;1
16;Milan;m;1
16;Pepe;m;1
16;Emilia;w;2
16;Emil;m;2
15;Ava;w;1
15;Elisa;w;1
15;Klara;w;1
15;Maja;w;1
15;Mara;w;1
15;Nora;w;1
15;Alexander;m;1
15;Arthur;m;1
15;Luis;m;1
15;Elisabeth;w;2
15;Elias;m;2
15;Karl;m;2
14;Amelie;w;1
14;Johanna;w;1
14;Luisa;w;1
14;Mina;w;1
14;Leonard;m;1
14;Tim;m;1
13;Isabella;w;1
13;Lotta;w;1
13;Mira;w;1
13;Benjamin;m;1
13;Henri;m;1
13;Jonathan;m;1
13;Matteo;m;1
13;Max;m;1
13;Maxim;m;1
13;Samuel;m;1
13;Tom;m;1
12;Alma;w;1
12;Juna;w;1
12;Lia;w;1
12;Marlene;w;1
12;Merle;w;1
12;Romy;w;1
12;Fritz;m;1
12;Julian;m;1
12;Luka;m;1
12;Till;m;1
12;Christian;m;2
12;David;m;2
11;Alina;w;1
11;Finja;w;1
11;Marie;w;1
11;Maya;w;1
11;Nele;w;1
11;Sofia;w;1
11;Adam;m;1
11;Adrian;m;1
11;Jonah;m;1
11;Joshua;m;1
11;Milo;m;1
11;Rafael;m;1
11;Valentin;m;1
11;Paul;m;2
10;Aurelia;w;1
10;Laura;w;1
10;Lotte;w;1
10;Olivia;w;1
10;Sarah;w;1
10;Tilda;w;1
10;Zoe;w;1
10;Linus;m;1
10;Lucas;m;1
10;Mateo;m;1
10;Mats;m;1
10;Matti;m;1
10;Louise;w;2
10;Luca;m;2
10;Michael;m;2
9;Frida;w;1
9;Frieda;w;1
9;Luise;w;1
9;Rosalie;w;1
9;Ruby;w;1
9;Valerie;w;1
9;Zoey;w;1
9;Aaron;m;1
9;Edgar;m;1
9;Enno;m;1
9;Jan;m;1
9;Martin;m;1
9;Niklas;m;1
9;Nils;m;1
9;Oscar;m;1
9;Raphael;m;1
9;Johanna;w;2
9;Sophia;w;2
9;Andreas;m;2
9;Noah;m;2
9;Otto;m;2
9;Valentin;m;2
9;Marie;w;3
8;Alice;w;1
8;Alva;w;1
8;Antonia;w;1
8;Elina;w;1
8;Elisabeth;w;1
8;Eva;w;1
8;Hailey;w;1
8;Malou;w;1
8;Matilda;w;1
8;Melina;w;1
8;Wilma;w;1
8;Bruno;m;1
8;Carl;m;1
8;Carlo;m;1
8;Charlie;m;1
8;Fabian;m;1
8;Friedrich;m;1
8;Konstantin;m;1
8;Vincent;m;1
8;Anna;w;2
8;Ida;w;2
8;Felix;m;2
8;Friedrich;m;2
8;Levi;m;2
8;Noel;m;2
8;Theodor;m;2
7;Cleo;w;1
7;Elena;w;1
7;Elise;w;1
7;Fiona;w;1
7;Flora;w;1
7;Jenny;w;1
7;Karlotta;w;1
7;Katharina;w;1
7;Lilith;w;1
7;Maria;w;1
7;Milla;w;1
7;Minna;w;1
7;Victoria;w;1
7;Ferdinand;m;1
7;Jakob;m;1
7;Jannis;m;1
7;Janosch;m;1
7;Jasper;m;1
7;Kalle;m;1
7;Levin;m;1
7;Ludwig;m;1
7;Mailo;m;1
7;Marlon;m;1
7;Matheo;m;1
7;Ole;m;1
7;Otto;m;1
7;Toni;m;1
7;Helene;w;2
7;Lotte;w;2
7;Mia;w;2
7;Rosa;w;2
7;Victoria;w;2
7;Henry;m;2
7;Anh;w;3
6;Ada;w;1
