anzahl;vorname;geschlecht;position
16;Emilia;w;1
15;Charlotte;w;1
14;Marie;w;2
14;Sophie;w;2
11;Maria;w;2
10;Emilia;w;2
9;Sophia;w;1
8;Emma;w;1
8;Lara;w;1
8;Elias;m;1
8;Emil;m;1
8;Leo;m;1
8;Leon;m;1
8;Levi;m;1
8;Charlotte;w;2
8;Alexander;m;2
7;Hanna;w;1
7;Mila;w;1
7;Zoe;w;1
7;Felix;m;1
7;Jakob;m;1
6;Clara;w;1
6;Hannah;w;1
6;Ida;w;1
6;Lea;w;1
6;Lia;w;1
6;Luisa;w;1
6;Malou;w;1
6;Olivia;w;1
6;Alexander;m;1
6;Ben;m;1
6;Jonathan;m;1
6;Karl;m;1
6;Noah;m;1
6;Victoria;w;2
6;Elias;m;2
5;Anna;w;1
5;Ella;w;1
5;Romy;w;1
5;Aaron;m;1
5;Adam;m;1
5;Liam;m;1
5;Louis;m;1
5;Luis;m;1
5;Matteo;m;1
5;Maximilian;m;1
5;Theo;m;1
5;Theodor;m;1
5;Tim;m;1
5;Sophia;w;2
5;David;m;2
5;Friedrich;m;2
4;Alina;w;1
4;Alma;w;1
4;Amelie;w;1
4;Elena;w;1
4;Emily;w;1
4;Johanna;w;1
4;Lilly;w;1
4;Livia;w;1
4;Luise;w;1
4;Malea;w;1
4;Mara;w;1
4;Marie;w;1
4;Mathilda;w;1
4;Maya;w;1
4;Mira;w;1
4;Pauline;w;1
4;Daniel;m;1
4;Finn;m;1
4;Julian;m;1
4;Lasse;m;1
4;Mateo;m;1
4;Milan;m;1
4;Moritz;m;1
4;Oskar;m;1
4;Paul;m;1
4;Samuel;m;1
4;Toni;m;1
4;Valentin;m;1
4;Elisabeth;w;2
4;Luise;w;2
4;Pauline;w;2
4;Emil;m;2
4;Julius;m;2
4;Levi;m;2
4;Matteo;m;2
4;Theodor;m;2
3;Amalia;w;1
3;Ava;w;1
3;Elina;w;1
3;Frida;w;1
3;Helena;w;1
3;Laura;w;1
3;Leni;w;1
3;Linnea;w;1
3;Lucia;w;1
3;Melek;w;1
3;Nika;w;1
3;Ruby;w;1
3;Sophie;w;1
3;Viktoria;w;1
3;Arthur;m;1
3;Ayaz;m;1
3;Benjamin;m;1
3;Caspar;m;1
3;Erik;m;1
3;Fabian;m;1
3;Friedrich;m;1
3;Jonas;m;1
3;Julius;m;1
3;Justus;m;1
3;Leonidas;m;1
3;Lian;m;1
3;Lio;m;1
3;Luan;m;1
3;Luka;m;1
3;Lukas;m;1
3;Neo;m;1
3;Nicolas;m;1
3;Philipp;m;1
3;Tamino;m;1
3;Tom;m;1
3;Jasmin;w;2
3;Johanna;w;2
3;Lou;w;2
3;Lynn;w;2
3;Ruth;w;2
3;Christian;m;2
3;Daniel;m;2
3;Felix;m;2
3;Gabriel;m;2
3;Kurt;m;2
3;Liam;m;2
3;Luca;m;2
3;Magnus;m;2
3;Mateo;m;2
3;Mats;m;2
3;Maximilian;m;2
3;Noel;m;2
3;Paul;m;2
3;Valentin;m;2
3;Marie;w;3
3;Sophie;w;3
3;Alexander;m;3
2;Ada;w;1
2;Alexandra;w;1
2;Alisa;w;1
2;Carla;w;1
2;Chiara;w;1
2;Diana;w;1
2;Eleni;w;1
2;Elisa;w;1
2;Elisabeth;w;1
2;Felina;w;1
2;Finja;w;1
2;Flora;w;1
2;Hanne;w;1
2;Hilda;w;1
2;Isabella;w;1
2;Julia;w;1
2;Leoni;w;1
2;Leonie;w;1
2;Liara;w;1
2;Lisa;w;1
2;Liya;w;1
2;Louisa;w;1
2;Luna;w;1
2;Maja;w;1
2;Maria;w;1
2;Marina;w;1
2;Marta;w;1
2;Matilda;w;1
2;Merle;w;1
2;Mia;w;1
2;Milla;w;1
2;Mina;w;1
2;Naomi;w;1
2;Nia;w;1
2;Nora;w;1
2;Nour;w;1
2;Paula;w;1
2;Rosalie;w;1
2;Sarah;w;1
2;Sofia;w;1
2;Valentina;w;1
2;Valerie;w;1
2;Victoria;w;1
2;Anton;m;1
2;Artur;m;1
2;Bennet;m;1
2;Bruno;m;1
2;Charlie;m;1
2;David;m;1
2;Elan;m;1
2;Elyas;m;1
2;Enno;m;1
2;Florentin;m;1
2;Fritz;m;1
2;Gustav;m;1
2;Henry;m;1
2;İlyas;m;1
2;Jan;m;1
2;Jasper;m;1
2;Johannes;m;1
2;Jona;m;1
2;Joshua;m;1
2;Kairo;m;1
2;Leano;m;1
2;Lennart;m;1
2;Leonard;m;1
2;Levin;m;1
2;Lionel;m;1
2;Luca;m;1
2;Lucas;m;1
2;Mailo;m;1
2;Malik;m;1
2;Mathias;m;1
2;Mats;m;1
2;Mattheo;m;1
2;Max;m;1
2;Nathan;m;1
2;Nero;m;1
2;Nikolai;m;1
2;Ole;m;1
2;Rafael;m;1
2;Raffael;m;1
2;Tristan;m;1
2;William;m;1
2;Yaman;m;1
2;Alexandra;w;2
2;Amelie;w;2
2;Anna;w;2
2;Bella;w;2
2;Clara;w;2
2;Eleni;w;2
2;Elis;w;2
2;Elise;w;2
2;Ella;w;2
2;Erika;w;2
2;Franziska;w;2
2;Hanna;w;2
2;Helen;w;2
2;Helena;w;2
2;Isabella;w;2
2;Luisa;w;2
2;Marlen;w;2
2;Marlene;w;2
2;Olivia;w;2
2;Paulina;w;2
2;Penelope;w;2
2;Renate;w;2
2;Rosa;w;2
2;Sarah;w;2
2;Viktoria;w;2
2;Wilma;w;2
2;Arthur;m;2
2;Carlo;m;2
2;Diego;m;2
2;Edward;m;2
2;Eli;m;2
2;Fritz;m;2
2;Fynn;m;2
2;Georg;m;2
2;Hans;m;2
2;Hendrik;m;2
2;Henri;m;2
2;Henry;m;2
2;James;m;2
2;Johann;m;2
2;Johannes;m;2
2;Linus;m;2
2;Miguel;m;2
2;Milan;m;2
2;Moritz;m;2
2;Neo;m;2
2;Nicolas;m;2
2;Samuel;m;2
2;Theo;m;2
2;Thomas;m;2
2;Vincent;m;2
2;Willi;m;2
2;William;m;2
2;Ursula;w;3
2;Amadeus;m;3
2;Friedrich;m;3
2;Konstantin;m;3
1;Abril;w;1
1;Adele;w;1
1;Agatha;w;1
1;Aiyana;w;1
1;Alessia;w;1
1;Aleyna;w;1
1;Alice;w;1
1;Alicia-Sophie;w;1
1;Alicia;w;1
1;Aliyah;w;1
1;Almira;w;1
1;Alva;w;1
1;Alya;w;1
1;Alyssa;w;1
1;Amara;w;1
1;Amber;w;1
1;Amelia;w;1
1;Ami;w;1
1;Amilia;w;1
1;Ananya;w;1
1;Anashe;w;1
1;Anastasia;w;1
1;Angelina;w;1
1;Ania;w;1
1;Ankhiluun;w;1
1;Annabell;w;1
1;Annabella;w;1
1;Annmarie;w;1
1;Antonia;w;1
1;Arnisa;w;1
1;Arya;w;1
1;Aryam;w;1
1;Asiya;w;1
1;Aurelia;w;1
1;Aurelie;w;1
1;Aurélie;w;1
1;Aylin;w;1
1;Ayliz;w;1
1;Beatrice;w;1
1;Berta;w;1
1;Boya;w;1
1;Cataleya;w;1
1;Charlet;w;1
1;Charlett;w;1
1;Christina;w;1
1;Clea;w;1
1;Cleo;w;1
1;Coline;w;1
1;Daria;w;1
1;Dayana;w;1
1;Devi;w;1
1;Djamila;w;1
1;Ebba;w;1
1;Eda;w;1
1;Edgar;w;1
1;Ela;w;1
1;Elana;w;1
1;Elaya;w;1
1;Eleonora;w;1
1;Eleyna;w;1
1;Eliana;w;1
1;Elif;w;1
1;Elinaz;w;1
1;Elissa;w;1
1;Elizaveta;w;1
1;Elli;w;1
1;Elodie;w;1
1;Eloise;w;1
1;Elya;w;1
1;Emi;w;1
1;Emili;w;1
1;Emilie;w;1
1;Emma-Lara;w;1
1;Emmy;w;1
1;Enisa;w;1
1;Enja;w;1
1;Enna;w;1
1;Erva;w;1
1;Eva;w;1
1;Eve-Lotta;w;1
1;Fanar;w;1
1;Fatameh;w;1
1;Feelia;w;1
1;Felicity;w;1
1;Feline;w;1
1;Filicia;w;1
1;Finja-Anouk;w;1
1;Fiona;w;1
1;Fleur;w;1
1;Florentine;w;1
1;Franziska;w;1
1;Freya;w;1
1;Frieda;w;1
1;Friederike;w;1
1;Fritzie;w;1
1;Georgia;w;1
1;Giulia;w;1
1;Giulietta;w;1
1;Grace;w;1
1;Habi;w;1
1;Hailey;w;1
1;Haley;w;1
1;Hayley;w;1
1;Helen;w;1
1;Helene;w;1
1;Helin;w;1
1;Helly;w;1
1;Hira;w;1
1;Holly;w;1
1;Iida;w;1
1;Ilaf;w;1
1;Ilayda;w;1
1;Imara;w;1
1;Isabel;w;1
1;Isabelle;w;1
1;Ivie;w;1
1;Jade;w;1
1;Jella;w;1
1;Jemimah;w;1
1;Jenipher;w;1
1;Jialin;w;1
1;Jione;w;1
1;Johannes;w;1
1;Joleen;w;1
1;Jona;w;1
1;Josefine;w;1
1;Joulie;w;1
1;Juna;w;1
1;Juno;w;1
1;Juri;w;1
1;Kalia;w;1
1;Kamsiyochukwu;w;1
1;Karla;w;1
1;Kataleya;w;1
1;Katharina;w;1
1;Kayleigh;w;1
1;Kimberly;w;1
1;Kira;w;1
1;Kyara;w;1
1;Kylie;w;1
1;Laetizia;w;1
1;Lahuta;w;1
1;Laila;w;1
1;Lana;w;1
1;Lanna;w;1
1;Laurina;w;1
1;Laya;w;1
1;Leah;w;1
1;Leana;w;1
1;Leandra;w;1
1;Lena;w;1
1;Lene;w;1
1;Lennja;w;1
1;Leyla;w;1
1;Lilian;w;1
1;Lilith;w;1
1;Lilli;w;1
1;Lily;w;1
1;Lina;w;1
1;Linea;w;1
1;Linn;w;1
1;Liona;w;1
1;Liora;w;1
1;Liv;w;1
1;Liva;w;1
1;Lora;w;1
1;Lorelei;w;1
1;Lorie;w;1
1;Lorîn;w;1
1;Lotta;w;1
1;Lou;w;1
1;Luca;w;1
1;Lucille;w;1
1;Luiza;w;1
1;Lya;w;1
1;Léanne;w;1
1;Lüszil;w;1
1;Mahala;w;1
1;Maila;w;1
1;Maili;w;1
1;Maite;w;1
1;Malalah;w;1
1;Malea-Lou;w;1
1;Malene;w;1
1;Malia;w;1
1;Malietta;w;1
1;Malika;w;1
1;Malina;w;1
1;Maliya;w;1
1;Mantra;w;1
1;Mara-Marleen;w;1
1;Marabella;w;1
1;Margaux;w;1
1;Marianna;w;1
1;Marisa;w;1
1;Marlene;w;1
1;Marly;w;1
1;Martha;w;1
1;Maryam;w;1
1;Mattea;w;1
1;Maxima;w;1
1;Maximilia;w;1
1;Mayla;w;1
1;Maylin-Jayne;w;1
1;Melania;w;1
1;Melia;w;1
1;Melina;w;1
1;Mersana;w;1
1;Meyna;w;1
1;Michelle;w;1
1;Milea;w;1
1;Milou;w;1
1;Mingyu;w;1
1;Minh;w;1
1;Minna;w;1
1;Minu;w;1
1;Mirabella;w;1
1;Miray;w;1
1;Mirjana;w;1
1;Miya;w;1
1;Mona;w;1
1;Narcisa;w;1
1;Nea;w;1
1;Nejla;w;1
1;Nele;w;1
1;Nelly;w;1
1;Neyla;w;1
1;Nina;w;1
1;Nisa;w;1
1;Nola;w;1
1;Nova;w;1
1;Nupel;w;1
1;Octavia;w;1
1;Ourania;w;1
1;Philine;w;1
1;Phoebe;w;1
1;Pranamya;w;1
1;Rachael;w;1
1;Rachel;w;1
1;Rafaela;w;1
1;Ranime;w;1
1;Rina;w;1
1;Rio;w;1
1;Riva;w;1
1;Rosa;w;1
1;Rukaya;w;1
1;Runa;w;1
1;Safiya;w;1
1;Saliha;w;1
1;Samiya;w;1
1;Sara;w;1
1;Saya;w;1
1;Selena;w;1
1;Selma;w;1
1;Simay;w;1
1;Sofie;w;1
1;Stine-Maria;w;1
1;Sweja;w;1
1;Tabea;w;1
1;Talea;w;1
1;Talvi;w;1
1;Talya;w;1
1;Tara;w;1
1;Taslim;w;1
1;Tatiana;w;1
1;Thea;w;1
1;Theodora;w;1
1;Tilda;w;1
1;Tillie;w;1
1;Torvi;w;1
1;Tuana;w;1
1;Ume-Sahra;w;1
1;Valeria;w;1
1;Vera;w;1
1;Weronika;w;1
1;Wilma;w;1
1;Winnie;w;1
1;Yasmina;w;1
1;Yassmin;w;1
1;Yaël;w;1
1;Ylva;w;1
1;Yorsalem;w;1
1;Yuna;w;1
1;Zara;w;1
1;Zeyna;w;1
1;Zeynep;w;1
1;Zoey;w;1
1;Zümra;w;1
1;Abdulaziz;m;1
1;Adem;m;1
1;Adin;m;1
1;Adrian;m;1
1;Aeneas;m;1
1;Ahmed;m;1
1;Ajdin-Edi;m;1
1;Alan;m;1
1;Albert;m;1
1;Alessandro;m;1
1;Alex;m;1
1;Alteo;m;1
1;Alvaro;m;1
1;Alvian;m;1
1;Alvin;m;1
1;Aléxandros;m;1
1;Amir;m;1
1;Ananda;m;1
1;Andreas;m;1
1;Andro;m;1
1;Antonio;m;1
1;Anuk;m;1
1;Aras;m;1
1;Arno;m;1
1;Aron;m;1
1;Arvidh;m;1
1;Attila;m;1
1;Avélio;m;1
1;Azaan;m;1
1;Benedikt;m;1
1;Bennett;m;1
1;Billy;m;1
1;Bo;m;1
1;Boyan;m;1
1;Brian;m;1
1;Bryan;m;1
1;Béla;m;1
1;Carl;m;1
1;Carlo;m;1
1;Carlos;m;1
1;Cayleb;m;1
1;Cem;m;1
1;Charleton;m;1
1;Charly;m;1
1;Ciel;m;1
1;Damian;m;1
1;Darian;m;1
1;Darren;m;1
1;Dian;m;1
1;Didier;m;1
1;Diego;m;1
1;Dijon;m;1
1;Dionisios;m;1
1;Djurica;m;1
1;Duc;m;1
1;Edouard;m;1
1;Eliah;m;1
1;Elian;m;1
1;Elija;m;1
1;Elio;m;1
1;Elion-Bjørnson;m;1
1;Elmi;m;1
1;Elon;m;1
1;Elouan;m;1
1;Emilian;m;1
1;Emrullah;m;1
1;Enes;m;1
1;Eric;m;1
1;Erich;m;1
1;Ethan;m;1
1;Ezra;m;1
1;Ferdinand;m;1
1;Fiete;m;1
1;Finjas;m;1
1;Fio;m;1
1;Francesco;m;1
1;Franz;m;1
1;Frederick;m;1
1;Frederik;m;1
1;Fynley;m;1
1;Fynn;m;1
1;Gabriel;m;1
1;Georg;m;1
1;Gian;m;1
1;Gibril;m;1
1;Hamza;m;1
1;Hannes;m;1
1;Hanno;m;1
1;Hans;m;1
1;Hashem;m;1
1;Hektor;m;1
1;Helmut;m;1
1;Hennis;m;1
1;Henri;m;1
1;Henryk;m;1
1;Hugo;m;1
1;Héctor;m;1
1;Ianis;m;1
1;Ilian;m;1
1;Ilija;m;1
1;Iliya;m;1
1;Ilja;m;1
1;Ilya;m;1
1;Ilyas;m;1
1;Immanuel;m;1
1;Isabell;m;1
1;Isaiah;m;1
1;Itay;m;1
1;Ivan;m;1
1;Jack;m;1
1;Jacob;m;1
1;Jakov;m;1
1;Jannah;m;1
1;Jannes;m;1
1;Jannik;m;1
1;Jannis;m;1
1;Janosch;m;1
1;Jaska;m;1
1;Jasmin;m;1
1;Jason;m;1
1;Jaspar;m;1
1;Jibril;m;1
1;Joah;m;1
1;Johan;m;1
1;Johann;m;1
1;John;m;1
1;Jon;m;1
1;Jonah;m;1
1;Jordi;m;1
1;Joris;m;1
1;Jos;m;1
1;Joseph;m;1
1;Josha;m;1
1;Josia;m;1
1;Josiah;m;1
1;Joél;m;1
1;Jukka;m;1
1;Julien;m;1
1;Junes;m;1
1;Juri;m;1
1;Karan;m;1
1;Karim;m;1
1;Kayra;m;1
1;Keno;m;1
1;Kevin;m;1
1;Kian;m;1
1;Kinan;m;1
1;Kjell;m;1
1;Konstantin;m;1
1;Kontantin;m;1
1;Korewa;m;1
1;Kristijan;m;1
1;Lars;m;1
1;Lawrence;m;1
1;Lazar;m;1
1;Leandro;m;1
1;Leart;m;1
1;Leen;m;1
1;Leif;m;1
1;Leith;m;1
1;Lennard;m;1
1;Lennox;m;1
1;Leonardo;m;1
1;Leonas;m;1
1;Leopold;m;1
1;Lev;m;1
1;Levian;m;1
1;León;m;1
1;Lias;m;1
1;Lijan;m;1
1;Lino;m;1
1;Lion;m;1
1;Liyan;m;1
1;Lou;m;1
1;Louie;m;1
1;Lucca;m;1
1;Ludwig;m;1
1;Luis-Levin;m;1
1;Lyan;m;1
1;Lynn;m;1
1;Léon;m;1
1;Mada;m;1
1;Maddox;m;1
1;Mahmoud;m;1
1;Maksimilian;m;1
1;Malio;m;1
1;Maliyan;m;1
1;Manuel;m;1
1;Marcell;m;1
1;Marco;m;1
1;Marian;m;1
1;Marino;m;1
1;Mark;m;1
1;Marlon;m;1
1;Mars;m;1
1;Martin;m;1
1;Marty;m;1
1;Matthias;m;1
1;Matti;m;1
1;Mattis;m;1
1;Maximialian;m;1
1;Mert;m;1
1;Mick;m;1
1;Mihail;m;1
1;Mika;m;1
1;Mikael;m;1
1;Miko;m;1
1;Milinho;m;1
1;Mitja;m;1
1;Mohamed;m;1
1;Mohammed;m;1
1;Muhammad;m;1
1;Murat;m;1
1;Musa;m;1
1;Máté;m;1
1;Navin;m;1
1;Nemar;m;1
1;Neven;m;1
1;Nicholas;m;1
1;Nico;m;1
1;Nikita;m;1
1;Nikos;m;1
1;Nils;m;1
1;Nino;m;1
1;Noa;m;1
1;Noan;m;1
1;Noé;m;1
1;Nylo;m;1
1;Olivér;m;1
1;Onno;m;1
1;Osaid;m;1
1;Osman;m;1
1;Ousmane;m;1
1;Pamir;m;1
1;Paulo;m;1
1;Phil;m;1
1;Philippe;m;1
1;Phillipp;m;1
1;Quinn;m;1
1;Radomir;m;1
1;Raphael;m;1
1;Raul;m;1
1;Rei;m;1
1;Richard;m;1
1;Rijad;m;1
1;Rino;m;1
1;Rio;m;1
1;Rion;m;1
1;Roman;m;1
1;Romeo;m;1
1;Roy;m;1
1;Rumo;m;1
1;Runo;m;1
1;Sal;m;1
1;Samson;m;1
1;Santiago;m;1
1;Sebastian;m;1
1;Seyed;m;1
1;Simon;m;1
1;Sinan;m;1
1;Siwan;m;1
1;Taavi;m;1
1;Taufik;m;1
1;Taylan;m;1
1;Teodor;m;1
1;Teoman;m;1
1;Terry;m;1
1;Tian;m;1
1;Till;m;1
1;Timur;m;1
1;Tobias;m;1
1;Tomislav;m;1
1;Udey;m;1
1;Uroš;m;1
1;Valentino;m;1
1;Veniamin;m;1
1;Viggo;m;1
1;Willi;m;1
1;Yennai;m;1
1;Yiyi;m;1
1;Yoel;m;1
1;Yoris;m;1
1;Zain;m;1
1;Zayn;m;1
1;Zian;m;1
1;Adetutu;w;2
1;Adrienne;w;2
1;Alaïa;w;2
1;Alessia;w;2
1;Alice;w;2
1;Alicia;w;2
1;Alisha;w;2
1;Aliyah;w;2
1;Alva;w;2
1;Amalia;w;2
