anzahl;vorname;geschlecht;position
40;Marie;w;2
34;Sophie;w;2
30;Noah;m;1
25;Leon;m;1
21;Emil;m;1
21;Alexander;m;2
20;Emilia;w;1
20;Paul;m;1
20;Charlotte;w;2
19;Mia;w;1
19;Mila;w;1
19;Theodor;m;1
18;Emily;w;1
18;Lina;w;1
17;Alma;w;1
17;Sophia;w;1
17;Theo;m;1
17;Maria;w;2
16;Anna;w;1
16;Jonas;m;1
15;Charlotte;w;1
15;Emma;w;1
15;Lara;w;1
15;Anton;m;1
15;Jonathan;m;1
15;Leo;m;1
14;Ella;w;1
14;Mathilda;w;1
14;Elias;m;1
14;Levi;m;1
14;Luise;w;2
13;Frida;w;1
13;Hannah;w;1
13;Lea;w;1
13;Adam;m;1
13;Jakob;m;1
13;Mika;m;1
13;Milan;m;1
12;Lia;w;1
12;Olivia;w;1
12;Sophie;w;1
12;Zoe;w;1
12;Henry;m;1
12;Lio;m;1
12;Matteo;m;1
12;Oskar;m;1
12;Elisabeth;w;2
12;Emilia;w;2
11;Leni;w;1
11;Leonard;m;1
11;Liam;m;1
11;Malik;m;1
11;Maximilian;m;1
11;Milo;m;1
11;Emil;m;2
11;Maximilian;m;2
10;Luna;w;1
10;Nora;w;1
10;Aaron;m;1
10;Finn;m;1
10;Luca;m;1
10;Raphael;m;1
10;Samuel;m;1
10;Friedrich;m;2
10;Levi;m;2
10;Liam;m;2
9;Helena;w;1
9;Maria;w;1
9;Melina;w;1
9;Tilda;w;1
9;Ben;m;1
9;Carlo;m;1
9;Lou;w;2
9;Valentin;m;2
8;Alina;w;1
8;Amelie;w;1
8;Carlotta;w;1
8;Clara;w;1
8;Elisa;w;1
8;Hanna;w;1
8;Leonie;w;1
8;Leyla;w;1
8;Lilly;w;1
8;Malina;w;1
8;Nele;w;1
8;Sofia;w;1
8;Alexander;m;1
8;Arthur;m;1
8;Benjamin;m;1
8;Bruno;m;1
8;Emilio;m;1
8;Enno;m;1
8;Felix;m;1
8;Levin;m;1
8;Lukas;m;1
8;Max;m;1
8;Moritz;m;1
