anzahl;vorname;geschlecht;position
13;Noah;m;1
11;Lina;w;1
10;Emil;m;1
10;Paul;m;1
10;Sophie;w;2
9;Hanna;w;1
9;Mathilda;w;1
9;Elias;m;1
8;Leni;w;1
8;Maja;w;1
8;Finn;m;1
8;Henry;m;1
8;Levi;m;1
8;Theodor;m;1
8;Johanna;w;2
8;Marie;w;2
8;Paul;m;2
7;Luna;w;1
7;Merle;w;1
6;Charlotte;w;1
6;Clara;w;1
6;Emilia;w;1
6;Emily;w;1
6;Emma;w;1
6;Helena;w;1
6;Mila;w;1
6;Arthur;m;1
6;Jakob;m;1
6;Leon;m;1
6;Oskar;m;1
6;Maria;w;2
5;Ella;w;1
5;Fiona;w;1
5;Hannah;w;1
5;Ida;w;1
5;Lea;w;1
5;Leonie;w;1
5;Lia;w;1
5;Lisa;w;1
5;Mara;w;1
5;Mia;w;1
5;Nora;w;1
5;Sophie;w;1
5;Alexander;m;1
5;Anton;m;1
5;Bruno;m;1
5;Felix;m;1
5;Fritz;m;1
5;Lasse;m;1
5;Leo;m;1
5;Liam;m;1
5;Linus;m;1
5;Malte;m;1
5;Matteo;m;1
5;Tom;m;1
5;Charlotte;w;2
5;Emil;m;2
5;Maximilian;m;2
5;Samuel;m;2
4;Anna;w;1
4;Ava;w;1
4;Finja;w;1
4;Frida;w;1
4;Frieda;w;1
4;Isabella;w;1
4;Karlotta;w;1
4;Lara;w;1
4;Lilly;w;1
4;Lore;w;1
4;Malea;w;1
4;Marie;w;1
4;Mina;w;1
4;Mira;w;1
4;Nele;w;1
4;Olivia;w;1
4;Ronja;w;1
4;Aaron;m;1
4;Ayden;m;1
4;Carlo;m;1
4;Florian;m;1
4;Jona;m;1
4;Julius;m;1
4;Karl;m;1
4;Leander;m;1
4;Luca;m;1
4;Lukas;m;1
4;Luke;m;1
4;Mats;m;1
4;Maximilian;m;1
4;Moritz;m;1
4;Timo;m;1
4;Helene;w;2
4;Lou;w;2
4;Elias;m;2
4;Johann;m;2
4;Leonard;m;2
4;Levi;m;2
4;Liam;m;2
4;Noah;m;2
3;Amilia;w;1
3;Anastasia;w;1
3;Cleo;w;1
3;Elena;w;1
3;Ivy;w;1
3;Julia;w;1
3;Laura;w;1
3;Lena;w;1
3;Linnea;w;1
3;Livia;w;1
3;Lola;w;1
3;Maria;w;1
3;Marlene;w;1
3;Martha;w;1
3;Maya;w;1
3;Romy;w;1
3;Ruby;w;1
3;Sarah;w;1
3;Thea;w;1
3;Tilda;w;1
3;Valentina;w;1
3;Adam;m;1
3;Ben;m;1
3;Constantin;m;1
3;Emilio;m;1
3;Fiete;m;1
3;Hassan;m;1
3;Janosch;m;1
3;Jonas;m;1
3;Joris;m;1
3;Joshua;m;1
3;Kilian;m;1
3;Leonardo;m;1
3;Levin;m;1
3;Lucas;m;1
3;Mattis;m;1
3;Milan;m;1
3;Mohammad;m;1
3;Nils;m;1
3;Philipp;m;1
3;Simon;m;1
3;Theo;m;1
3;Till;m;1
3;Tim;m;1
3;Aurelia;w;2
3;Emily;w;2
3;Frida;w;2
3;Hanna;w;2
3;Lina;w;2
3;Luna;w;2
3;Rosa;w;2
3;Rose;w;2
3;Soleil;w;2
3;Alexander;m;2
3;Benjamin;m;2
3;Christopher;m;2
3;David;m;2
3;Fabian;m;2
3;Leano;m;2
3;Luca;m;2
3;Max;m;2
3;Oliver;m;3
2;Ada;w;1
2;Alana;w;1
2;Alicia;w;1
2;Alma;w;1
2;Alva;w;1
2;Amara;w;1
2;Amelie;w;1
2;Amina;w;1
2;Amira;w;1
2;Amélie;w;1
2;Carla;w;1
2;Ceyda;w;1
2;Elen;w;1
2;Eleyna;w;1
2;Elin;w;1
2;Elina;w;1
2;Elli;w;1
2;Enola;w;1
