anzahl;vorname;geschlecht;position
53;Sophie;w;2
51;Emilia;w;1
47;Noah;m;1
40;Marie;w;2
38;Maria;w;2
37;Mila;w;1
36;Charlotte;w;1
34;Mia;w;1
34;Emil;m;1
32;Anton;m;1
31;Emma;w;1
31;Leon;m;1
30;Alma;w;1
30;Elias;m;1
29;Adam;m;1
29;Charlotte;w;2
29;Alexander;m;2
28;Liam;m;1
28;Maximilian;m;2
27;Jakob;m;1
26;Maya;w;1
26;Jonathan;m;1
26;Matteo;m;1
26;Emilia;w;2
25;Oskar;m;1
24;Ella;w;1
24;Lea;w;1
24;Maximilian;m;1
24;Paul;m;1
23;Leo;m;1
23;Levi;m;1
22;Mira;w;1
22;Paula;w;1
22;Theodor;m;1
21;Lina;w;1
21;Ali;m;1
21;Milo;m;1
20;Clara;w;1
20;Ida;w;1
20;Maria;w;1
20;Finn;m;1
20;Jonas;m;1
20;Luca;m;1
20;Ali;m;2
19;Olivia;w;1
19;David;m;1
19;Linus;m;1
19;Louis;m;1
19;Theo;m;1
18;Ela;w;1
18;Elena;w;1
18;Sophia;w;1
18;Alexander;m;1
18;Felix;m;1
18;Milan;m;1
18;Emil;m;2
17;Elif;w;1
17;Luna;w;1
17;Romy;w;1
17;Karl;m;1
17;Malik;m;1
17;Elisabeth;w;2
16;Anna;w;1
16;Elisa;w;1
16;Hanna;w;1
16;Lara;w;1
16;Leni;w;1
16;Leonie;w;1
16;Lia;w;1
16;Sara;w;1
16;Jonah;m;1
16;Johanna;w;2
16;Elias;m;2
16;Levi;m;2
16;Paul;m;2
15;Eva;w;1
15;Hannah;w;1
15;Johanna;w;1
15;Marie;w;1
15;Mina;w;1
15;Nora;w;1
15;Sophie;w;1
15;Tilda;w;1
15;Aaron;m;1
15;Bruno;m;1
15;Carl;m;1
15;Joshua;m;1
15;Lukas;m;1
15;Luise;w;2
15;Karl;m;2
14;Amelie;w;1
14;Carlotta;w;1
14;Frieda;w;1
14;Laura;w;1
14;Matilda;w;1
14;Ben;m;1
14;Hamza;m;1
14;Henry;m;1
14;Moritz;m;1
14;Lou;w;2
13;Lotta;w;1
13;Luise;w;1
13;Mara;w;1
13;Yuna;w;1
13;Henri;m;1
13;Julian;m;1
13;Julius;m;1
13;Mateo;m;1
13;Samuel;m;1
13;Valentin;m;1
13;Yusuf;m;1
13;Rosa;w;2
13;Leon;m;2
12;Lilly;w;1
12;Rosa;w;1
12;Arthur;m;1
12;Elyas;m;1
12;Leonard;m;1
12;Mika;m;1
12;Nur;w;2
12;Leonard;m;2
12;Oskar;m;2
11;Amalia;w;1
11;Emily;w;1
11;Klara;w;1
11;Lena;w;1
11;Liya;w;1
11;Mathilda;w;1
11;Adrian;m;1
11;Amir;m;1
11;Ilyas;m;1
11;Leonardo;m;1
11;Luis;m;1
11;Max;m;1
11;Tim;m;1
11;Lucia;w;2
11;Mathilda;w;2
11;Sophia;w;2
11;Friedrich;m;2
