anzahl;vorname;geschlecht;position
24;Adam;m;1
16;Charlotte;w;1
16;Emilia;w;1
16;Malik;m;1
15;Mira;w;1
15;Ali;m;1
14;Hamza;m;1
13;Milan;m;1
13;Noah;m;1
12;Lina;w;1
12;Elias;m;1
12;Levi;m;1
12;Maria;w;2
11;Ella;w;1
11;Mila;w;1
11;Emil;m;1
11;Leo;m;1
11;Omar;m;1
11;Sophie;w;2
10;Elif;w;1
10;Maria;w;1
10;Amir;m;1
10;Jonas;m;1
10;Mohammad;m;1
9;Ela;w;1
9;Leyla;w;1
9;Medina;w;1
9;Mia;w;1
9;Marie;w;2
9;Alexander;m;2
8;Amira;w;1
8;Elisa;w;1
8;Lara;w;1
8;Meryem;w;1
8;Ayaz;m;1
8;Jakob;m;1
8;Linus;m;1
8;Miran;m;1
8;Mohamad;m;1
8;Theo;m;1
8;Yasin;m;1
8;Ali;m;2
7;Elina;w;1
7;Emma;w;1
7;Frieda;w;1
7;Lia;w;1
7;Liya;w;1
7;Liyana;w;1
7;Sophie;w;1
7;Ben;m;1
7;Finn;m;1
7;Liam;m;1
7;Nur;w;2
7;Maximilian;m;2
6;Lea;w;1
6;Lilly;w;1
6;Mara;w;1
6;Maya;w;1
6;Anton;m;1
6;Felix;m;1
6;Hussein;m;1
6;Kian;m;1
6;Leon;m;1
6;Luca;m;1
6;Lukas;m;1
6;Mehmet;m;1
6;Muhammed;m;1
6;Noel;m;1
6;Luise;w;2
6;Valentin;m;2
5;Ada;w;1
5;Aliyah;w;1
5;Amalia;w;1
5;Asya;w;1
5;Ayla;w;1
5;Diana;w;1
5;Elin;w;1
5;Esila;w;1
5;Eva;w;1
5;Hailey;w;1
5;Helena;w;1
5;Jasmin;w;1
5;Julia;w;1
5;Juna;w;1
5;Leonie;w;1
5;Luna;w;1
5;Malia;w;1
5;Mariam;w;1
5;Marie;w;1
5;Nora;w;1
5;Rosa;w;1
5;Sara;w;1
5;Sophia;w;1
5;Aras;m;1
5;Arthur;m;1
5;Emir;m;1
5;Fiete;m;1
5;Frederik;m;1
5;Ilyas;m;1
5;Leander;m;1
5;Leonardo;m;1
5;Louis;m;1
5;Luan;m;1
5;Milo;m;1
5;Mohamed;m;1
5;Mohammed;m;1
5;Mustafa;m;1
5;Oskar;m;1
5;Pepe;m;1
5;Rayan;m;1
5;Samir;m;1
5;Yusuf;m;1
5;Zayn;m;1
5;Elisabeth;w;2
5;Emilia;w;2
5;Sophia;w;2
5;Valentina;w;2
5;Bruno;m;2
5;David;m;2
4;Anna;w;1
4;Dua;w;1
4;Efnan;w;1
4;Emily;w;1
4;Esma;w;1
4;Hannah;w;1
4;Helin;w;1
4;Malea;w;1
4;Masal;w;1
4;Melissa;w;1
4;Mona;w;1
4;Nour;w;1
4;Paula;w;1
4;Sofia;w;1
4;Talia;w;1
4;Adrian;m;1
4;Amar;m;1
4;Benjamin;m;1
4;Bruno;m;1
4;Charlie;m;1
4;Dean;m;1
4;Hasan;m;1
4;Hassan;m;1
4;Henry;m;1
4;Ibrahim;m;1
4;Idris;m;1
4;Jona;m;1
4;Julian;m;1
4;Justus;m;1
4;Kilian;m;1
4;Lio;m;1
4;Liyan;m;1
4;Luke;m;1
4;Mahmoud;m;1
4;Maxim;m;1
4;Mika;m;1
4;Mikail;m;1
4;Musa;m;1
4;Paul;m;1
4;Rafael;m;1
4;Samuel;m;1
4;Tim;m;1
4;Jasmin;w;2
4;Malia;w;2
4;Malou;w;2
4;Pauline;w;2
4;Aras;m;2
4;Aslan;m;2
4;Can;m;2
4;Elias;m;2
4;Emil;m;2
4;Hamza;m;2
4;Kaan;m;2
4;Noah;m;2
4;Samuel;m;2
4;Sebastian;m;2
3;Alma;w;1
3;Amar;w;1
3;Amelie;w;1
3;Anastasia;w;1
3;Aurora;w;1
3;Chiara;w;1
3;Dalia;w;1
3;Defne;w;1
3;Eliana;w;1
3;Elise;w;1
3;Elissa;w;1
3;Hanna;w;1
3;Ida;w;1
3;Johanna;w;1
3;Jolie;w;1
3;Laura;w;1
3;Layan;w;1
3;Leona;w;1
3;Louisa;w;1
3;Malina;w;1
3;Mathilda;w;1
3;Matilda;w;1
3;Mina;w;1
3;Narin;w;1
3;Nefes;w;1
3;Nehir;w;1
3;Nele;w;1
3;Nilay;w;1
3;Nina;w;1
3;Olivia;w;1
3;Selma;w;1
3;Tala;w;1
3;Tilda;w;1
3;Toni;w;1
3;Tuana;w;1
3;Yara;w;1
3;Zeinab;w;1
3;Zoe;w;1
3;Aaron;m;1
3;Ahmet;m;1
3;Alexander;m;1
3;Alparslan;m;1
3;Anes;m;1
3;Antonio;m;1
3;Azad;m;1
3;Batuhan;m;1
3;David;m;1
3;Edgar;m;1
3;Elyas;m;1
3;Eren;m;1
3;Erik;m;1
3;Ferdinand;m;1
3;Fynn;m;1
3;Gabriel;m;1
3;Imran;m;1
3;Isa;m;1
3;Jonathan;m;1
3;Joshua;m;1
3;Karan;m;1
3;Karl;m;1
3;Khaled;m;1
3;Kiyan;m;1
3;Lennox;m;1
3;Lenny;m;1
3;Leonard;m;1
3;Lian;m;1
3;Lias;m;1
3;Luis;m;1
3;Luka;m;1
3;Mahir;m;1
3;Malek;m;1
3;Malte;m;1
3;Marten;m;1
3;Matteo;m;1
3;Maximilian;m;1
3;Muhamed;m;1
3;Muhammad;m;1
3;Ole;m;1
3;Sami;m;1
3;Theodor;m;1
3;Yakup;m;1
3;Yusef;m;1
3;Zaid;m;1
3;Ömer;m;1
3;Amalia;w;2
3;Dua;w;2
3;Ela;w;2
3;Elisa;w;2
3;Hafsa;w;2
3;Hannah;w;2
3;Johanna;w;2
3;Klara;w;2
3;Lina;w;2
3;Liya;w;2
3;Nour;w;2
3;Amin;m;2
3;An;m;2
3;Ben;m;2
3;Christopher;m;2
3;Emilio;m;2
3;Hüseyin;m;2
3;Johannes;m;2
3;Karl;m;2
3;Konstantin;m;2
3;Levi;m;2
3;Max;m;2
3;Mohammed;m;2
3;Paul;m;2
3;Theodor;m;2
3;Yiğit;m;2
3;Maximilian;m;3
2;Aicha;w;1
2;Akasya;w;1
2;Alexandra;w;1
2;Aleyna;w;1
2;Alicia;w;1
2;Alisa;w;1
2;Alissa;w;1
2;Aliya;w;1
2;Alya;w;1
2;Amanda;w;1
2;Amelia;w;1
2;Amina;w;1
2;Amra;w;1
2;Ana;w;1
2;Anita;w;1
2;Aria;w;1
2;Arya;w;1
2;Aseel;w;1
2;Asmin;w;1
2;Aurelia;w;1
2;Ava;w;1
2;Aya;w;1
2;Azra;w;1
2;Basma;w;1
2;Beyza;w;1
2;Bianca;w;1
2;Carlotta;w;1
2;Ceylin;w;1
2;Clara;w;1
2;Cleo;w;1
2;Edda;w;1
2;Eleen;w;1
2;Eleni;w;1
2;Elvana;w;1
2;Ema;w;1
2;Emine;w;1
2;Erla;w;1
2;Evin;w;1
2;Finja;w;1
2;Fritzi;w;1
2;Gina;w;1
2;Güneş;w;1
2;Hafsa;w;1
2;Hana;w;1
2;Hira;w;1
2;Hiranur;w;1
2;Ivana;w;1
2;Jana;w;1
2;Jannah;w;1
