anzahl;vorname;geschlecht;position
6;Leon;m;1
6;Liam;m;1
5;Anna;w;1
5;Lina;w;1
5;Adam;m;1
5;Mehmet;m;1
5;Sophie;w;2
4;Ela;w;1
4;Emilia;w;1
4;Lea;w;1
4;Amir;m;1
4;Aras;m;1
4;Elias;m;1
4;Louis;m;1
4;Muhammed;m;1
4;Omar;m;1
4;Umut;m;1
4;Emilia;w;2
4;Maria;w;2
4;Marie;w;2
3;Amine;w;1
3;Elina;w;1
3;Ilayda;w;1
3;Jasmin;w;1
3;Leyla;w;1
3;Luna;w;1
3;Maria;w;1
3;Mariam;w;1
3;Maryam;w;1
3;Mila;w;1
3;Mira;w;1
3;Zeynep;w;1
3;Ahmet;m;1
3;Ayaz;m;1
3;Ibrahim;m;1
3;Julian;m;1
3;Luca;m;1
3;Malik;m;1
3;Mohamad;m;1
3;Muhammad;m;1
3;Noah;m;1
3;Noar;m;1
3;Raphael;m;1
3;Valentin;m;1
3;Benjamin;m;2
3;Emilian;m;2
2;Alina;w;1
2;Amelia;w;1
2;Amelie;w;1
2;Amina;w;1
2;Amira;w;1
2;Ayla;w;1
2;Azra;w;1
2;Cleo;w;1
2;Elanur;w;1
2;Elif;w;1
2;Emily;w;1
2;Emma;w;1
2;Frieda;w;1
2;Helin;w;1
2;Josefine;w;1
2;Julia;w;1
2;Lavin;w;1
2;Liana;w;1
2;Lilly;w;1
2;Luisa;w;1
2;Marie;w;1
2;Maya;w;1
2;Medina;w;1
2;Milena;w;1
2;Miray;w;1
2;Nadia;w;1
2;Nele;w;1
2;Neyla;w;1
2;Nisa;w;1
2;Olivia;w;1
2;Paula;w;1
2;Yasmin;w;1
2;Yuna;w;1
2;Yusra;w;1
2;Zoe;w;1
2;Abdullah;m;1
2;Ahmad;m;1
2;Aiden;m;1
2;Ali;m;1
2;Alparslan;m;1
2;Arthur;m;1
2;Bilal;m;1
2;David;m;1
2;Dean;m;1
2;Filip;m;1
2;Fynn;m;1
2;Gabriel;m;1
2;Hamza;m;1
2;Ilyas;m;1
2;Issa;m;1
2;Jakob;m;1
2;John;m;1
2;Joshua;m;1
2;Julius;m;1
2;Kevin;m;1
2;Leander;m;1
2;Levi;m;1
2;Lian;m;1
2;Lias;m;1
2;Lio;m;1
2;Luan;m;1
2;Marcel;m;1
2;Mathias;m;1
2;Matteo;m;1
2;Maxim;m;1
2;Mert;m;1
2;Metehan;m;1
2;Mika;m;1
2;Milan;m;1
2;Milo;m;1
2;Moritz;m;1
2;Nathan;m;1
2;Rayan;m;1
2;Theodor;m;1
2;Travis;m;1
2;Yahya;m;1
2;Younes;m;1
2;Youssef;m;1
2;Yusuf;m;1
2;Anna;w;2
2;Ognyanova;w;2
2;Ahmed;m;2
2;Ayaz;m;2
2;Hassan;m;2
2;Henri;m;2
2;Ibrahim;m;2
2;Josef;m;2
2;Mehmet;m;2
2;Michael;m;2
2;Mikail;m;2
2;Milan;m;2
2;Nael;m;2
2;Simeonov;m;2
2;Yusuf;m;2
2;Maria;w;3
1;Adah;w;1
1;Adina;w;1
1;Adrejana;w;1
1;Aira;w;1
1;Aiša;w;1
