anzahl;vorname;geschlecht;position
34;Marie;w;2
21;Emilia;w;1
21;Emil;m;1
21;Sophie;w;2
19;Ella;w;1
19;Jonas;m;1
18;Levi;m;1
17;Anton;m;1
17;Jakob;m;1
17;Louis;m;1
17;Oskar;m;1
16;Adam;m;1
16;Leon;m;1
16;Maria;w;2
15;Alma;w;1
15;Leni;w;1
15;Paul;m;1
14;Ben;m;1
14;Noah;m;1
13;Luca;m;1
12;Ida;w;1
12;Marie;w;1
12;David;m;1
12;Leo;m;1
12;Theodor;m;1
12;Emilia;w;2
12;Elias;m;2
12;Paul;m;2
11;Charlotte;w;1
11;Emily;w;1
11;Lea;w;1
11;Mia;w;1
11;Mila;w;1
11;Felix;m;1
11;Matheo;m;1
11;Milan;m;1
11;Karl;m;2
10;Amelie;w;1
10;Clara;w;1
10;Nele;w;1
10;Elias;m;1
10;Finn;m;1
10;Fritz;m;1
10;Leonard;m;1
10;Liam;m;1
10;Malik;m;1
10;Maximilian;m;1
10;Elisabeth;w;2
10;Mathilda;w;2
10;Sophia;w;2
10;Alexander;m;2
9;Anna;w;1
9;Ayla;w;1
9;Emma;w;1
9;Helena;w;1
9;Lena;w;1
9;Lilly;w;1
9;Lina;w;1
9;Luna;w;1
9;Sophia;w;1
9;Jonathan;m;1
9;Milo;m;1
9;Lou;w;2
9;David;m;2
9;Leon;m;2
9;Levi;m;2
8;Antonia;w;1
8;Isabella;w;1
8;Johanna;w;1
8;Julia;w;1
8;Leonie;w;1
8;Liv;w;1
8;Maria;w;1
8;Nora;w;1
8;Romy;w;1
8;Sofia;w;1
8;Carl;m;1
8;Daniel;m;1
8;Jannis;m;1
8;Lio;m;1
8;Lukas;m;1
8;Theo;m;1
8;Maximilian;m;2
7;Alina;w;1
7;Alva;w;1
7;Amelia;w;1
7;Ava;w;1
7;Juna;w;1
7;Lotta;w;1
7;Mathilda;w;1
7;Matilda;w;1
7;Maya;w;1
7;Merle;w;1
7;Olivia;w;1
7;Rosalie;w;1
7;Aras;m;1
7;Gabriel;m;1
7;Matteo;m;1
7;Mika;m;1
7;Moritz;m;1
7;Alexandra;w;2
7;Anna;w;2
7;Charlotte;w;2
7;Luise;w;2
7;Liam;m;2
7;Valentin;m;2
6;Anouk;w;1
6;Edda;w;1
6;Elena;w;1
6;Elisa;w;1
6;Elisabeth;w;1
6;Frieda;w;1
6;Fritzi;w;1
6;Lara;w;1
6;Liya;w;1
6;Luisa;w;1
6;Luise;w;1
6;Malea;w;1
6;Malia;w;1
6;Mina;w;1
6;Rosa;w;1
6;Sophie;w;1
6;Thea;w;1
6;Tilda;w;1
6;Alexander;m;1
6;Arthur;m;1
6;Caspar;m;1
6;Fabian;m;1
6;Fiete;m;1
6;Gustav;m;1
6;Henry;m;1
6;Kilian;m;1
6;Konstantin;m;1
6;Linus;m;1
6;Samuel;m;1
6;Tim;m;1
6;Johanna;w;2
6;Luisa;w;2
6;Pauline;w;2
6;Rose;w;2
6;Fritz;m;2
6;Gabriel;m;2
6;Luca;m;2
5;Amalia;w;1
5;Aurelia;w;1
5;Ela;w;1
5;Elina;w;1
5;Hailey;w;1
5;Hanna;w;1
5;Klara;w;1
5;Laura;w;1
5;Leah;w;1
5;Lia;w;1
5;Louisa;w;1
5;Mara;w;1
5;Marlene;w;1
5;Mira;w;1
5;Nana;w;1
5;Nina;w;1
5;Sara;w;1
5;Valentina;w;1
5;Victoria;w;1
5;Aaron;m;1
5;Ali;m;1
5;Bruno;m;1
5;Dean;m;1
5;Emilio;m;1
5;Erik;m;1
5;Henri;m;1
5;Jan;m;1
5;Karl;m;1
5;Lasse;m;1
5;Levin;m;1
5;Luis;m;1
5;Marlon;m;1
5;Mateo;m;1
5;Max;m;1
5;Mohammad;m;1
5;Rayan;m;1
5;Rio;m;1
5;Till;m;1
5;Valentin;m;1
5;Vincent;m;1
5;Luna;w;2
5;Malina;w;2
5;Marlene;w;2
5;Victoria;w;2
5;Benjamin;m;2
5;Emil;m;2
5;Emilian;m;2
5;Finn;m;2
5;Henry;m;2
5;Leopold;m;2
5;Martin;m;2
5;Theodor;m;2
4;Ada;w;1
4;Alia;w;1
4;Alicia;w;1
4;Carlotta;w;1
4;Dua;w;1
4;Fiona;w;1
4;Hannah;w;1
4;Helene;w;1
4;Helin;w;1
4;Karla;w;1
4;Leona;w;1
4;Linda;w;1
4;Lou;w;1
4;Maja;w;1
4;Malina;w;1
4;Martha;w;1
4;Melissa;w;1
4;Michelle;w;1
4;Milena;w;1
4;Nova;w;1
4;Selma;w;1
4;Talia;w;1
4;Viktoria;w;1
4;Yara;w;1
4;Yuna;w;1
4;Zeynep;w;1
4;Adrian;m;1
4;Anthony;m;1
4;August;m;1
4;Ayaz;m;1
4;Bo;m;1
4;Carlo;m;1
4;Charlie;m;1
4;Edgar;m;1
4;Elian;m;1
4;Emir;m;1
4;Filip;m;1
4;Janosch;m;1
4;Johann;m;1
4;Jonah;m;1
4;Joshua;m;1
4;Julian;m;1
4;Julius;m;1
4;Junis;m;1
4;Justus;m;1
4;Kiyan;m;1
4;Leander;m;1
4;Lion;m;1
4;Lionel;m;1
4;Luka;m;1
4;Malte;m;1
4;Mats;m;1
4;Mattis;m;1
4;Maxim;m;1
4;Miran;m;1
4;Miron;m;1
4;Nelio;m;1
4;Nicolas;m;1
4;Niklas;m;1
4;Noel;m;1
4;Rafael;m;1
4;Sam;m;1
4;Samu;m;1
4;Simon;m;1
4;Tom;m;1
4;Viktor;m;1
4;Amalia;w;2
4;Aurelia;w;2
4;Ava;w;2
4;Elise;w;2
4;Frieda;w;2
4;Fritzi;w;2
4;Helena;w;2
4;Helene;w;2
4;Ida;w;2
4;Jolie;w;2
4;Liv;w;2
4;Louise;w;2
4;Anton;m;2
4;Aurel;m;2
4;Felix;m;2
4;Friedrich;m;2
4;Leander;m;2
4;Leo;m;2
4;Leonard;m;2
4;Levin;m;2
4;Luis;m;2
4;Malik;m;2
4;Maria;m;2
4;Noel;m;2
4;Oskar;m;2
4;Otis;m;2
4;Thomas;m;2
4;Vincent;m;2
4;Wilhelm;m;2
4;Lou;w;3
4;Rose;w;3
4;Paul;m;3
4;Peter;m;3
4;Thomas;m;3
3;Alara;w;1
3;Aliyah;w;1
3;Amira;w;1
3;Amélie;w;1
3;Angelina;w;1
3;Aria;w;1
3;Ariana;w;1
3;Aurora;w;1
3;Billie;w;1
3;Cleo;w;1
3;Eda;w;1
3;Elif;w;1
3;Eline;w;1
3;Flora;w;1
3;Freya;w;1
3;Frida;w;1
3;Gaia;w;1
3;Hafsa;w;1
3;Hilda;w;1
3;Hira;w;1
3;Isabelle;w;1
3;Jette;w;1
3;Josephine;w;1
3;Kayla;w;1
3;Laila;w;1
3;Lana;w;1
3;Leila;w;1
3;Leyla;w;1
3;Lilia;w;1
3;Livia;w;1
3;Malou;w;1
3;Mariam;w;1
3;Mayla;w;1
3;Melek;w;1
3;Mika;w;1
3;Momo;w;1
3;Nisa;w;1
3;Noelia;w;1
3;Paula;w;1
3;Romina;w;1
3;Ruby;w;1
3;Sena;w;1
3;Smilla;w;1
3;Stella;w;1
3;Tala;w;1
3;Valeria;w;1
3;Valerie;w;1
3;Abdullah;m;1
3;Antonio;m;1
3;Ari;m;1
3;Arian;m;1
3;Armin;m;1
3;Bela;m;1
3;Benjamin;m;1
3;Bjarne;m;1
3;Cosmo;m;1
3;Damian;m;1
3;Diego;m;1
3;Elio;m;1
3;Enno;m;1
3;Florian;m;1
3;Frederik;m;1
3;Friedrich;m;1
3;Fynn;m;1
3;Jasper;m;1
3;Jona;m;1
3;Jonte;m;1
3;Joris;m;1
3;Kai;m;1
3;Keno;m;1
3;Leano;m;1
3;Leonidas;m;1
3;Lev;m;1
3;Lian;m;1
3;Ludwig;m;1
3;Mads;m;1
3;Mahmoud;m;1
3;Mailo;m;1
3;Marc;m;1
3;Marlo;m;1
3;Mattheo;m;1
3;Matti;m;1
3;Mert;m;1
3;Mikael;m;1
3;Mio;m;1
3;Miro;m;1
3;Muhammed;m;1
3;Mustafa;m;1
3;Nikita;m;1
3;Ole;m;1
3;Oscar;m;1
3;Otto;m;1
3;Pepe;m;1
3;Piet;m;1
3;Pino;m;1
3;Robin;m;1
3;Sebastian;m;1
3;Younes;m;1
3;Yousef;m;1
3;Yunus;m;1
3;Zayn;m;1
3;Augusta;w;2
3;Aurora;w;2
3;Elaine;w;2
3;Eva;w;2
3;Henriette;w;2
3;Karla;w;2
3;Lina;w;2
3;Lucia;w;2
3;Marina;w;2
3;Marlena;w;2
3;Melody;w;2
3;Mia;w;2
3;Nicole;w;2
3;Paula;w;2
3;Rosa;w;2
3;Ruby;w;2
3;Sofia;w;2
3;Sofie;w;2
3;Theresa;w;2
3;Aaron;m;2
3;Alfred;m;2
3;Ali;m;2
3;Bo;m;2
3;Bruno;m;2
3;Daniel;m;2
3;Elian;m;2
3;Elliot;m;2
3;Emanuel;m;2
3;Gustav;m;2
3;Henri;m;2
3;Ilyas;m;2
3;Jakob;m;2
3;Jonah;m;2
3;Josef;m;2
3;Karim;m;2
3;Kasimir;m;2
3;Kasper;m;2
3;Lorenz;m;2
3;Lou;m;2
3;Louis;m;2
3;Mario;m;2
3;Mateo;m;2
3;Michael;m;2
3;Milo;m;2
3;Neo;m;2
3;Niklas;m;2
3;Noah;m;2
3;Ole;m;2
3;Otto;m;2
3;René;m;2
3;Elisabeth;w;3
3;Marie;w;3
2;Alea;w;1
2;Alice;w;1
2;Alicja;w;1
2;Alisa;w;1
2;Alya;w;1
2;Amy;w;1
2;Anastasia;w;1
2;Anni;w;1
2;Annie;w;1
2;Arya;w;1
2;Astrid;w;1
2;Aya;w;1
2;Batoul;w;1
2;Bella;w;1
2;Carla;w;1
2;Celine;w;1
2;Chiara;w;1
2;Delal;w;1
2;Diana;w;1
2;Edith;w;1
2;Elea;w;1
2;Eleni;w;1
2;Elin;w;1
2;Elva;w;1
2;Emilija;w;1
2;Eva;w;1
2;Evelyn;w;1
2;Felina;w;1
2;Feline;w;1
2;Fjella;w;1
2;Haya;w;1
2;Haylie;w;1
2;Heidi;w;1
2;Henriette;w;1
2;Ikra;w;1
2;Ilvi;w;1
2;Ilvy;w;1
2;Ivy;w;1
2;Jade;w;1
2;Jasmin;w;1
2;Jonna;w;1
2;Josefine;w;1
2;Julie;w;1
2;June;w;1
2;Karolina;w;1
2;Khadija;w;1
2;Kiara;w;1
2;Kim;w;1
2;Larissa;w;1
2;Lavin;w;1
2;Layan;w;1
2;Layla;w;1
2;Lenia;w;1
2;Leonora;w;1
2;Liana;w;1
2;Lilli;w;1
2;Lily;w;1
2;Linnea;w;1
2;Lisa;w;1
2;Liva;w;1
2;Liyah;w;1
2;Lovis;w;1
2;Lucia;w;1
2;Lucie;w;1
2;Lucy;w;1
2;Malak;w;1
2;Malin;w;1
2;Mariella;w;1
2;Marleen;w;1
2;Marlie;w;1
2;Marta;w;1
2;Masal;w;1
2;Mathilde;w;1
2;Medeea;w;1
2;Medina;w;1
2;Merida;w;1
2;Meryem;w;1
2;Milla;w;1
2;Miriam;w;1
2;Nala;w;1
2;Neyla;w;1
2;Nike;w;1
2;Noa;w;1
2;Nour;w;1
2;Paulina;w;1
2;Pauline;w;1
2;Pia;w;1
2;Rana;w;1
2;Rania;w;1
2;Ronja;w;1
2;Rosalia;w;1
2;Runa;w;1
2;Sama;w;1
2;Samira;w;1
2;Sarah;w;1
2;Sidra;w;1
2;Sila;w;1
2;Skadi;w;1
2;Summer;w;1
2;Tabea;w;1
2;Tessa;w;1
2;Tuana;w;1
2;Una;w;1
2;Valea;w;1
2;Vanessa;w;1
2;Veronika;w;1
2;Zoë;w;1
2;Abel;m;1
2;Ahmad;m;1
2;Aidan;m;1
2;Aiden;m;1
2;Albert;m;1
2;Alvar;m;1
2;Amar;m;1
2;Amir;m;1
2;Anas;m;1
2;Antoni;m;1
2;Arlo;m;1
2;Aron;m;1
2;Bene;m;1
2;Benedikt;m;1
2;Bennet;m;1
2;Benno;m;1
2;Berat;m;1
2;Bosse;m;1
2;Connor;m;1
2;Danilo;m;1
2;Darian;m;1
2;Dario;m;1
2;Darius;m;1
2;Dimitrij;m;1
2;Eddie;m;1
2;Ediz;m;1
2;Eli;m;1
2;Elia;m;1
2;Elyas;m;1
2;Emilian;m;1
2;Enea;m;1
2;Eren;m;1
2;Franz;m;1
2;Fred;m;1
2;Frido;m;1
2;Idris;m;1
2;Ilia;m;1
2;Ilian;m;1
2;Ilja;m;1
2;Ilyas;m;1
2;Imran;m;1
2;Isa;m;1
2;Issa;m;1
2;Ivan;m;1
2;İlyas;m;1
2;Jaspar;m;1
2;Jim;m;1
2;Joel;m;1
2;John;m;1
2;Johnathan;m;1
2;Jonne;m;1
2;Josef;m;1
2;Kasim;m;1
2;Kolja;m;1
2;Kuno;m;1
2;Lennard;m;1
2;Lennart;m;1
2;Lennox;m;1
2;Leonardo;m;1
2;Lewin;m;1
2;Lior;m;1
2;Livan;m;1
2;Liyan;m;1
2;Lorenz;m;1
2;Luan;m;1
2;Luke;m;1
2;Mahir;m;1
2;Malek;m;1
2;Malio;m;1
2;Manuel;m;1
2;Mario;m;1
2;Martin;m;1
2;Matthias;m;1
2;Maylo;m;1
2;Michel;m;1
2;Mikail;m;1
2;Miko;m;1
2;Mohamed;m;1
2;Mounir;m;1
2;Musa;m;1
2;Naël;m;1
2;Niko;m;1
2;Nikolai;m;1
2;Nino;m;1
2;Noam;m;1
2;Oliver;m;1
2;Pablo;m;1
2;Pascal;m;1
2;Peter;m;1
2;Phil;m;1
2;Ragnar;m;1
2;Raphael;m;1
2;Rudi;m;1
2;Rumi;m;1
2;Rémi;m;1
2;Salih;m;1
2;Santino;m;1
2;Sayed;m;1
2;Sol;m;1
2;Tian;m;1
2;Toni;m;1
2;Victor;m;1
2;Viggo;m;1
2;William;m;1
2;Willo;m;1
2;Wim;m;1
2;Yakup;m;1
2;Yamaç;m;1
2;Yoshua;m;1
2;Yuma;m;1
2;Yusuf;m;1
2;Zion;m;1
2;Ömer;m;1
2;Adele;w;2
2;Alva;w;2
2;Amanda;w;2
2;Amélie;w;2
2;Anastasia;w;2
2;Anaïs;w;2
2;Anouk;w;2
2;Anthea;w;2
2;Antonia;w;2
2;Athena;w;2
2;Danuta;w;2
2;Eden;w;2
2;Elena;w;2
2;Eliana;w;2
2;Elin;w;2
2;Elizabeth;w;2
2;Elma;w;2
2;Emilie;w;2
2;Emily;w;2
2;Felicitas;w;2
2;Grace;w;2
2;Helen;w;2
2;Helga;w;2
2;Isabell;w;2
2;Isabelle;w;2
2;Iwinosa;w;2
2;Jasmin;w;2
2;Jasmine;w;2
2;Josefine;w;2
2;Josephine;w;2
2;June;w;2
2;Kalea;w;2
2;Katrin;w;2
2;Klara;w;2
2;Käthe;w;2
2;Lara;w;2
2;Leni;w;2
2;Leonie;w;2
2;Leonore;w;2
2;Leyla;w;2
2;Lilly;w;2
2;Lilo;w;2
