anzahl;vorname;geschlecht;position
63;Sophie;w;2
46;Noah;m;1
44;Marie;w;2
42;Emma;w;1
36;Maria;w;2
33;Adam;m;1
33;Liam;m;1
30;Charlotte;w;1
30;Emil;m;1
28;Mia;w;1
27;Emilia;w;1
26;Mila;w;1
26;Anton;m;1
26;Leon;m;1
26;Malik;m;1
24;Lina;w;1
24;Elias;m;1
23;Charlotte;w;2
22;Elisa;w;1
22;Luca;m;1
21;Levi;m;1
20;Anna;w;1
20;Ella;w;1
20;Olivia;w;1
20;Sofia;w;1
20;Felix;m;1
20;Paul;m;2
19;Frieda;w;1
19;Helena;w;1
19;Maya;w;1
19;Finn;m;1
19;Jonas;m;1
19;Alexander;m;2
19;Maximilian;m;2
18;Ava;w;1
18;Lea;w;1
18;Maria;w;1
18;Oskar;m;1
18;Theodor;m;1
18;Emilia;w;2
17;Leonie;w;1
17;Alexander;m;1
17;Ali;m;1
17;David;m;1
17;Leo;m;1
17;Milan;m;1
17;Paul;m;1
17;Theo;m;1
17;Elisabeth;w;2
17;Sophia;w;2
16;Sophia;w;1
16;Lukas;m;1
16;Ali;m;2
15;Alma;w;1
15;Amelie;w;1
15;Emily;w;1
15;Tilda;w;1
15;Karl;m;1
15;Milo;m;1
15;Emil;m;2
15;Jonathan;m;2
14;Elisabeth;w;1
14;Ida;w;1
14;Lilly;w;1
14;Luna;w;1
14;Mira;w;1
14;Bruno;m;1
14;Emir;m;1
14;Jakob;m;1
14;Matteo;m;1
14;Muhammed;m;1
14;Vincent;m;1
13;Lena;w;1
13;Leni;w;1
13;Zoe;w;1
13;Ben;m;1
13;Jonah;m;1
13;Luis;m;1
13;Levi;m;2
13;Malik;m;2
12;Ayla;w;1
12;Clara;w;1
12;Liya;w;1
12;Mathilda;w;1
12;Romy;w;1
12;Zeynep;w;1
12;Amir;m;1
12;Frederik;m;1
12;Henry;m;1
12;Louis;m;1
12;Mateo;m;1
12;Maximilian;m;1
12;Luise;w;2
12;Gabriel;m;2
12;Karl;m;2
12;Michael;m;2
12;Theodor;m;2
11;Hannah;w;1
11;Johanna;w;1
11;Lara;w;1
11;Lia;w;1
11;Mina;w;1
11;Nora;w;1
11;Edgar;m;1
11;Gabriel;m;1
11;Hamza;m;1
11;Ilyas;m;1
11;Jonathan;m;1
11;Leonard;m;1
11;Linus;m;1
11;Ole;m;1
11;Raphael;m;1
11;Carlotta;w;2
11;Lou;w;2
11;Marlene;w;2
11;Nur;w;2
11;James;m;2
10;Ada;w;1
10;Alina;w;1
10;Amelia;w;1
10;Amira;w;1
10;Elif;w;1
10;Eva;w;1
10;Frida;w;1
10;Laura;w;1
10;Matilda;w;1
10;Sophie;w;1
10;Valentina;w;1
10;Aras;m;1
10;Elio;m;1
10;Henri;m;1
10;Lio;m;1
10;Marlon;m;1
10;Musa;m;1
10;Niklas;m;1
10;Johanna;w;2
10;Rose;w;2
10;Anton;m;2
10;Elias;m;2
9;Cleo;w;1
9;Elena;w;1
9;Eliana;w;1
9;Hanna;w;1
9;Mariam;w;1
9;Paula;w;1
9;Aaron;m;1
9;Ahmad;m;1
9;Benjamin;m;1
9;Fiete;m;1
9;Hugo;m;1
9;Ibrahim;m;1
9;Leander;m;1
9;Leano;m;1
9;Leopold;m;1
9;Mats;m;1
9;Max;m;1
9;Rafael;m;1
9;Valentin;m;1
9;Mathilda;w;2
9;Friedrich;m;2
9;Louis;m;2
8;Carla;w;1
8;Elina;w;1
8;Helene;w;1
8;Juna;w;1
8;Livia;w;1
8;Lola;w;1
8;Lotta;w;1
8;Mara;w;1
8;Marlene;w;1
8;Nele;w;1
8;Selma;w;1
8;Theresa;w;1
8;Toni;w;1
8;Daniel;m;1
8;Joshua;m;1
8;Lucas;m;1
8;Luka;m;1
8;Mikail;m;1
8;Mohamad;m;1
8;Oliver;m;1
8;Yusuf;m;1
8;Amalia;w;2
8;Anna;w;2
8;Elisa;w;2
8;Helena;w;2
8;Helene;w;2
8;Pauline;w;2
8;Rosa;w;2
8;Sofia;w;2
8;Can;m;2
8;Leo;m;2
8;Maxim;m;2
8;Oskar;m;2
7;Aleyna;w;1
7;Alice;w;1
7;Alva;w;1
7;Isabella;w;1
7;Juno;w;1
7;Karla;w;1
7;Liv;w;1
7;Liyah;w;1
7;Lucia;w;1
7;Malia;w;1
7;Medina;w;1
7;Melina;w;1
7;Meryem;w;1
7;Nisa;w;1
7;Paulina;w;1
7;Pauline;w;1
7;Sara;w;1
7;Stella;w;1
7;Thea;w;1
7;Zehra;w;1
7;Adrian;m;1
7;Arthur;m;1
7;August;m;1
7;Ayaz;m;1
7;Bela;m;1
7;Carl;m;1
7;Carlo;m;1
7;Elian;m;1
7;Emilio;m;1
7;Erik;m;1
7;Fritz;m;1
7;Jannik;m;1
7;Jannis;m;1
7;Jona;m;1
7;Juri;m;1
7;Mahir;m;1
7;Mika;m;1
7;Mohamed;m;1
7;Moritz;m;1
7;Nino;m;1
7;Rio;m;1
7;Ryan;m;1
7;Samuel;m;1
7;Emma;w;2
7;Ida;w;2
7;Lilly;w;2
7;Martha;w;2
7;Viktoria;w;2
7;Arthur;m;2
7;Benjamin;m;2
7;Christian;m;2
7;Daniel;m;2
7;David;m;2
7;Emilio;m;2
7;Finn;m;2
7;Frederik;m;2
7;Fritz;m;2
7;Jan;m;2
7;Jonah;m;2
7;Leander;m;2
7;William;m;2
6;Amalia;w;1
6;Azra;w;1
6;Edda;w;1
6;Elise;w;1
6;Elissa;w;1
6;Hailey;w;1
6;Julia;w;1
6;Kira;w;1
6;Laila;w;1
6;Leyla;w;1
6;Lotte;w;1
6;Lou;w;1
6;Malou;w;1
6;Masal;w;1
6;Ruby;w;1
6;Yara;w;1
6;Yuna;w;1
6;Zümra;w;1
6;Abdullah;m;1
6;Arian;m;1
6;Caspar;m;1
6;Enno;m;1
6;Hannes;m;1
6;Ian;m;1
6;James;m;1
6;Julian;m;1
6;Kaan;m;1
6;Karim;m;1
6;Kilian;m;1
6;Kuzey;m;1
6;Luan;m;1
6;Matheo;m;1
6;Matti;m;1
6;Miran;m;1
6;Tom;m;1
6;Toni;m;1
6;Yasin;m;1
6;Yassin;m;1
6;Yiğit;m;1
6;Younes;m;1
6;Yunus;m;1
6;Ömer;m;1
6;Eva;w;2
6;Lara;w;2
6;Lea;w;2
6;Leonie;w;2
6;Liv;w;2
6;Victoria;w;2
6;Yuna;w;2
6;Hamza;m;2
6;Henry;m;2
6;Ibrahim;m;2
6;Jakob;m;2
6;Johann;m;2
6;Max;m;2
6;Noel;m;2
6;Sebastian;m;2
6;Theo;m;2
6;Valentin;m;2
6;Wilhelm;m;2
6;Marie;w;3
5;Amara;w;1
5;Anouk;w;1
5;Ela;w;1
5;Eleni;w;1
5;Elis;w;1
5;Fiona;w;1
5;Flora;w;1
5;Freya;w;1
5;Isabel;w;1
5;Klara;w;1
5;Layan;w;1
5;Liana;w;1
5;Lilian;w;1
5;Luise;w;1
5;Maja;w;1
5;Marie;w;1
5;Marla;w;1
5;Martha;w;1
5;Melissa;w;1
5;Merle;w;1
5;Nika;w;1
5;Rita;w;1
5;Charlie;m;1
5;Damian;m;1
5;Diego;m;1
5;Efe;m;1
5;Fabian;m;1
5;Ilay;m;1
5;Jasper;m;1
5;Johann;m;1
5;Julius;m;1
5;Kiyan;m;1
5;Levin;m;1
5;Lian;m;1
5;Lino;m;1
5;Magnus;m;1
5;Mio;m;1
5;Mohammed;m;1
5;Omar;m;1
5;Rayan;m;1
5;Richard;m;1
5;Sam;m;1
5;Till;m;1
5;Elise;w;2
5;Isabella;w;2
5;Jane;w;2
5;Katharina;w;2
5;Luna;w;2
5;Adrian;m;2
5;Andreas;m;2
5;August;m;2
5;Caspar;m;2
5;Franz;m;2
5;Hans;m;2
5;Henri;m;2
5;Johannes;m;2
5;Leonard;m;2
5;Linus;m;2
5;Luis;m;2
5;Noah;m;2
5;Philip;m;2
5;Thomas;m;2
5;Sophie;w;3
5;Josef;m;3
4;Aaliyah;w;1
4;Alea;w;1
4;Alicia;w;1
4;Alisha;w;1
4;Alya;w;1
4;Antonia;w;1
4;Arya;w;1
4;Aurora;w;1
4;Aylin;w;1
4;Carlotta;w;1
4;Carolina;w;1
4;Coco;w;1
4;Eleonora;w;1
4;Elsa;w;1
4;Emilie;w;1
4;Emmi;w;1
4;Esila;w;1
4;Esther;w;1
4;Felina;w;1
4;Hana;w;1
4;Hazal;w;1
4;Hedi;w;1
4;Hella;w;1
4;Jana;w;1
4;Jasmin;w;1
4;Layla;w;1
4;Leah;w;1
4;Leila;w;1
4;Lily;w;1
4;Lima;w;1
4;Liyana;w;1
4;Lore;w;1
4;Luisa;w;1
4;Malea;w;1
4;Malina;w;1
4;Mathea;w;1
4;Melody;w;1
4;Milla;w;1
4;Minna;w;1
4;Mona;w;1
4;Nala;w;1
4;Nilay;w;1
4;Philippa;w;1
4;Ronja;w;1
4;Sarah;w;1
4;Talia;w;1
4;Victoria;w;1
4;Wanda;w;1
4;Zoey;w;1
4;Adem;m;1
4;Aiden;m;1
4;Aron;m;1
4;Elyas;m;1
4;Filip;m;1
4;Friedrich;m;1
4;Gustav;m;1
4;Hassan;m;1
4;Ivan;m;1
4;Jamie;m;1
4;Jan;m;1
4;Jaron;m;1
4;Johannes;m;1
4;Jonte;m;1
4;Kamil;m;1
4;Kian;m;1
4;Konrad;m;1
4;Lennard;m;1
4;Mahdi;m;1
4;Mark;m;1
4;Mattheo;m;1
4;Maxim;m;1
4;Mert;m;1
4;Miraç;m;1
4;Mohammad;m;1
4;Muhammad;m;1
4;Nathan;m;1
4;Nicolas;m;1
4;Nikolas;m;1
4;Oscar;m;1
4;Osman;m;1
4;Seyit;m;1
4;Tammo;m;1
4;Tristan;m;1
4;Yahya;m;1
4;Zain;m;1
4;Émile;m;1
4;Ada;w;2
4;Alma;w;2
4;Amelie;w;2
4;Amina;w;2
4;Ava;w;2
4;Aylin;w;2
4;Chiara;w;2
4;Frieda;w;2
4;Isabel;w;2
4;Klara;w;2
4;Louisa;w;2
4;Luisa;w;2
4;Malou;w;2
4;Masal;w;2
4;Maya;w;2
4;Mila;w;2
4;Milena;w;2
4;My;w;2
4;Nika;w;2
4;Nisa;w;2
4;Paulina;w;2
4;Salome;w;2
4;Sara;w;2
4;Sarah;w;2
4;Su;w;2
4;Alp;m;2
4;Amir;m;2
4;Benedikt;m;2
4;Constantin;m;2
4;Elia;m;2
4;Emanuel;m;2
4;Emilian;m;2
4;Georg;m;2
4;Josef;m;2
4;Julian;m;2
4;Junis;m;2
4;Leon;m;2
4;Liam;m;2
4;Lukas;m;2
4;Martin;m;2
4;Matteo;m;2
4;Moritz;m;2
4;Ole;m;2
4;Oliver;m;2
4;Peter;m;2
4;Rafael;m;2
4;Rio;m;2
4;Robert;m;2
4;Samuel;m;2
4;Santiago;m;2
4;Viktor;m;2
4;Charlotte;w;3
4;Elisabeth;w;3
4;Maria;w;3
4;Pauline;w;3
4;Alexander;m;3
4;Michael;m;3
3;Abigail;w;1
3;Ajla;w;1
3;Alia;w;1
3;Alisa;w;1
3;Aliya;w;1
3;Amaya;w;1
3;Asenat;w;1
3;Asya;w;1
3;Aurelia;w;1
3;Daria;w;1
3;Dunya;w;1
3;Elaine;w;1
3;Elea;w;1
3;Eslem;w;1
3;Evin;w;1
3;Fatima;w;1
3;Fenja;w;1
3;Finja;w;1
3;Gloria;w;1
3;Grace;w;1
3;Heidi;w;1
3;Hilal;w;1
3;Iva;w;1
3;Josephine;w;1
3;Khadija;w;1
3;Kiana;w;1
3;Layal;w;1
3;Leandra;w;1
3;Leona;w;1
3;Leya;w;1
3;Liliana;w;1
3;Lilith;w;1
3;Louisa;w;1
3;Lua;w;1
3;Lucy;w;1
3;Lucía;w;1
3;Magdalena;w;1
3;Maila;w;1
3;Malak;w;1
3;Malin;w;1
3;Mayan;w;1
3;Melia;w;1
3;Melinda;w;1
3;Melis;w;1
3;Melisa;w;1
3;Milena;w;1
3;Miray;w;1
3;Naomi;w;1
3;Nathalie;w;1
3;Nour;w;1
3;Nura;w;1
3;Ophelia;w;1
3;Pia;w;1
3;Ravza;w;1
3;Raya;w;1
3;Reyyan;w;1
3;Rosalie;w;1
3;Rubi;w;1
3;Samira;w;1
3;Smilla;w;1
3;Sofija;w;1
3;Viktoria;w;1
3;Viola;w;1
3;Yade;w;1
3;Yasmin;w;1
3;Zora;w;1
3;Ahmed;m;1
3;Alexis;m;1
3;Alvin;m;1
3;Avi;m;1
3;Baran;m;1
3;Benno;m;1
3;Can;m;1
3;Christian;m;1
3;Colin;m;1
3;Constantin;m;1
3;Cosmo;m;1
3;Dario;m;1
3;Emin;m;1
3;Enzo;m;1
3;Eymen;m;1
3;Ferdinand;m;1
3;Florian;m;1
3;Franz;m;1
3;Fred;m;1
3;Frederick;m;1
3;Gregor;m;1
3;Hadi;m;1
3;Halil;m;1
3;Hasan;m;1
3;Henrik;m;1
3;Isa;m;1
3;Jake;m;1
3;Jakub;m;1
3;Jayden;m;1
3;Jibril;m;1
3;Justus;m;1
3;Kai;m;1
3;Kerem;m;1
3;Kurt;m;1
3;Lennox;m;1
3;Leonardo;m;1
3;Lev;m;1
3;Lion;m;1
3;Lionel;m;1
3;Liyan;m;1
3;Lorenz;m;1
3;Ludwig;m;1
3;Luke;m;1
3;Malte;m;1
3;Mattis;m;1
3;Mehmet;m;1
3;Merdan;m;1
3;Michael;m;1
3;Milas;m;1
3;Mirza;m;1
3;Mustafa;m;1
3;Nassim;m;1
3;Neo;m;1
3;Nikita;m;1
3;Noa;m;1
3;Noam;m;1
3;Otis;m;1
3;Otto;m;1
3;Pepe;m;1
3;Philipp;m;1
3;Robin;m;1
3;Ruben;m;1
3;Salih;m;1
3;Sami;m;1
3;Selim;m;1
3;Silas;m;1
3;Tahir;m;1
3;Teo;m;1
3;Thomas;m;1
3;Tim;m;1
3;Timur;m;1
3;Viktor;m;1
3;Vladimir;m;1
3;William;m;1
3;Wim;m;1
3;Yehya;m;1
3;Zeyd;m;1
3;Adele;w;2
3;Anastasia;w;2
3;Antonia;w;2
3;Clara;w;2
3;Ela;w;2
3;Elea;w;2
3;Eleanor;w;2
3;Elsa;w;2
3;Felicitas;w;2
3;Hermine;w;2
3;Isabell;w;2
3;Isabelle;w;2
3;June;w;2
3;Leonora;w;2
3;Leyla;w;2
