anzahl;vorname;geschlecht;position
22;Noah;m;1
21;Emma;w;1
21;Adam;m;1
21;Leon;m;1
20;Theo;m;1
20;Sophie;w;2
19;Emilia;w;1
19;Maria;w;1
18;Elias;m;1
18;Louis;m;1
17;Lina;w;1
17;Mila;w;1
17;Leo;m;1
16;Luna;w;1
16;Mia;w;1
16;Sofia;w;1
16;Emil;m;1
15;Felix;m;1
15;Liam;m;1
14;Alma;w;1
13;Clara;w;1
13;Emily;w;1
13;Paul;m;1
13;Maria;w;2
13;Marie;w;2
13;Valentin;m;2
12;Ada;w;1
12;Lea;w;1
12;Olivia;w;1
12;Aaron;m;1
12;Luca;m;1
12;Lukas;m;1
12;Oskar;m;1
12;Rio;m;1
12;Maximilian;m;2
11;Amalia;w;1
11;Charlotte;w;1
11;Matilda;w;1
11;David;m;1
11;Henry;m;1
11;Kevin;m;1
11;Mateo;m;1
11;Elisabeth;w;2
10;Eva;w;1
10;Lena;w;1
10;Maya;w;1
10;Mina;w;1
10;Zoe;w;1
10;Anton;m;1
10;Benjamin;m;1
10;Bruno;m;1
10;Daniel;m;1
10;Malik;m;1
10;Alexander;m;2
9;Cleo;w;1
9;Julia;w;1
9;Lisa;w;1
9;Malia;w;1
9;Mira;w;1
9;Romy;w;1
9;Ahmad;m;1
9;Ben;m;1
9;Jonas;m;1
9;Theodor;m;1
9;Vincent;m;1
9;Malou;w;2
9;Sophia;w;2
9;Michael;m;2
8;Amina;w;1
8;Ella;w;1
8;Flora;w;1
8;Hanna;w;1
8;Helena;w;1
8;Isabella;w;1
8;Lara;w;1
8;Nora;w;1
8;Zeynep;w;1
8;Ali;m;1
8;Amir;m;1
8;Carlo;m;1
8;Erik;m;1
8;Fritz;m;1
8;Levi;m;1
8;Matteo;m;1
8;Pepe;m;1
8;An;w;2
8;Charlotte;w;2
8;Anton;m;2
8;Felix;m;2
8;Oskar;m;2
7;Alina;w;1
7;Anna;w;1
7;Jenny;w;1
7;Kira;w;1
7;Laura;w;1
7;Lilly;w;1
7;Adrian;m;1
7;Finn;m;1
7;Hamza;m;1
7;Henri;m;1
7;Maximilian;m;1
7;Milo;m;1
7;Miran;m;1
7;Mohammad;m;1
7;Tony;m;1
7;My;w;2
7;Rose;w;2
7;Ali;m;2
7;Elias;m;2
7;Levi;m;2
7;Louis;m;2
6;Amelia;w;1
6;Asel;w;1
6;Ayla;w;1
6;Carla;w;1
6;Elif;w;1
6;Elina;w;1
6;Ida;w;1
6;Juna;w;1
6;Layan;w;1
6;Linda;w;1
6;Livia;w;1
6;Lucy;w;1
6;Mathilda;w;1
6;Sara;w;1
6;Sophia;w;1
6;Sophie;w;1
6;Thea;w;1
6;Tilda;w;1
6;Tina;w;1
6;Valentina;w;1
6;Victoria;w;1
6;Viktoria;w;1
6;Alexander;m;1
6;Arthur;m;1
6;Bela;m;1
6;Emilio;m;1
6;Gia;m;1
6;Jakob;m;1
6;Karl;m;1
6;Leander;m;1
6;Linus;m;1
6;Lio;m;1
6;Maxim;m;1
6;Mehmet;m;1
6;Milan;m;1
6;Moritz;m;1
6;Muhammed;m;1
6;Toni;m;1
6;Yusuf;m;1
6;Anna;w;2
6;Carlotta;w;2
6;Emilia;w;2
6;Katharina;w;2
6;Lucia;w;2
6;Rosa;w;2
6;Constantin;m;2
6;Emil;m;2
6;Huy;m;2
6;Jakob;m;2
6;Minh;m;2
6;Theodor;m;2
6;Anh;w;3
5;Alva;w;1
5;Antonia;w;1
