anzahl;vorname;geschlecht;position
22;Marie;w;2
21;Adam;m;1
20;Liam;m;1
18;Sophie;w;2
14;Noah;m;1
13;Charlotte;w;1
13;Emilia;w;1
12;Emil;m;1
12;Leo;m;1
11;Lara;w;1
11;Leni;w;1
11;Sofia;w;1
11;Leon;m;1
10;Levi;m;1
10;Louis;m;1
9;Maria;w;1
9;Mia;w;1
9;Mila;w;1
9;Mira;w;1
9;Jakob;m;1
9;Luca;m;1
9;Milan;m;1
9;Rose;w;2
8;Emily;w;1
8;Emma;w;1
8;Eva;w;1
8;Hannah;w;1
8;Ida;w;1
8;Lena;w;1
8;Luna;w;1
8;Nora;w;1
8;Sophia;w;1
8;David;m;1
8;Elias;m;1
8;Lio;m;1
8;Malik;m;1
7;Amalia;w;1
7;Ella;w;1
7;Johanna;w;1
7;Lia;w;1
7;Lina;w;1
7;Maya;w;1
7;Nele;w;1
7;Olivia;w;1
7;Amir;m;1
7;Elio;m;1
7;Henry;m;1
7;Lukas;m;1
7;Theo;m;1
7;Alexander;m;2
6;Alina;w;1
6;Hanna;w;1
6;Laura;w;1
6;Adrian;m;1
6;Daniel;m;1
6;Edgar;m;1
6;Erik;m;1
6;Finn;m;1
6;Matteo;m;1
6;Mika;m;1
6;Moritz;m;1
6;Musa;m;1
6;Oliver;m;1
6;Oskar;m;1
6;Theodor;m;1
6;Sophia;w;2
6;Elias;m;2
5;Aliya;w;1
5;Anna;w;1
5;Liya;w;1
5;Malia;w;1
5;Mathilda;w;1
5;Sara;w;1
5;Sophie;w;1
5;Alexander;m;1
5;Carlo;m;1
5;Jan;m;1
5;Jonas;m;1
5;Julian;m;1
5;Karim;m;1
5;Karl;m;1
5;Linus;m;1
5;Mateo;m;1
5;Mohammad;m;1
5;Nino;m;1
5;Raphael;m;1
5;Charlotte;w;2
5;Elisabeth;w;2
5;David;m;2
5;Oliver;m;2
4;Amelia;w;1
4;Amelie;w;1
4;Anastasia;w;1
4;Bella;w;1
4;Cleo;w;1
4;Elina;w;1
4;Helene;w;1
4;Julia;w;1
4;Juna;w;1
4;Lea;w;1
4;Leonie;w;1
4;Livia;w;1
4;Melissa;w;1
4;Merle;w;1
4;Michelle;w;1
4;Mina;w;1
4;Miriam;w;1
4;Pia;w;1
4;Ruby;w;1
4;Tala;w;1
4;Thea;w;1
4;Valentina;w;1
4;Yasmin;w;1
4;Anthony;m;1
4;Antoni;m;1
4;Arthur;m;1
4;Felix;m;1
4;Frederik;m;1
4;Fritz;m;1
4;Gabriel;m;1
4;Ibrahim;m;1
4;John;m;1
4;Mark;m;1
4;Marlon;m;1
4;Mats;m;1
4;Max;m;1
4;Milo;m;1
4;Paul;m;1
4;Pepe;m;1
4;Rafael;m;1
4;Tom;m;1
4;Emilia;w;2
4;Maria;w;2
4;Andreas;m;2
4;Anh;m;2
4;Emilio;m;2
4;Frank;m;2
4;Minh;m;2
4;Paul;m;2
3;Adelina;w;1
3;Alexandra;w;1
3;Alisa;w;1
3;Alma;w;1
3;Amina;w;1
3;Antonia;w;1
3;Aurelia;w;1
3;Ayla;w;1
3;Elena;w;1
3;Elisa;w;1
3;Evelin;w;1
3;Helena;w;1
3;Liv;w;1
3;Luise;w;1
3;Maja;w;1
3;Mara;w;1
3;Mariam;w;1
3;Marlene;w;1
3;Paulina;w;1
3;Rayan;w;1
3;Rosalie;w;1
3;Victoria;w;1
3;Aaron;m;1
3;Abdullah;m;1
3;Alan;m;1
3;Aleksej;m;1
3;Alex;m;1
3;Ali;m;1
3;Arian;m;1
3;Artur;m;1
3;Ben;m;1
3;Benjamin;m;1
3;Bảo;m;1
3;Dario;m;1
3;Emilio;m;1
3;Enno;m;1
3;Fabian;m;1
3;Henri;m;1
3;Isaac;m;1
3;Jayden;m;1
3;Joel;m;1
3;Joris;m;1
3;Julius;m;1
3;Konstantin;m;1
3;Lasse;m;1
3;Leonardo;m;1
3;Marcel;m;1
3;Maximilian;m;1
3;Muhammad;m;1
3;Mustafa;m;1
3;Nico;m;1
3;Philipp;m;1
3;Robert;m;1
3;Sayed;m;1
3;Teodor;m;1
3;Tim;m;1
3;Toni;m;1
3;Amara;w;2
3;Carlotta;w;2
3;Ida;w;2
3;Isabella;w;2
3;Magdalena;w;2
3;Malou;w;2
3;Valentina;w;2
3;Ben;m;2
3;Gabriel;m;2
3;Jan;m;2
3;Johannes;m;2
3;Levi;m;2
3;Liam;m;2
3;Nam;m;2
3;Noel;m;2
3;Theodor;m;2
2;Alea;w;1
2;Alessia;w;1
2;Alice;w;1
2;Alissa;w;1
2;Amanda;w;1
2;Amara;w;1
2;Amaya;w;1
2;Amira;w;1
2;Anouk;w;1
2;Ariana;w;1
2;Arina;w;1
2;Ava;w;1
2;Aylin;w;1
2;Celin;w;1
2;Clara;w;1
2;Daria;w;1
2;Dua;w;1
2;Ela;w;1
2;Eleni;w;1
2;Eleyna;w;1
2;Eliana;w;1
2;Elin;w;1
2;Elisabeth;w;1
2;Elli;w;1
2;Ema;w;1
2;Emely;w;1
2;Emmy;w;1
2;Evelina;w;1
2;Fabienne;w;1
2;Fatima;w;1
2;Flora;w;1
2;Freya;w;1
2;Frida;w;1
2;Frieda;w;1
2;Grace;w;1
2;Hafsa;w;1
2;Hana;w;1
2;Hanife;w;1
2;Helen;w;1
2;Holly;w;1
2;Imani;w;1
2;Inara;w;1
2;Inaya;w;1
2;Isabell;w;1
2;Joury;w;1
2;Kamila;w;1
2;Kausar;w;1
2;Khadija;w;1
2;Kiana;w;1
2;Kira;w;1
2;Klara;w;1
2;Layla;w;1
2;Liliane;w;1
2;Lilly;w;1
2;Lora;w;1
2;Lotta;w;1
2;Lucie;w;1
2;Lya;w;1
2;Maila;w;1
2;Malak;w;1
2;Marianna;w;1
2;Martha;w;1
2;Matilda;w;1
2;Melina;w;1
2;Melody;w;1
2;Milena;w;1
2;Milla;w;1
2;Miral;w;1
2;Nala;w;1
2;Naween;w;1
2;Nia;w;1
2;Polly;w;1
2;Rebecca;w;1
2;Rital;w;1
2;Romy;w;1
2;Rukaya;w;1
2;Samira;w;1
2;Selma;w;1
2;Sofie;w;1
2;Sora;w;1
2;Soraya;w;1
2;Stefania;w;1
2;Syeda;w;1
2;Tali;w;1
2;Talia;w;1
2;Tamara;w;1
2;Tilda;w;1
2;Vanessa;w;1
2;Ylva;w;1
2;Yuna;w;1
2;Zahra;w;1
2;Zoe;w;1
2;Ahmad;m;1
2;Ahmed;m;1
2;Aiden;m;1
2;Alessio;m;1
2;Amar;m;1
2;Anas;m;1
