anzahl;vorname;geschlecht;position
7;Anton;m;1
7;Sophie;w;2
6;Emilia;w;1
6;Mia;w;1
6;Felix;m;1
6;Louis;m;1
6;Noah;m;1
5;Charlotte;w;1
5;Ben;m;1
5;Elaine;w;2
5;Rose;w;2
5;Elias;m;2
4;Emma;w;1
4;Hanna;w;1
4;Lena;w;1
4;Leonie;w;1
4;Lia;w;1
4;Luna;w;1
4;Maria;w;1
4;Mila;w;1
4;Sarah;w;1
4;Adam;m;1
4;Daniel;m;1
4;David;m;1
4;Leon;m;1
4;Liam;m;1
4;Lukas;m;1
4;Mark;m;1
4;Milan;m;1
4;Emilia;w;2
4;Luise;w;2
3;Alisa;w;1
3;Amira;w;1
3;Anna;w;1
3;Clara;w;1
3;Elisabeth;w;1
3;Eva;w;1
3;Ida;w;1
3;Lina;w;1
3;Mina;w;1
3;Valeria;w;1
3;Alexander;m;1
3;Amir;m;1
3;Elias;m;1
3;Emilio;m;1
3;Finn;m;1
3;Joshua;m;1
3;Leo;m;1
3;Levi;m;1
3;Linus;m;1
3;Luis;m;1
3;Luka;m;1
3;Maximilian;m;1
3;Theodor;m;1
3;Maria;w;2
3;Marie;w;2
3;Summer;w;2
2;Adelia;w;1
2;Adriana;w;1
2;Alice;w;1
2;Alina;w;1
2;Amanda;w;1
2;Amelia;w;1
2;Anastasia;w;1
2;Anni;w;1
2;Aurelia;w;1
2;Beatrice;w;1
2;Carolina;w;1
2;Elaine;w;1
2;Elena;w;1
2;Emily;w;1
2;Felicity;w;1
2;Fiona;w;1
2;Friederike;w;1
2;Gabriela;w;1
2;Gloria;w;1
2;Hailey;w;1
2;Hannah;w;1
2;Hayley;w;1
2;Haylie;w;1
2;Helena;w;1
2;Jasmin;w;1
2;Jennie;w;1
2;Lea;w;1
2;Leonora;w;1
2;Lilli;w;1
2;Lisa;w;1
2;Lucie;w;1
2;Luise;w;1
2;Maja;w;1
2;Malia;w;1
2;Maryam;w;1
2;Masa;w;1
2;Melek;w;1
2;Melina;w;1
2;Melissa;w;1
2;Merle;w;1
2;Mira;w;1
2;Miriam;w;1
2;Mona;w;1
2;Nele;w;1
2;Nora;w;1
2;Olivia;w;1
2;Rosa;w;1
2;Tamina;w;1
2;Thea;w;1
2;Valentina;w;1
2;Victoria;w;1
2;Yuna;w;1
2;Anh;m;1
2;Antonio;m;1
2;Bjarne;m;1
2;Bruno;m;1
2;Cezar;m;1
2;Christian;m;1
2;Elian;m;1
2;Erik;m;1
2;Frederick;m;1
2;Henry;m;1
2;Iliya;m;1
2;Jannik;m;1
2;Jannis;m;1
2;Johann;m;1
2;Karl;m;1
2;Kiano;m;1
2;Leano;m;1
2;Leonard;m;1
2;Leopold;m;1
2;Lion;m;1
2;Luca;m;1
2;Lucas;m;1
2;Malte;m;1
2;Mathias;m;1
2;Matteo;m;1
2;Maxim;m;1
2;Micah;m;1
2;Mika;m;1
2;Moritz;m;1
2;Mustafa;m;1
2;Paul;m;1
2;Radu;m;1
2;Raphael;m;1
2;Samuel;m;1
2;Theo;m;1
2;Tim;m;1
2;Tristan;m;1
2;Vincent;m;1
2;Alekseevna;w;2
2;Alina;w;2
2;Anh;w;2
2;Borisova;w;2
2;Elisa;w;2
2;Hope;w;2
2;Karin;w;2
2;Sofia;w;2
2;Teodora;w;2
2;Ali;m;2
2;Andreas;m;2
2;Anh;m;2
2;Benjamin;m;2
2;Emil;m;2
2;Fabio;m;2
2;Lukas;m;2
2;Richard;m;2
2;Sebastian;m;2
2;Theodor;m;2
2;Anh;m;3
1;Agapi;w;1
1;Aicha;w;1
1;Aisha;w;1
1;Aki;w;1
1;Alessia;w;1
1;Alicia;w;1
1;Alisha;w;1
1;Alisia;w;1
1;Alva;w;1
1;Amal;w;1
1;Amalia;w;1
1;Amalya;w;1
1;Amara;w;1
1;Amedeia;w;1
1;Amelie;w;1
1;Amyra;w;1
1;Amélie-Marie;w;1
1;Amélie;w;1
1;An;w;1
1;Anais;w;1
1;Anays;w;1
1;Angelina;w;1
1;Anifa;w;1
1;Annabell;w;1
1;Antonia;w;1
1;Asil;w;1
1;Asja;w;1
1;Athena;w;1
1;Aurora;w;1
1;Ava;w;1
1;Avila;w;1
1;Ayline;w;1
1;Benecha;w;1
1;Betty;w;1
1;Bianca;w;1
1;Calea;w;1
1;Calyah;w;1
1;Carlotta;w;1
1;Carolin;w;1
1;Cassandra;w;1
1;Catelyn;w;1
1;Cathaleya;w;1
1;Cecila;w;1
1;Celina;w;1
1;Celine;w;1
1;Cornelia;w;1
1;Dariana;w;1
1;Diana;w;1
1;Doruntina;w;1
1;Edda;w;1
1;Ela;w;1
1;Elea;w;1
1;Elenora;w;1
1;Eli-Marlene;w;1
1;Elisa;w;1
1;Elisaveta;w;1
1;Eliyana;w;1
1;Ellie;w;1
1;Elly;w;1
1;Eloisa;w;1
1;Elvira;w;1
1;Ema;w;1
1;Emma-Sophie;w;1
1;Emmi;w;1
1;Emmy;w;1
1;Enja;w;1
1;Esma;w;1
1;Esra;w;1
1;Ethan;w;1
1;Evelina;w;1
1;Evelyn;w;1
1;Evy;w;1
1;Ewa;w;1
1;Fatima;w;1
1;Fatoumata;w;1
1;Felicitas;w;1
1;Feline;w;1
1;Finja;w;1
1;Freya;w;1
1;Frieda;w;1
1;Germaine-Dejanera;w;1
1;Hadja;w;1
1;Haily;w;1
1;Haley;w;1
1;Hanni;w;1
1;Happy;w;1
1;Harleen;w;1
1;Hawa;w;1
1;Hedda;w;1
1;Heidi;w;1
1;Helen;w;1
1;Helene;w;1
1;Henriette;w;1
1;Henrike;w;1
1;Ilinca;w;1
1;Iman;w;1
1;Inaya;w;1
1;Irina;w;1
1;Isabella;w;1
1;Isabelle;w;1
1;Isalie;w;1
1;Jamie;w;1
1;Jasmina;w;1
1;Jemima;w;1
1;Jenna;w;1
1;Johanna;w;1
1;Jolie;w;1
1;Jolina;w;1
1;Jozefina;w;1
1;Julia;w;1
1;Juna-Charlotte;w;1
1;Juri;w;1
1;Kaisa;w;1
1;Kaja;w;1
1;Kari;w;1
1;Kassandra;w;1
1;Khadijah;w;1
1;Khanh;w;1
1;Kira;w;1
1;Klara;w;1
1;Kléo;w;1
1;Kristina;w;1
1;Laean;w;1
1;Lamia-Ayten;w;1
1;Lamija;w;1
1;Leni;w;1
1;Leyla-Elayne;w;1
1;Leyna;w;1
1;Liam;w;1
1;Liara;w;1
1;Lilianna;w;1
1;Lillie;w;1
1;Lilly;w;1
1;Linea;w;1
1;Linn;w;1
1;Linnea;w;1
1;Liv;w;1
1;Liviah;w;1
1;Loreley;w;1
1;Lotta;w;1
1;Lotte;w;1
1;Lou;w;1
1;Luana;w;1
1;Lucia-Melody;w;1
1;Lucy;w;1
1;Luisa;w;1
1;Madina;w;1
1;Madison;w;1
1;Madita;w;1
1;Mai;w;1
1;Maivi;w;1
1;Malin;w;1
1;Malisha;w;1
1;Manara;w;1
1;Mara;w;1
1;Mariam;w;1
1;Marie;w;1
1;Marieke;w;1
1;Marievan;w;1
1;Marlen;w;1
1;Martha;w;1
1;Masha;w;1
1;Mathilda;w;1
