anzahl;vorname;geschlecht;position
41;Adam;m;1
26;Sophie;w;2
25;Noah;m;1
23;Marie;w;2
21;Ali;m;1
20;Lina;w;1
20;Leon;m;1
20;Charlotte;w;2
19;Emil;m;1
19;Maria;w;2
19;Ali;m;2
18;Emilia;w;1
18;Sophia;w;1
18;Alexander;m;2
17;Anna;w;1
17;Mia;w;1
17;Mila;w;1
17;Leo;m;1
17;Malik;m;1
16;Emma;w;1
16;Helena;w;1
16;Olivia;w;1
16;Sofia;w;1
16;Daniel;m;1
16;Felix;m;1
16;Hamza;m;1
16;Muhammad;m;1
16;Muhammed;m;1
15;Ayla;w;1
15;Ella;w;1
15;Emily;w;1
15;Jakob;m;1
15;Liam;m;1
14;Charlotte;w;1
14;Ida;w;1
14;Elias;m;1
13;Alma;w;1
13;Amira;w;1
13;Arthur;m;1
13;Gabriel;m;1
13;Ibrahim;m;1
13;Ilyas;m;1
13;Louis;m;1
13;Oscar;m;1
13;Paul;m;1
13;Emilia;w;2
12;Eva;w;1
12;Lena;w;1
12;David;m;1
12;Henry;m;1
12;Mohammad;m;1
11;Clara;w;1
11;Lea;w;1
11;Liya;w;1
11;Sara;w;1
11;Milo;m;1
11;Mohammed;m;1
11;Musa;m;1
11;Oskar;m;1
11;Samuel;m;1
11;Theodor;m;1
11;Elisabeth;w;2
11;Paul;m;2
10;Amalia;w;1
10;Azra;w;1
10;Elisa;w;1
10;Maria;w;1
10;Marie;w;1
10;Amir;m;1
10;Anton;m;1
10;Luca;m;1
10;Luis;m;1
9;Alina;w;1
9;Cleo;w;1
9;Elena;w;1
9;Frida;w;1
9;Hannah;w;1
9;Lara;w;1
9;Leonie;w;1
9;Lola;w;1
9;Mathilda;w;1
9;Mira;w;1
9;Valentina;w;1
9;Ahmad;m;1
9;Alexander;m;1
9;Ayaz;m;1
9;Karl;m;1
9;Levi;m;1
9;Lukas;m;1
9;Miran;m;1
9;Theo;m;1
9;Karl;m;2
8;Hanna;w;1
8;Lia;w;1
8;Luna;w;1
8;Paula;w;1
8;Abdullah;m;1
8;Adrian;m;1
8;Ben;m;1
8;Bilal;m;1
8;Emir;m;1
8;Jonathan;m;1
8;Lucas;m;1
8;Mark;m;1
8;Maximilian;m;1
8;Michael;m;1
8;Mika;m;1
8;Milan;m;1
8;Mohamed;m;1
8;Otto;m;1
8;Ömer;m;1
8;Luna;w;2
8;Daniel;m;2
8;Liam;m;2
7;Amal;w;1
7;Amara;w;1
7;Johanna;w;1
7;Marlene;w;1
7;Maya;w;1
7;Nala;w;1
7;Rosa;w;1
7;Sophie;w;1
7;Zoe;w;1
7;Ahmed;m;1
7;Emilio;m;1
7;Jonas;m;1
7;Khaled;m;1
7;Leonard;m;1
7;Mateo;m;1
7;Mustafa;m;1
7;Raphael;m;1
7;Yasin;m;1
7;Youssef;m;1
7;Yusuf;m;1
7;Zayn;m;1
7;Rose;w;2
7;Emil;m;2
7;Felix;m;2
7;Gustav;m;2
7;Maximilian;m;2
7;Oliver;m;2
6;Amaya;w;1
6;Carla;w;1
6;Carlotta;w;1
6;Elif;w;1
6;Fatima;w;1
6;Isabella;w;1
6;Klara;w;1
6;Lana;w;1
6;Leni;w;1
6;Leyla;w;1
6;Maja;w;1
6;Maryam;w;1
6;Medina;w;1
6;Samira;w;1
6;Yasmin;w;1
6;Aras;m;1
6;Aslan;m;1
6;Bela;m;1
6;Benno;m;1
6;Hassan;m;1
6;Johann;m;1
6;Kian;m;1
6;Lian;m;1
6;Linus;m;1
6;Matteo;m;1
6;Max;m;1
6;Oliver;m;1
6;Otis;m;1
6;Rayan;m;1
6;Valentin;m;1
6;Anna;w;2
6;Antonia;w;2
6;Elisa;w;2
6;Johanna;w;2
6;Nur;w;2
6;Valentina;w;2
6;Victoria;w;2
6;Anton;m;2
6;Gabriel;m;2
6;Johann;m;2
6;Louis;m;2
6;Noah;m;2
6;Raphael;m;2
6;Valentin;m;2
5;Alice;w;1
5;Amelie;w;1
5;Asel;w;1
5;Aurelia;w;1
5;Ava;w;1
5;Eliana;w;1
5;Elina;w;1
5;Flora;w;1
5;Laura;w;1
5;Lisa;w;1
5;Livia;w;1
5;Luisa;w;1
5;Mariam;w;1
5;Matilda;w;1
5;Mona;w;1
5;Noemi;w;1
5;Ophelia;w;1
5;Stella;w;1
5;Aaron;m;1
5;Ahmet;m;1
5;Amar;m;1
5;Bruno;m;1
5;Carl;m;1
5;Carlo;m;1
5;Elyas;m;1
5;Ferdinand;m;1
5;Finn;m;1
5;Hussein;m;1
5;Joshua;m;1
5;Leonardo;m;1
5;Lev;m;1
5;Magnus;m;1
5;Martin;m;1
5;Matthias;m;1
5;Mirza;m;1
5;Nicolas;m;1
5;Niklas;m;1
5;Noyan;m;1
5;Omar;m;1
5;Tristan;m;1
5;Carlotta;w;2
5;Helene;w;2
5;Lilly;w;2
5;Magdalena;w;2
5;Maxima;w;2
5;Sophia;w;2
5;Viktoria;w;2
5;Arthur;m;2
5;Aslan;m;2
5;Benjamin;m;2
5;David;m;2
5;Elian;m;2
5;Friedrich;m;2
5;Fritz;m;2
5;Osman;m;2
