anzahl;vorname;geschlecht;position
28;Noah;m;1
24;Adam;m;1
23;Amir;m;1
21;Ali;m;2
19;Sophie;w;2
17;Elias;m;1
16;Aras;m;1
16;Liam;m;1
15;Ali;m;1
14;Muhammed;m;1
13;Hamza;m;1
13;Mohamad;m;1
12;Emilia;w;1
12;Medina;w;1
12;Luca;m;1
12;Marie;w;2
11;Lina;w;1
11;Malik;m;1
10;Ayla;w;1
10;Lia;w;1
10;Mia;w;1
10;Sofia;w;1
10;Ilyas;m;1
10;Yasin;m;1
9;Charlotte;w;1
9;Elif;w;1
9;Ibrahim;m;1
9;Leon;m;1
9;Mohamed;m;1
9;Maria;w;2
8;Hannah;w;1
8;Emilio;m;1
8;Jonas;m;1
8;Milan;m;1
8;Mohammed;m;1
8;Oskar;m;1
7;Emily;w;1
7;Emma;w;1
7;Eva;w;1
7;Jasmin;w;1
7;Lea;w;1
7;Mila;w;1
7;Mira;w;1
7;Zeynep;w;1
7;Alexander;m;1
7;David;m;1
7;Emir;m;1
7;Joshua;m;1
7;Lukas;m;1
7;Mahir;m;1
7;Mohammad;m;1
7;Can;m;2
6;Ada;w;1
6;Alea;w;1
6;Aliya;w;1
6;Aliyah;w;1
6;Alma;w;1
6;Alya;w;1
6;Fatima;w;1
6;Laura;w;1
6;Mathilda;w;1
6;Meryem;w;1
6;Mina;w;1
6;Nele;w;1
6;Nisa;w;1
6;Sara;w;1
6;Sophie;w;1
6;Ahmad;m;1
6;Ayaz;m;1
6;Deniz;m;1
6;Hassan;m;1
6;Issa;m;1
6;Karim;m;1
6;Levi;m;1
6;Mehmet;m;1
6;Musa;m;1
6;Mustafa;m;1
6;Omar;m;1
6;Yusuf;m;1
6;Lina;w;2
6;Nur;w;2
6;Sophia;w;2
6;Alexander;m;2
6;Emil;m;2
5;Amalia;w;1
5;Amelia;w;1
5;Amelie;w;1
5;Amira;w;1
5;Arya;w;1
5;Asya;w;1
5;Ela;w;1
5;Elena;w;1
5;Elisa;w;1
5;Ella;w;1
5;Helena;w;1
5;Isabella;w;1
5;Leah;w;1
5;Lena;w;1
5;Lilly;w;1
5;Liya;w;1
5;Luna;w;1
5;Malia;w;1
5;Marie;w;1
5;Maryam;w;1
5;Nala;w;1
5;Olivia;w;1
5;Sarah;w;1
5;Sophia;w;1
5;Anton;m;1
5;Aslan;m;1
5;Felix;m;1
5;Finn;m;1
5;Gabriel;m;1
5;Jakob;m;1
5;Julian;m;1
5;Louis;m;1
5;Mateo;m;1
5;Maximilian;m;1
5;Milo;m;1
5;Youssef;m;1
5;Yunus;m;1
5;Zayn;m;1
5;Charlotte;w;2
5;Johanna;w;2
5;Valentin;m;2
4;Alina;w;1
4;Antonia;w;1
4;Asel;w;1
4;Beyza;w;1
4;Celine;w;1
4;Cleo;w;1
4;Ecrin;w;1
4;Elina;w;1
4;Eliz;w;1
4;Frida;w;1
4;Hafsa;w;1
4;Helin;w;1
4;Juna;w;1
4;Lara;w;1
4;Leonie;w;1
4;Malina;w;1
4;Mariam;w;1
4;Marlene;w;1
4;Melissa;w;1
4;Nora;w;1
4;Samira;w;1
4;Yasmin;w;1
4;Aaron;m;1
4;Abdullah;m;1
4;Adrian;m;1
4;Ahmed;m;1
4;Edgar;m;1
4;Elyas;m;1
4;Fabian;m;1
4;Idris;m;1
4;Isa;m;1
4;Jonathan;m;1
4;Leano;m;1
4;Lian;m;1
4;Luis;m;1
4;Luka;m;1
4;Mahmoud;m;1
4;Muhammad;m;1
4;Noel;m;1
4;Oliver;m;1
4;Paul;m;1
4;Simon;m;1
4;Theo;m;1
4;Yassin;m;1
4;Zain;m;1
4;Dua;w;2
