anzahl;vorname;geschlecht;position
11;Marie;w;2
11;Sophie;w;2
9;Mila;w;1
9;Luca;m;1
8;Noah;m;1
8;Alexander;m;2
6;Charlotte;w;1
6;Ella;w;1
6;Helena;w;1
6;Stella;w;1
5;Emilia;w;1
5;Lea;w;1
5;Luna;w;1
5;Romy;w;1
5;Adam;m;1
5;Emil;m;1
5;Emilio;m;1
5;Finn;m;1
5;Lio;m;1
5;Theodor;m;1
5;Emilia;w;2
5;Maria;w;2
5;David;m;2
4;Amalia;w;1
4;Anna;w;1
4;Clara;w;1
4;Emma;w;1
4;Hannah;w;1
4;Lara;w;1
4;Malou;w;1
4;Kian;m;1
4;Levi;m;1
4;Luis;m;1
4;Maximilian;m;1
4;Milan;m;1
4;Niklas;m;1
4;Paul;m;1
4;Elisabeth;w;2
4;Lina;w;2
4;Victoria;w;2
4;Emil;m;2
4;Wilhelm;m;3
3;Amelie;w;1
3;Aurelia;w;1
3;Elise;w;1
3;Emily;w;1
3;Leonie;w;1
3;Lotta;w;1
3;Malea;w;1
3;Marie;w;1
3;Mia;w;1
3;Olivia;w;1
3;Pia;w;1
3;Valentina;w;1
3;Viktoria;w;1
3;Zoe;w;1
3;Aaron;m;1
3;Alexander;m;1
3;Anton;m;1
3;Benjamin;m;1
3;David;m;1
3;Ediz;m;1
3;Elias;m;1
3;Elio;m;1
3;Frederik;m;1
3;Fritz;m;1
3;Jonas;m;1
3;Liam;m;1
3;Louis;m;1
3;Lukas;m;1
3;Raphael;m;1
3;Theo;m;1
3;Luise;w;2
3;Malea;w;2
3;Malia;w;2
3;Malou;w;2
3;Sophia;w;2
3;Christian;m;2
3;Elias;m;2
3;Franz;m;2
3;Jacob;m;2
3;Leano;m;2
3;Liam;m;2
3;Louis;m;2
2;Aaliyah;w;1
2;Adelina;w;1
2;Amaya;w;1
2;Amélie;w;1
2;Ava;w;1
2;Carlotta;w;1
2;Celina;w;1
2;Elena;w;1
2;Elif;w;1
2;Elisa;w;1
2;Evelina;w;1
2;Felia;w;1
2;Freya;w;1
2;Giulia;w;1
2;Hanna;w;1
2;Isabella;w;1
2;Juli;w;1
2;Kira;w;1
2;Leni;w;1
2;Lia;w;1
2;Liara;w;1
2;Lilly;w;1
2;Lina;w;1
2;Liv;w;1
2;Luisa;w;1
2;Maja;w;1
2;Malia;w;1
2;Maria;w;1
2;Marlene;w;1
2;Matea;w;1
2;Mathilda;w;1
2;Matilda;w;1
2;Milla;w;1
2;Mira;w;1
2;Nicole;w;1
2;Paula;w;1
2;Paulina;w;1
2;Pauline;w;1
2;Skadi;w;1
2;Sophia;w;1
2;Sophie;w;1
2;Alessio;m;1
2;Alexio;m;1
2;Armin;m;1
2;Ben;m;1
2;Bruno;m;1
2;Charles;m;1
2;Constantin;m;1
2;Cosmo;m;1
2;Dante;m;1
2;Emir;m;1
2;Erik;m;1
2;Ezra;m;1
2;Felix;m;1
2;Henri;m;1
2;Henry;m;1
2;Jacob;m;1
2;Jasper;m;1
2;Johann;m;1
2;Jonathan;m;1
2;Jonte;m;1
2;Julius;m;1
2;Junis;m;1
2;Justus;m;1
2;Karl;m;1
2;Levin;m;1
2;Lino;m;1
2;Lucas;m;1
2;Ludwig;m;1
2;Malik;m;1
2;Mark;m;1
2;Marlo;m;1
2;Matteo;m;1
2;Milo;m;1
2;Mio;m;1
2;Nando;m;1
2;Nelio;m;1
2;Nicolas;m;1
2;Nils;m;1
2;Nio;m;1
2;Omar;m;1
2;Oskar;m;1
2;Samuel;m;1
2;Sebastian;m;1
2;Toni;m;1
2;Tristan;m;1
2;Willi;m;1
2;Anne;w;2
2;Aurelia;w;2
2;Ava;w;2
2;Charlotte;w;2
2;Elisa;w;2
2;Johanna;w;2
2;Louisa;w;2
2;Mira;w;2
2;Viktoria;w;2
2;Benjamin;m;2
2;Carl;m;2
2;Daniel;m;2
2;Friedrich;m;2
2;Gerhard;m;2
2;Joseph;m;2
2;Julius;m;2
2;Karl;m;2
2;Konstantin;m;2
