anzahl;vorname;geschlecht;position
10;Liam;m;1
7;Jonas;m;1
7;Leo;m;1
7;Oskar;m;1
7;Marie;w;2
7;Maximilian;m;2
6;Alma;w;1
6;Charlotte;w;1
6;Emily;w;1
6;Lilly;w;1
6;Lina;w;1
6;Mia;w;1
6;Mila;w;1
6;Leon;m;1
6;Luca;m;1
6;Milan;m;1
6;Noah;m;1
6;Paul;m;1
6;Sophie;w;2
6;Paul;m;2
5;Emma;w;1
5;Eva;w;1
5;Hanna;w;1
5;Helena;w;1
5;Lara;w;1
5;Lena;w;1
5;Leonie;w;1
5;Elias;m;1
5;Emil;m;1
5;Karl;m;1
5;Linus;m;1
5;Nikita;m;1
5;Rio;m;1
5;Alexander;m;2
5;Valentin;m;2
4;Alina;w;1
4;Ayla;w;1
4;Frieda;w;1
4;Luna;w;1
4;Maja;w;1
4;Malea;w;1
4;Nora;w;1
4;Olivia;w;1
4;Sofia;w;1
4;Adam;m;1
4;Alexander;m;1
4;Benjamin;m;1
4;David;m;1
4;Elio;m;1
4;Levi;m;1
4;Lio;m;1
4;Louise;w;2
4;Maria;w;2
4;Max;m;2
3;Ada;w;1
3;Amelie;w;1
3;Amina;w;1
3;Cleo;w;1
3;Elisa;w;1
3;Emilia;w;1
3;Karla;w;1
3;Marie;w;1
3;Marlene;w;1
3;Martha;w;1
3;Mathilda;w;1
3;Mira;w;1
3;Sophie;w;1
3;Thea;w;1
3;Yara;w;1
3;Ahmad;m;1
3;Alfred;m;1
3;Ben;m;1
3;Carl;m;1
3;Daniel;m;1
3;Elia;m;1
3;Gustav;m;1
3;Hugo;m;1
3;Johann;m;1
3;Jonathan;m;1
3;Leonard;m;1
3;Leonidas;m;1
3;Louis;m;1
3;Marlon;m;1
3;Maxim;m;1
3;Mika;m;1
3;Moritz;m;1
3;Neo;m;1
3;Nils;m;1
3;Raphael;m;1
3;Robin;m;1
3;Ruben;m;1
3;Samuel;m;1
3;Theodor;m;1
3;Thore;m;1
3;Carlotta;w;2
3;Charlotte;w;2
3;Johanna;w;2
3;Luna;w;2
3;Sophia;w;2
3;Luca;m;2
3;Noel;m;2
2;Alba;w;1
2;Ava;w;1
2;Cataleya;w;1
2;Cecilia;w;1
2;Dahlia;w;1
2;Elisabeth;w;1
2;Ella;w;1
2;Esra;w;1
2;Fiona;w;1
2;Flora;w;1
2;Freya;w;1
2;Frida;w;1
2;Halima;w;1
2;Hedi;w;1
2;Hilda;w;1
2;Ida;w;1
2;Jasmin;w;1
2;Johanna;w;1
2;Josephine;w;1
2;Juna;w;1
2;Käthe;w;1
2;Laura;w;1
2;Leni;w;1
2;Lia;w;1
2;Lilian;w;1
2;Lilith;w;1
2;Lily;w;1
2;Liv;w;1
2;Liya;w;1
2;Lorena;w;1
2;Magdalena;w;1
2;Malia;w;1
2;Maryam;w;1
2;Matilda;w;1
2;Milena;w;1
2;Milou;w;1
2;Miriam;w;1
2;Nelia;w;1
2;Noemi;w;1
2;Paula;w;1
2;Pauline;w;1
2;Pia;w;1
2;Pina;w;1
2;Raya;w;1
2;Ria;w;1
2;Romy;w;1
2;Ronja;w;1
2;Ruby;w;1
2;Runa;w;1
2;Sophia;w;1
2;Tessa;w;1
2;Zainab;w;1
2;Aaron;m;1
2;Aiden;m;1
2;Albert;m;1
2;Anton;m;1
2;Arthur;m;1
2;Ayan;m;1
2;Ayden;m;1
2;Bennet;m;1
2;Carlo;m;1
2;Charles;m;1
2;Constantin;m;1
2;Dean;m;1
2;Edgar;m;1
2;Emilio;m;1
2;Ferdinand;m;1
2;Filip;m;1
2;Florian;m;1
2;Frederik;m;1
2;Fynn;m;1
2;Gabriel;m;1
2;Henry;m;1
2;Isaia;m;1
2;Jakub;m;1
2;Jannis;m;1
2;Jaro;m;1
